RESUMEN DE BIBLIOGRAFÍA CONSINADA (LIBROS)				
				
				
Tipo de Bibliografía	Titulos consignados	Titulos disponibles en Btca.	% de cobertura	
OBLIGATORIA	56	52	92.8571428571429	
COMPLEMENTARIA	38	34	89.4736842105263	
Total General 	94	86	91.16541353	
				
				
TITULOS NO DISPONIBLES EN  BIBLIOTECA UDA				
				
ASIGNATURA	DETALLE DE BIBLIOGRAFÍA 	TIPO DE BIBLIOGRAFIA	CANTIDAD DE COPIAS	NRO DE BIB
Contabilidad e lfrs 	• Boletines Técnicos Colegio de Contadores de Chile, (2018) Santiago, Chile	COMPLEMENTARIA	0	
Taller 1: Habilidades y Espíritu Emprendedor	• Dracker, P. F. (2004). La Disciplina de la Innovación. Harvard Business Review.	COMPLEMENTARIA	0	
Taller 1: Habilidades y Espíritu Emprendedor	• Kawasaki. G. (2008). El Arte de Empezar: el libro para emprendedores mas útil escrito hasta la fecha. Ed. 11 ustrae.	COMPLEMENTARIA	0	
Taller 1: Habilidades y Espíritu Emprendedor	• Fernández, J. (2009). 1010 Consejos para Emprendedores. Ed. LID.	COMPLEMENTARIA	0	
Inglés I 	UDA English Center. (2018). Material propio elaborado por académicos.	OBLIGATORIA	0	
Administración y Gestión en la Empresa 	• Hill. Chiavenato, l. (2004). Introducion a teoría general da administracdo. Rio de .Janeiro: Elsevier.	OBLIGATORIA	0	
Inglés II 	UDA English Center. (2018). Material propio elaborado por académicos.	OBLIGATORIA	0	
Proyecto de Titulación 	Tugendhat, E., Vicuña, A.M., & López, C. (2001). El libro de Manuel y Camita: Diálogos sobre ética. Barcelona: Gedisa Editorial.	OBLIGATORIA	0	
