BIBLIOGRAFÍA OBLIGATORIA			
CARRERAS	CONSIGNADOS 	DISPONIBLES	POR COMPRAR
TÉCNICO UNIVERSITARIO EN ADMINISTRACIÓN DE EMPRESAS	56	52	3
"T.U.
ENERGÍAS RENOVABLES Y EFICIENCIA ENERGÉTICA "	37	31	10
TÉCNICO UNIVERSITARIO ASISTENTE DE GEOLOGÍA.	55	34	20
Técnico universitario en Metalurgia	40	36	3
TÉCNICO UNIVERSITARIO AUDITOR CONTABLE Y TRIBUTARIO	75	50	13
TECNICO UNIVERSITARIO EN AUTOMATIZACIÓN INDUSTRIAL	48	41	5
Técnico universitario en Mantención Mecánica de Equipos Industriales	45	25	20
Técnico Universitario en Minas	38	37	1
TECNICO UNIVERSITARIO EN PREVENCIÓN DE RIESGOS	33	28	3
			
			
	OBLIGATORIO 	COMPLEMENTARIO	NO INDICA
T.U.EN ADMINISTRACIÓN DE EMPRESAS	92.8571428571429	89.4736842105263	
"T.U.
ENERGÍAS RENOVABLES Y EFICIENCIA ENERGÉTICA "	83.7837837837838	74.468085106383	
T.U. ASISTENTE DE GEOLOGÍA.	61.8181818181818	53.7037037037037	
T.U. en Metalurgia	90	88.2352941176471	
T.U. AUDITOR CONTABLE Y TRIBUTARIO	66.6666666666667	84.6153846153846	52.9411764705882
T.U.  EN AUTOMATIZACIÓN INDUSTRIAL	86	95.4545454545455	92.3076923076923
T.U. en Mantención Mecánica de Equipos Industriales	54.3478260869565	86	29.1666666666667
T.U. en Minas	97	100	100
T.U. EN PREVENCIÓN DE RIESGOS	84.8484848484848	100	42.8571428571429
