RESUMEN DE BIBLIOGRAFÍA CONSINADA (LIBROS)			
			
			
Tipo de Bibliografía	Titulos consignados	Titulos disponibles en Btca.	% de cobertura
OBLIGATORIA	55	34	61.8181818181818
COMPLEMENTARIA	54	29	53.7037037037037
Total General 	109	63	57.76094276
			
			
TITULOS NO DISPONIBLES EN  BIBLIOTECA UDA			
			
ASIGNATURA	DETALLE DE BIBLIOGRAFÍA 	TIPO DE BIBLIOGRAFIA	CANTIDAD DE COPIAS
Confección de Preparados 	"Jiménez, J., & Velilla, N. (2004)."" Óptica mineral"": una herramienta informática para el estudio de los minerales en el microscopio petrográfico. Enseñanza de las Ciencias
de la Tierra, 12(1), 57-61."	OBLIGATORIA	0
Confección de Preparados 	Cornelis Klein, Manual de Mineralogía vol.1 4° Edición.	COMPLEMENTARIA	0
Confección de Preparados 	Cornelis Klein, Manual de Mineralogía vol.2 4° Edición.	COMPLEMENTARIA	0
Confección de Preparados 	García, M.C. (2004). Guía de minerales de Andalucía. Boletín de la Asociación Provincial de Museos Locales de Córdoba, (5), 41-15.	COMPLEMENTARIA	0
Geología General 	Barettino, D., Wimbledon, W. A1 P., & Gallego, E. (Eds.). (2000). Patrimonio geológico: conservación y gestión (Vol. 128). IGME.	COMPLEMENTARIA	0
Geología General 	Mourgues. F. A., Schilling, M., & Castro, C. (2012). Propuesta de definición de los Contextos Geológicos Chilenos para la caracterización del patrimonio geológico nacional. In XIII Congreso Geol. Chileno, Antofagasta (pp. 890-892).	COMPLEMENTARIA	0
Taller I Petrografía y Mineralogía 	Dorado, A. C. (2015). Petrografía de rocas ígneas y metamórficas. Ediciones Paraninfo, SA.	OBLIGATORIA	0
			
Taller I Petrografía y Mineralogía 	Groeber, P. (1938). Mineralogía y geología. Espasa-Calpe Argentina.	COMPLEMENTARIA	0
Innglés I 	UDA English Center. (2018). Material propio elaborado por académicos.	OBLIGATORIA	0
Topografía y Cartografía 	Gutiérrez, C. P., & Nieto, A. L. M. (2006). Teledetección: nociones y aplicaciones. Carlos Perez.	OBLIGATORIA	0
Topografía y Cartografía 	Wolf, P. R. B., Wolf, R. C. P. R., Brinker, R. C., Pasini, C. V., Domínguez García-Tejero, F., &	COMPLEMENTARIA	0
Topografía y Cartografía 	Romeo, C. T.'!'. R. (1996). Topografía. Mundi-Prensa.	COMPLEMENTARIA	0
Topografía y Cartografía 	Casanova, L. (2002). Topografía plana. Universidad de los Andes. Facultad de Ingeniería. Departamento de Vías. Venezuela.	COMPLEMENTARIA	0
Topografía y Cartografía 	Leonardo, C. M. (2002). Topografía Plana. Taller de Publicaciones de Ingeniería ULA. Mérida. Venezuela.	COMPLEMENTARIA	0
Topografía y Cartografía 	MARIA ISABEL SI LLANO· JORGE PEREZ ROJAS, DICCIONARIO DE MINERIA	COMPLEMENTARIA	0
Sistema de Información Geográfica 	Arcadia Peralta, E.A. (2019). LlBRO ELECTRÓNICO MULTIMEDIA PARA EL AUTOAPRENDIZAJE DE SISTEMAS DE INFORMACIÓN GEOGRÁfICA.	OBLIGATORIA	0
Sistema de Información Geográfica 	ra, E. L., Si meón, C. P., & Navarro, J. G. M. (2006). Los sistemas de información geográfica.Geonseñanza,11, 16.	OBLIGATORIA	0
Sistema de Información Geográfica 	Geográfica y evaluación multicriterio en la ordenación del territorio (No. 910.285	OBLIGATORIA	0
Sistema de Información Geográfica 	Puebla, J. G., & Gould, M. (1994). SIC: Sistemas de información geográfica. Síntesis.	COMPLEMENTARIA	0
Microscopía 	"Romero, T. D .. & Martínez, E. P. (2012). Propiedades básicas de petrografía óptica aplicadas a la clasificación y estudio de las rocas ígneas. Enseñanza de las Ciencias de la
Tierra, 20(2), 188."	OBLIGATORIA	0
Microscopía 	López, C. P. (2007). Minería de datos: técnicas y herramientas. Editorial Paraninfo.	OBLIGATORIA	0
Microscopía 	Pérez López, C. E. S. A. R., & Gonzáles, D. S. (2007). Minería de datos. Técnicas y herramientas. Ediciones Paraninfo.	OBLIGATORIA	0
Microscopía 	Sironvalle, M. A. A. (2002). Introducción al muestreo minero. 	COMPLEMENTARIA	0
Taller 11 Logística y Campañas de Terreno. 	Christopher, M. (2000). Logística. Aspectos estratégicos. Limusa.	OBLIGATORIA	0
Taller 11 Logística y Campañas de Terreno. 	Antun, P., De Buen Richkarday, O., & Aguerrebere Salido, R. (1995). Logística: Una visión sistémica. Documento técnico, (1'1}	OBLIGATORIA	0
Taller 11 Logística y Campañas de Terreno. 	Cazull lmbert, l., Rodríguez Cabrera, A., Sanabria Ramos, G., & llernández Heredia, R. (2007). Enseñanza de los primeros auxilios a escolares de cuarto a noveno grados. Revista Cubana de Salud Pública, 33.	COMPLEMENTARIA	0
Taller 11 Logística y Campañas de Terreno. 	J laddad, R. (1970). Riesgos y prevención en la industria minera. Curso de Medicina del Trabajo.	COMPLEMENTARIA	0
Taller 11 Logística y Campañas de Terreno. 	Schmidt, S. J., & Aguirre, E. 13. (1977). Teoría del texto: problemas de una lingüística de la comunicación verbal.	COMPLEMENTARIA	0
Taller 11 Logística y Campañas de Terreno. 	Abraharn, P. M.C. (1993). La prevención de riesgos en la ley de accidentes del trabajo y enfermedades profesionales no. 16.71'1·. Editorial Jurídica de Chile.	COMPLEMENTARIA	0
Inglés II 	DA English Center. (2018). Material propio elaborado por académicos.	OBLIGATORIA	0
Métodos de Explotación	Qui quia, R., & Jesus, E. (2019). Optimización del método de hundimiento por subniveles convencional en Sociedad Minera Corona SA, Unidad Yauricocha, Mina Cachi Cachi.	OBLIGATORIA	0
Métodos de Explotación	Novitzky A. (1978). Prospección, exploración y evaluación. Buenos Aires	OBLIGATORIA	0
Métodos de Explotación	Rodríguez, R., & García-Cortés, Á. (2006). los residuos minero-metalúrgicos en el medio ambiente. Instituto Geológico y Minero de España.	COMPLEMENTARIA	0
Métodos de Explotación	Mendieta Cordova, S. C. (2018). Elaboración de PETS y estándares operacionales para minimizar incidentes-accidentes en la Compañía Minera Lincuna SA año 2016.	COMPLEMENTARIA	0
Metalogénesis 	Castro Dorado, A. (2015). Petrografía de rocas ígneas y metamórficas. Madrid: Paraninfo.	OBLIGATORIA	0
Metalogénesis 	Rojas Caballero, D. and Paredes, J. (2008). Compendio de geología general. Lima: EDUNI.	OBLIGATORIA	0
Metalogénesis 	Andrés Mac-Lean COCHILCO, Desarrollo Minero en Chile: Análisis y Desafíos	OBLIGATORIA	0
Metalogénesis 	Castro Dorado, A. (1989). Petrografía de rocas ígneas y metamórficas. Madrid: Paraninfo.	COMPLEMENTARIA	0
Metalogénesis 	Comisión Chilena del Cobre, Anuario de Estadística del Cobre y otros Minerales	COMPLEMENTARIA	0
Geología de Campo 	Castro, A (2015). Petrografía de rocas ígneas y metamórficas.	OBLIGATORIA	0
Geología Ambiental 	Ayala-Carcedo, r:.J. y Oleína Cantos, J. (coord.) (2002). Riesgos naturales. Ariel Ciencia.	OBLIGATORIA	0
Geología Ambiental 	CEPAL-GTZ, (2005). Elementos conceptuales para la prevención y reducción de daños originados por amenazas socionaturales. Cuadernos de la CEPAL Nº 91. Santiago de Chile. 133 páginas.	OBLIGATORIA	0
Geología Ambiental 	Anguita Virella, r:. y Moreno Serrano, F. (1993). Procesos geológicos externos y geología ambiental. Ed. Rueda. Alcorcón (Madrid). f-Cl/551.3 ANG pro	COMPLEMENTARIA	0
Geología Ambiental 	Ayala, F. y [ordá, J.F. (coord.) (1988). Geología Ambiental. ITGE. Madrid	COMPLEMENTARIA	0
Geología Ambiental 	Aswathanarayana, U. (1995). Geoenvironment. An introduction. Ed. Balkema. Rotterdam. r:Ct/504 ASW geo.	COMPLEMENTARIA	0
Proyecto de Titulación 	Tugendhat, E., Vicuña,A.. M., & López, C. (2001). El libro de Manuel y Camilo: Diálogos sobre ética. Barcelona: Gedisa Editorial.	OBLIGATORIA	0
Proyecto de Titulación 	"Naupas, P. H., Valdivia, D. M. R., Palacios, V. J. J., & Romero, D. H. E. (2018). Metodología  e la investigación: Cuantitativa-cualitativa y redacción de la tesis.
"	COMPLEMENTARIA	0
