			
COBERTURA BIBLIOGRÁFICA			
TIPO DE BIBLIOGRAFIA	TOTAL CONSIGNADO	TOTAL DISPONIBLE	% COBERTURA
COMPLEMENTARIA	106	64	60.377358490566
OBLIGATORIA	204	187	91.6666666666667
Total general	316	256	81.0126582278481
			
			
BIBLIOGRAFIA OBLIGATORIA			
NOMBRE ASIGNATURA	BIBLIO. DISPONIBLE EN BTCA	PROMEDIO ESTUDIANTES	
Ciencias Naturales I	15	30	
Comprensión Lectora	0	35	
Comunicación Oral	12	34	
Didactica ciencia I	62	30	
Didactica ciencia II	62	35	
Didactica ciencia III	62	30	
Didáctica de la Geometría	6	35	
Didáctica de la Lectura y Escritura Inicial	19	34	
Didáctica de la Matemática I	29	35	
Didáctica de la Matemática II	10	30	
Didáctica de las Ciencias Sociales II	9	35	
Elec. I: Taller de Geogebra	5	6	
Elec.I. Taller de Impostación y Cuidado de la Voz	1	13	
Elect.II. Taller de Guitarra Funcional I	8	15	
Electivo I “La naturaleza al servicio de la creatividad plástica”	11	13	
Electivo I: Taller de Geogebra	5	5	
Evaluación para el  Aprendizaje	4	35	
Filosofía de la Educación	11	35	
Fundamento de la investigación científica	88	35	
Geometría	10	35	
Informática educativa para la educación básica	3	35	
Lenguaje Artistico	2	30	
Lenguaje y su Didáctica para tercero y cuarto básico	15	34	
Literatura Contemporánea	6	35	
Matemática II	10	30	
Matemáticas I	5	35	
Metodología de la investigación educativa	67		
Optativo I: La Música en el Curriculum Nacional	2	35	
Optativo I:Preparando un Ensayo	17	15	
Optativo III: Taller “Preparando Material Educativo”	3	35	
Orientación Educacional y Convivencia Escolar	10	30	
Políticas Educacionales	3	30	
Práctica II - ABP	10	30	
Práctica III - ABP	29	35	
Práctica IV ABP	19	35	
Práctica V – ABP	29	35	
Práctica VII-A.B.P.	29	30	
Psicología del Desarrollo y el Aprendizaje	18	35	
Psicología del Desarrollo y el Aprendizaje II	20	35	
Psicologia Educacional	54	35	
Sociología Educacional	6	35	
Taller de Desarrollo Personal y Profesional I	18	30	
Taller de Desarrollo Personal y Profesional II	17	30	
Taller de Desarrollo Personal y Profesional III	18	35	
Taller Portafolio I	4	35	
Taller Portafolio II	3	30	
Taller Portafolio III	5		
Total general	851	31.5918367346939	
