973						
						
CARRERA: Licenciatura en Educación y Pedagogía en Educación General Básica						
						
						
ASIGNATURA	SEMESTRE	DETALLE DE BIBLIOGRAFÍA 	TIPO DE BIBLIOGRAFIA	CANTIDAD DE ESTUDIANTES POR ASIGNATURA	COPIAS EN BIBLIOTECA	NRO. BIBLIOTECA 
Matemáticas I	Primer semestre	Lewin R., López A. . Martínez S., Rojas D., Zanocco P., Números. Colección ReFIP: Recursos para la formación de profesores de educación básica. Ediciones SM Chile. Santiago, Chile. 2014.	OBLIGATORIA	35	5	26133
Matemáticas I	Primer semestre	Chamorro M. (2005). Didáctica de la Matemática para Primaria. Madrid: Pearson	COMPLEMENTARIA	35	3	22504
Geometría	Primer Semestre	Reyes,C., Dissett, L.,Gormaz, R.,Geometría. Colección ReFIP: Recursos para la formación de profesores de educación básica. Ediciones SM Chile. Santiago, Chile. 2014.	OBLIGATORIA	35	0	
Geometría	Primer Semestre	"Stanley Clemens, Phares O""Daffer y Thomas Vooney. (1998).""Geometría"", México, Addison Wesley"	OBLIGATORIA	35	10	26549
Geometría	Primer Semestre	Moise E., Downs F. (1966). Geometría moderna. Reading Mass: Addison-Wesley Iberoamericana.	COMPLEMENTARIA	35	8	2494
Psicología del Desarrollo y el Aprendizaje	Primer Semestre	Gutierrez, F (1993). Orientacion y Desarrollo Afectivo. Coprim. Chile.	OBLIGATORIA	35	2	2135
Psicología del Desarrollo y el Aprendizaje	Primer Semestre	Papalia, Diane (2009). Psicología del desarrollo, de la infancia a la adolescencia. Santa Fe de Bogotá, Mc Graw-Hill.	OBLIGATORIA	35	8	4748-23143
Psicología del Desarrollo y el Aprendizaje	Primer Semestre	Ruz, J. (2003). Convivencia escolar y calidad de educación. Ministerio de educación. Chile.	OBLIGATORIA	35	4	18517
Psicología del Desarrollo y el Aprendizaje	Primer Semestre	Sharp, Margaret (1978) Psicología del Aprendizaje Infantil. Kopetusz, Buenos Aires.	OBLIGATORIA	35	1	1933
Psicología del Desarrollo y el Aprendizaje	Primer Semestre	Travers, Robert (1976). Fundamentos del Aprendizaje. Edición Abierta, Santillana, Madrid.	OBLIGATORIA	35	3	1842
Psicología del Desarrollo y el Aprendizaje	Primer Semestre	Suarez, M, (1998). Familia y valores. Escuela para padres, la hora del encuentro. Editorial Magisterio. Bogotá.	COMPLEMENTARIA	35	4	22613
Sociología Educacional	Primer Semestre	Gonzàlez-Anleo,Juan (1991) Para comprender la Sociología.( Cap.V) . Editorial Verbo Divino : Navarra. España.	OBLIGATORIA	35	0	
Sociología Educacional	Primer Semestre	Biertedt, Robert (1963) La ciencia de la Sociologìa. (En: The social order: an introduction to  To Sociology). MacGraw Hill Book Co. New York.	OBLIGATORIA	35	0	
Sociología Educacional	Primer Semestre	De Azevedo,Fernando(2013) Sociologìa de la Educaciòn.  Fondo de Cultura Econòmica, Mèxico. (Bibl. UDA 306.43 A994) (6 ejemplares).	OBLIGATORIA	35	6	21629
Sociología Educacional	Primer Semestre	Durkheim, Emile (2013) Educación y Sociologìa.  Ediciones Penìnsula,Barcelona.	OBLIGATORIA	35	0	
Sociología Educacional	Primer Semestre	Banks, Olive (1983) Aspectos sociológicos de la educación.  NARCEA S.A. DE Ediciones. Madrid.	COMPLEMENTARIA	35	1	20141
Sociología Educacional	Primer Semestre	Bonal , Xavier (1998) Sociología de la Educación.  Paidos Espasa Libros,S.L.U. España.	COMPLEMENTARIA	35	0	
Sociología Educacional	Primer Semestre	Bourdieu,P. (2003) Capital cultural, escuela y espacio social.  Editorial Siglo XXI, Argentina.	COMPLEMENTARIA	35	0	
Sociología Educacional	Primer Semestre	Bourdieu ,P y Passeron, J.C. (2003) Los Herederos: los estudiantes y la cultura. Editorial Siglo XXI, Buenos Aires.	COMPLEMENTARIA	35	0	
Sociología Educacional	Primer Semestre	Bunge, Mario (1993) Sociología de la Ciencia.   Editorial Siglo XXI, Argentina.  (1992) La ciencia, su método y su filosofìa. Editorial Siglo XXI,Buenos Aires.	COMPLEMENTARIA	35	0	
Sociología Educacional	Primer Semestre	Chinoy , E. (1974) Introducción a la Sociología.  Editorial Paidos, Argentina.	COMPLEMENTARIA	35	19	2080
Sociología Educacional	Primer Semestre	Corcuff, Philippe (2014) Las Nuevas Sociologías. Principales corrientes y debates, 1980-2010.  Siglo veintiuno editores, Argentina.	COMPLEMENTARIA	35	0	
Sociología Educacional	Primer Semestre	Durkheim, Emile (1997) La Educación Moral.  Editorial  Losada. Buenos Aires.  (2006) Las reglas del método sociológico.  Centro Editor de Cultura. Argentina.	COMPLEMENTARIA	35	1	10655
Sociología Educacional	Primer Semestre	Garretón, Manuel Antonio (2000) La sociedad en que vivi(re)mos.   Introducción sociológica al cambio de siglo.   LOM Ediciones, Chile.	COMPLEMENTARIA	35	0	
Sociología Educacional	Primer Semestre	González-Anleo, Juan(1991) Para comprender la Sociología.(Cap. 5) . Editorial Verbo Divino, Navarra, España.	COMPLEMENTARIA	35	0	
Sociología Educacional	Primer Semestre	Moreno B. Ernesto (1989) Manual de Introducción a la Sociología. C.P.U. Santiago, Chile.	COMPLEMENTARIA	35	0	
Sociología Educacional	Primer Semestre	Tirado Benedi, Domingo(1967) Sociologìa de la Educaciòn.  Fernández Editopress, S.A. México	COMPLEMENTARIA	35	0	
Sociología Educacional	Primer Semestre	Wrigth Mills, Charles (1986) La imaginación sociológica.  Fondo de cultura económica, Santiago.	COMPLEMENTARIA	35	0	
Filosofía de la Educación	Primer Semestre	Briones, G. (1999) Filosofía y teorías de las Ciencias Sociales.  Dolmen Ediciones. Santiago.Chile.	OBLIGATORIA	35	0	
Filosofía de la Educación	Primer Semestre	Hessen, J. (1991) Teorìa del conocimiento.  Colecciòn Austral, Espasa-Calpe Madrid.	OBLIGATORIA	35	5	19460-4867
Filosofía de la Educación	Primer Semestre	Peters , R.S. (1979) La Filosofía de la Educación. ( Cap.XII).Fondo de Cultura Económica. México.	OBLIGATORIA	35	0	
Filosofía de la Educación	Primer Semestre	Morin, Edgar (2016) Los siete saberes necesarios para la educación del futuro. Paidos, Buenos Aires.	OBLIGATORIA	35	6	21720-26792
Filosofía de la Educación	Primer Semestre	Althusser,Louis (1974) La Filosofía como arma de la Revolución.  Siglo XXI Editores. México.	COMPLEMENTARIA	35	0	
Filosofía de la Educación	Primer Semestre	Apple,M.(1986) Ideología y Curriculum.  Editorial Akal, Madrid.	COMPLEMENTARIA	35	0	
Filosofía de la Educación	Primer Semestre	Bourdieu, P. (2003) Capital cultural, escuela y espacio social. Editorial Siglo XXI, Argentina.	COMPLEMENTARIA	35	0	
Filosofía de la Educación	Primer Semestre	-Brugger,W. (1995) Diccionario de Filosofía.  Editorial Herder, Barcelona.	COMPLEMENTARIA	35	1	10203
Filosofía de la Educación	Primer Semestre	Cerutti G.,Horacio (1993) Filosofía de la Educación. Hacia una Pedagogía  para América Latina.  Universidad Nacional Autónoma de México.	COMPLEMENTARIA	35	0	
Filosofía de la Educación	Primer Semestre	Cirigliano, G. (1990) Filosofìa de la Educaciòn.  Editorial Humanitas,Buenos Aires.	COMPLEMENTARIA	35	4	1706
Filosofía de la Educación	Primer Semestre	Durkheim , E. ( S/f.) Sociología y Filosofía.  Edit. Zigzag, Chile.	COMPLEMENTARIA	35	1	1382
Filosofía de la Educación	Primer Semestre	Ferrater Mora, J, (1994) Diccionario de Filosofía.  Edit. Ariel, Barcelona.	COMPLEMENTARIA	35	4	21947
