RESUMEN DE BIBLIOGRAFÍA CONSINADA (LIBROS)					
					
TIPO DE BIBLIOGRAFIA	TOTAL CONSIGNADO	TOTAL DISPONIBLE	% COBERTURA		
COMPLEMENTARIA	106	64	60.377358490566		
NO INDICA	6	6	100		
OBLIGATORIA	204	187	91.6666666666667		
Total general	316	256	81.0126582278481		
					
ASIGNATURA	SEMESTRE	DETALLE DE BIBLIOGRAFÍA 	TIPO DE BIBLIOGRAFIA	CANTIDAD DE ESTUDIANTES POR ASIGNATURA	COPIAS EN BIBLIOTECA
Geometría	Primer Semestre	Reyes,C., Dissett, L.,Gormaz, R.,Geometría. Colección ReFIP: Recursos para la formación de profesores de educación básica. Ediciones SM Chile. Santiago, Chile. 2014.	OBLIGATORIA	35	0
Sociología Educacional	Primer Semestre	Gonzàlez-Anleo,Juan (1991) Para comprender la Sociología.( Cap.V) . Editorial Verbo Divino : Navarra. España.	OBLIGATORIA	35	0
Sociología Educacional	Primer Semestre	Biertedt, Robert (1963) La ciencia de la Sociologìa. (En: The social order: an introduction to  To Sociology). MacGraw Hill Book Co. New York.	OBLIGATORIA	35	0
Sociología Educacional	Primer Semestre	Durkheim, Emile (2013) Educación y Sociologìa.  Ediciones Penìnsula,Barcelona.	OBLIGATORIA	35	0
Sociología Educacional	Primer Semestre	Bonal , Xavier (1998) Sociología de la Educación.  Paidos Espasa Libros,S.L.U. España.	COMPLEMENTARIA	35	0
Sociología Educacional	Primer Semestre	Bourdieu,P. (2003) Capital cultural, escuela y espacio social.  Editorial Siglo XXI, Argentina.	COMPLEMENTARIA	35	0
Sociología Educacional	Primer Semestre	Bourdieu ,P y Passeron, J.C. (2003) Los Herederos: los estudiantes y la cultura. Editorial Siglo XXI, Buenos Aires.	COMPLEMENTARIA	35	0
Sociología Educacional	Primer Semestre	Bunge, Mario (1993) Sociología de la Ciencia.   Editorial Siglo XXI, Argentina.  (1992) La ciencia, su método y su filosofìa. Editorial Siglo XXI,Buenos Aires.	COMPLEMENTARIA	35	0
Sociología Educacional	Primer Semestre	Corcuff, Philippe (2014) Las Nuevas Sociologías. Principales corrientes y debates, 1980-2010.  Siglo veintiuno editores, Argentina.	COMPLEMENTARIA	35	0
Sociología Educacional	Primer Semestre	Garretón, Manuel Antonio (2000) La sociedad en que vivi(re)mos.   Introducción sociológica al cambio de siglo.   LOM Ediciones, Chile.	COMPLEMENTARIA	35	0
Sociología Educacional	Primer Semestre	González-Anleo, Juan(1991) Para comprender la Sociología.(Cap. 5) . Editorial Verbo Divino, Navarra, España.	COMPLEMENTARIA	35	0
Sociología Educacional	Primer Semestre	Moreno B. Ernesto (1989) Manual de Introducción a la Sociología. C.P.U. Santiago, Chile.	COMPLEMENTARIA	35	0
Sociología Educacional	Primer Semestre	Tirado Benedi, Domingo(1967) Sociologìa de la Educaciòn.  Fernández Editopress, S.A. México	COMPLEMENTARIA	35	0
Sociología Educacional	Primer Semestre	Wrigth Mills, Charles (1986) La imaginación sociológica.  Fondo de cultura económica, Santiago.	COMPLEMENTARIA	35	0
Filosofía de la Educación	Primer Semestre	Briones, G. (1999) Filosofía y teorías de las Ciencias Sociales.  Dolmen Ediciones. Santiago.Chile.	OBLIGATORIA	35	0
Filosofía de la Educación	Primer Semestre	Peters , R.S. (1979) La Filosofía de la Educación. ( Cap.XII).Fondo de Cultura Económica. México.	OBLIGATORIA	35	0
Filosofía de la Educación	Primer Semestre	Althusser,Louis (1974) La Filosofía como arma de la Revolución.  Siglo XXI Editores. México.	COMPLEMENTARIA	35	0
Filosofía de la Educación	Primer Semestre	Apple,M.(1986) Ideología y Curriculum.  Editorial Akal, Madrid.	COMPLEMENTARIA	35	0
Filosofía de la Educación	Primer Semestre	Bourdieu, P. (2003) Capital cultural, escuela y espacio social. Editorial Siglo XXI, Argentina.	COMPLEMENTARIA	35	0
Filosofía de la Educación	Primer Semestre	Cerutti G.,Horacio (1993) Filosofía de la Educación. Hacia una Pedagogía  para América Latina.  Universidad Nacional Autónoma de México.	COMPLEMENTARIA	35	0
Filosofía de la Educación	Primer Semestre	Freire, Paulo (2015) Pedagogía de los sueños posibles.   Siglo XXI editores. Argentina. 	COMPLEMENTARIA	35	0
Filosofía de la Educación	Primer Semestre	Hegel,G. (2009) Introducción a la historia de la Filosofía. Editorial Gradifco , Buenos Aires.	COMPLEMENTARIA	35	0
Filosofía de la Educación	Primer Semestre	Jasper, K. (1970) La Filosofía.  Fondo de cultura económica. México.	COMPLEMENTARIA	35	0
Filosofía de la Educación	Primer Semestre	Maritain, Jacques (1950) Introducciòn a la Filosofìa.  Biblioteca Argentina de Filosofìa.  Club de Lectores. Buenos Aires.	COMPLEMENTARIA	35	0
Filosofía de la Educación	Primer Semestre	Munizaga A.,R (S/F) Algunos temas de la Filosofía Educacional de don Valentin Letelier.  Editorial Universitaria. Santiago, Chile.	COMPLEMENTARIA	35	0
Filosofía de la Educación	Primer Semestre	Pérez,H.C. (2004) Qué es la Filosofía de la Educación.  Edit. Trillas, México, D.F.	COMPLEMENTARIA	35	0
Filosofía de la Educación	Primer Semestre	Weber, M. (2012) La ética protestante y el espíritu del capitalismo.  Ediciones Brontes, S.L. España.	COMPLEMENTARIA	35	0
Comprensión Lectora	Primer Semestre	Guía Estrategias Lectoras (compendio – se entrega impreso y digital -Fundamental.	OBLIGATORIA	35	0
Comprensión Lectora	Primer Semestre	Arredondo,Marcial (2014) Método de Comprensión Lectora . Catalonia Ltda.	COMPLEMENTARIA	35	0
