RESUMEN DE BIBLIOGRAFÍA CONSINADA (LIBROS)					
					
					
TIPO DE BIBLIOGRAFÍA	TITULOS CONSIGNADOS	TITULOS DISPONIBLES	% COBERTURA		
NO INDICA	142	131	92.2535211267606		
Total general	143	132	92.3076923076923		
					
					
TITULOS NO DISPONIBLES EN  BIBLIOTECA UDA					
					
ASIGNATURA	SEMESTRE	DETALLE DE BIBLIOGRAFÍA 	TIPO DE BIBLIOGRAFIA	CANTIDAD DE ESTUDIANTES POR ASIGNATURA	CANTIDAD DE COPIAS DISPONIBLES EN BIBLIOTECA 
Introducción a la Economía	101	Barraza, Carlos. “Apuntes de Introducción a la Economía”, 2000.	NO INDICA		0
Introducción a la Economía	101	Trívez, Francisco. “Introducción a la Economía”, 2004.	NO INDICA		0
Contabilidad Básica	101	 Horngren, Charles. “Contabilidad financiera”, 7° edición, 2000.	NO INDICA		0
Contabilidad Avanzada	102	· Horngren, Charles. “Contabilidad financiera”, 7° edición, 2000.	NO INDICA		0
Contabilidad Avanzada	102	· Romero, Álvaro. “Contabilidad Práctica para no Contadores”, 2013.	NO INDICA		0
Sistema de Información Administrativo	201	· McLeod, Raymond. “Sistema de Información Gerencial”, 2000.	NO INDICA		0
Proceso Industrial	202	· Instituto para la diversificación y Ahorro de la Energía; Redacción de Gasto Energético en Depuración, Bombeo y Suministro de Agua, 1989.	NO INDICA		0
Tecnologías de la Información y Comunicación	202	· Lardent, Alberto. “Sistemas de información para la gestión empresarial”, 1° Edición, Prentice Hall.	NO INDICA		0
Econometría	301	· Pearson, Eduardo. “Econometría con Aplicaciones”, Rentice Hall.	NO INDICA		0
Macroeconomía II	301	· Mochón, Francisco. “Principios de Macroeconomía”, 2005.	NO INDICA		0
