BIBLIOGRAFIA INGENIERIA COMERCIAL						
						
CARRERA:	INGENIERIA COMERCIAL					
						
						
ASIGNATURA	SEMESTRE	DETALLE DE BIBLIOGRAFÍA 	TIPO DE BIBLIOGRAFIA	CANTIDAD DE COPIAS DISPONIBLES EN BIBLIOTECA 	NRO DE BIB# 	PRESTAMOS 0
Álgebra I	101	Anton, Howard. “Introducción al Algebra Lineal”, 1978.	NO INDICA	5	2510	
Álgebra I	101	Baldor, J. “Geometría Plana y del Espacio: Con una introducción a la Trigonometría”, 1974.	NO INDICA	10	2337-21838	
Álgebra I	101	Cameron, Edward. “Álgebra and Trigonometry”, 196O	NO INDICA	2	2446	
Álgebra I	101	Calter, Paul. “Teoría y Problemas de Fundamentos Matemáticos”, 1983.	NO INDICA	1	2476	0
Álgebra I	101	Elal, Salim: Cuadra, Eduardo: Mercado, Roberto. “Geometría Analítica”, 1987.	NO INDICA	2	2506	0
Álgebra I	101	 Hawk, Minor. “Teoría y Problemas de Geometría Descriptiva”, 1970.	NO INDICA	24	2483	
Álgebra I	101	Lehmann, Charles. “Álgebra”, 1989.	NO INDICA	5	2590-2703	
Álgebra I	101	Porschle, Francisco. “Curso de Matemáticas Elementales: Álgebra”, 1980.	NO INDICA	3	2443-14566	
Álgebra I	101	Swokowski, Earl. “Algebra Universitaria”, 1971.	NO INDICA	1	2496	
Álgebra I	101	Sobel, Max. “Álgebra”, 1996.	NO INDICA	2	11373	
Álgebra I	101	Warner, Frank: Mc Neary, Matthew. “Geometría Descriptiva Aplicada”, 1964.	NO INDICA	1	2455	0
Cálculo I	101	Arancibia, Sara: Mena, Jaime. “Matemáticas para Ingeniería: Introducción al Cálculo”, 1994.	NO INDICA	3	7742	
Cálculo I	101	Ayres, Frank: Mendelson, Elliot. “Cálculo”, 2010.	NO INDICA	2	22551	0
Cálculo I	101	Burgos, Juan. “Cálculo Infinitesimal de Varias Variables”, 1997.	NO INDICA	1	11018	0
Cálculo I	101	Freyhoffer I. “Hugo; Cálculo I”, 1994.	NO INDICA	2	5173	0
Cálculo I	101	Larson, Ron: Hostetler, Robert: Edwards, Bruce. “Cálculo Diferencial, Matemática I”, 2009.	NO INDICA	2	22564	0
Cálculo I	101	Simmons, George: Krantz, Steven. “Ecuaciones Diferenciales: Teoría, Técnica y Práctica”, 2007.	NO INDICA	1	24472	
Introducción a la Economía	101	Barraza, Carlos. “Apuntes de Introducción a la Economía”, 2000.	NO INDICA	0		
Introducción a la Economía	101	Díaz, Luis: Ortega, Victor: Gillmore, Michael. “Introducción a la Economía I: Aproximación Conceptual y Empírica a Algunos Temas Relevantes en la Economía”, 2000.	NO INDICA	1	15876	0
Introducción a la Economía	101	Gonzáles, Manuel: Castejón, Rafael: Gómez, José: Martínez, Juan: Méndez, Ester: Mechón, Amelia. “Introducción a la Economía”, 2004.	NO INDICA	11	18156	
Introducción a la Economía	101	Paschoal, José. “Introducción a la Economía”, 1994.	NO INDICA	2	8937	0
Introducción a la Economía	101	Samuelson, Paul. “Economía”, 1984.	NO INDICA	17	1445-14434	
Introducción a la Economía	101	Trívez, Francisco. “Introducción a la Economía”, 2004.	NO INDICA	0		
