ASIGNATURA	SEMESTRE	DETALLE DE BIBLIOGRAFÍA 	TIPO DE BIBLIOGRAFIA	CANTIDAD DE ESTUDIANTES POR ASIGNATURA	CANTIDAD DE COPIAS DISPONIBLES EN BIBLIOTECA 	NRO DE BIB# 
Legislación Tributaria	302	· Boletines mensuales del Servicio de Impuestos internos.			0	
Legislación Tributaria	302	· Decretos de ley 824, 825 y 830.			0	
Legislación Tributaria	302	· Manual de consultas tributarias.			0	
Inglés VI	501	· Tell me More			0	
Inglés II	301	· http://www.bbc.co.uk/learningenglish	NO INDICA		R/D	
Inglés II	301	· http://dictionary.cambridge.org/es/	NO INDICA		R/D	
Inglés II	301	· http://www.wordreference.com/	NO INDICA		R/D	
Inglés II	301	· http://www.linguee.com/	NO INDICA		R/D	
Derecho Comercial	301	· Argeni, Saúl. “Diccionario Comercial y de la Empresa”, 1992.	NO INDICA		0	
Derecho Comercial	301	· Baeza, Gonzalo. “Derecho Comercial”, 1998.	NO INDICA		3	10687
Derecho Comercial	301	· Contreras, Osvaldo. “Instituciones de Desempeño Comercial”, 2011.	NO INDICA		0	
Derecho Comercial	301	· Ministerio de Justicia. “Código de Comercio”, 2013.	NO INDICA		20	24386-23932
Derecho Comercial	301	· Ministerio de Justicia. “Código de Procedimiento Civil”, 2005.	NO INDICA		83	23711-24479-27392-2138-15467
Derecho Comercial	301	· Puelma, Álvaro. “Sociedades”, 2001.	NO INDICA		32	3425
Derecho Comercial	301	· Puga, Juan. “El Acto de Comercio: Crítica a la Teoría Tradicional”, 2005.	NO INDICA		3	22017
Derecho Comercial	301	· Sandoval, Ricardo. “Derecho Comercial: Contratos Mercantiles, Reglas Generales, Compraventa, Transporte, Seguros y Operaciones Bancarias”, 2001.	NO INDICA		2	15998
Derecho Comercial	301	· Sandoval, Ricardo. “Contratos Mercantiles”, 2005.	NO INDICA		26	25376-21429
Gestión de Personas	302	· Chiavenato, Idalberto. “Administración de Recursos Humanos: El Capital Humano de las Organizaciones”, 2011.	NO INDICA		9	24716-28013
Gestión de Personas	302	· Costa, Miguel: López Ernesto. “Los Secretos de la Dirección: Liderar y Fortalecer Personas y Equipos”, 2009.	NO INDICA		2	22151
Gestión de Personas	302	· De La Plaza, Javiera. “La Inteligencia Asertiva: En la Empresa y el Trabajo”, 2009.	NO INDICA		2	24080-23700
Gestión de Personas	302	· Dessler, Gary: Varela Ricardo. “Administración de recursos humanos. Enfoque latinoamericano”. 2004.	NO INDICA		12	27598-18656
Gestión de Personas	302	· Gómez, Luis. “Gestión de Recursos Humanos”, 2008.	NO INDICA		7	14265-23764
Gestión de Personas	302	· Muñoz, Oscar. “Gestión de Recursos Humanos por Competencias en una Empresa PYME”, 2004.	NO INDICA		1	18363
Gestión de Personas	302	· Varela, Ricardo. “Administración de Compensación: Sueldos, Salarios y Prestaciones”, 2006.	NO INDICA		0	
Gestión de Personas	302	· Werther, William. “Administración de Recursos Humanos: El Capital Humano de las Organizaciones”, 2008.	NO INDICA		1	24728
Gestión de Operaciones	302	· Udaondo, Miguel. “Gestión de la Calidad”, 1992.	NO INDICA		1	1160
Gestión de Operaciones	302	· Galgano, Alberto. “Calidad Total: Clave Estratégica para la Competitividad de la Empresa”, 1993.	NO INDICA		1	1396
Gestión de Operaciones	302	· Dulme, Carlos. “Técnicas Estadísticas y Administrativas: Para el Aumento de la Calidad y la Productividad”, 1984.	NO INDICA		1	432
Gestión de Operaciones	302	· Schroeder, Roger. “Administración de Operaciones: Toma de Decisiones en la Función de Operaciones”, 1990.	NO INDICA		3	462
Taller de Relaciones Interpersonales	302	Reeve, Johnmarshall. “Motivación y Emoción”, 1995.	NO INDICA		2	10946
Taller de Relaciones Interpersonales	302	• Goleman, Daniel. “La Inteligencia Emocional”, 1996.	NO INDICA		4	9007-27107
Taller de Relaciones Interpersonales	302	• Segal, Jeanne. “Su Inteligencia Emocional: Aprenda a Incrementarla y a Usarla”, 1998.	NO INDICA		1	9967
Taller de Relaciones Interpersonales	302	• Dalton, Marie: Hoyle, Dawn: Watts Marie. “Relaciones Humanas”, 2006.	NO INDICA		1	22417
Taller de Relaciones Interpersonales	302	• Cohen, Jozef: González, Francisco. “Sensación y Percepción Visual”, 1976.	NO INDICA		1	4644
Finanzas Corporativas I	302	· Fred, Eugine. “Fundamentos de Administración Financiera”, Edit. Mc Graw Hill, 1996.	NO INDICA		0	
Finanzas Corporativas I	302	· Chiavenato, Idalberto. “Iniciación a la Administración Financiera”, Edit. Mc Graw Hill, 1998.	NO INDICA		0	
Finanzas Corporativas I	302	· Torres, Gabriel. “Estados Financieros”, Santiago, Chile, Cono Sur, 2001.	NO INDICA		4	560-17683-23756
Finanzas Corporativas I	302	· Van Horne, James. “Administración Financiera”, Edit. Mc Graw Hill, 1996.	NO INDICA		3	2180-10874
Inglés III	302	· http://www.bbc.co.uk/learningenglish	NO INDICA		R/D	
Inglés III	302	· http://dictionary.cambridge.org/es/	NO INDICA		R/D	
Inglés III	302	· http://www.wordreference.com/	NO INDICA		R/D	
Inglés III	302	· http://www.linguee.com/	NO INDICA		R/D	
Legislación Tributaria	302	· Araya, Gabriel. “Manual de Legislación Tributaria”, 1995.	NO INDICA		1	7948
Legislación Tributaria	302	· Otorola, Eladio. “Tratado Práctica de Legislación Tributario: Legislación Actualizada, Circulares, Resoluciones SII, Estadísticas, Operaciones Renta”, 1995.	NO INDICA		0	
Legislación Tributaria	302	· Radovic, Ángela. “Obligación Tributaria”, 1998.	NO INDICA		1	10683
Comportamiento Organizacional	401	· Lazzati, Santiago. “El Cambio del Comportamiento en el Trabajo”, 2012.	NO INDICA		1	24806
Comportamiento Organizacional	401	· Robbins, Stephen: Judge, Timothy. “Comportamiento Organizacional”, 2009.	NO INDICA		9	22552-4769
Comportamiento Organizacional	401	· Luthans, Fred. “Comportamiento Organizacional”, 2007.	NO INDICA		3	24732
Comportamiento Organizacional	401	· Robbins, Stephen. “Comportamiento Organizacional”, 2004.	NO INDICA		36	18662-27169
Comportamiento Organizacional	401	· Hellriegel, Don: Slocum, John. “Comportamiento Organizacional”, 2004.	NO INDICA		1	27603
Comportamiento Organizacional	401	· DuBrin, Andrew. “Fundamentos del Comportamiento Organizacional”, 2003.	NO INDICA		1	19261
Logística Empresarial	401	· Bowersox, Donald: Closs, David: Coper, M. Bixby. “Administración y Logística en la Cadena de Suministro”, 2007.	NO INDICA		3	24729
Logística Empresarial	401	· Carranza, Octavio: Sabriá, Federico. “Logística: Mejoras Prácticas en Latino América”, 2004.	NO INDICA		5	18900
Logística Empresarial	401	· Simchi-Levi, David: Kaminsky, Philip: Simchi-Levi, Edith. “Designing and Managing the Supply Chain: Concepts, Strategies, and Cases”, McGraw-Hill,2003.	NO INDICA		0	
Gestión Estratégica	401	· Hitt, Ireland. “Administración Estratégica”, 7° Edición, Editorial Cengage Learning, 2008.	NO INDICA		4	18934-23702
Gestión Estratégica	401	· Kaplan, R.: D. Norton. “Cuadro de Mando Integral, Gestión 2000”, 2° Ed. Barcelona, España, 2000.	NO INDICA		2	27205
Gestión Estratégica	401	· Kovacevic, Antonio: Reynoso, Álvaro. “El Diamante de la Excelencia Organizacional. Una Propuesta para Mejorar la Implementación de la Estrategia”, Editorial El Mercurio Aguilar, 1° Ed Santiago, Chile, 2010.	NO INDICA		0	
Gestión Estratégica	401	· Porter, Michael. “Ventaja Competitiva. Creación y Sostenimiento de un Desempeño Superior”, Compañía Editorial Continental, 15° Ed. México, 2008.	NO INDICA		3	21947
Gestión Estratégica	401	· Thomas, L.: J. David. “Administración estratégica y Política de Negocios”, 6° Ed., Editorial Prentice Hall, 2007.	NO INDICA		3	22054
Finanzas Corporativas II	401	Berk, Jonathan. “Finanzas Corporativas”, 2008.	NO INDICA		1	23588
Finanzas Corporativas II	401	· Bacchini, Roberto: Matsuda, Flavia: García, Javier: García, Matías. “Modelos Financieros Utilizando Microsoft Excel”, 2008.	NO INDICA		3	22478
Finanzas Corporativas II	401	· Sapag, Nassir. “Criterios de Evaluación de Proyectos: Como Medir la Rentabilidad de las Inversiones”, 2011.	NO INDICA		3	444
Finanzas Corporativas II	401	· Ross, Stephen. “Finanzas Corporativas”, 2012.	NO INDICA		15	24726-28438
Finanzas Corporativas II	401	· Ross, Stephen: Westerfield, Randolph: Jaffe, Jeffrey. “Finanzas Corporativas”, 2009.	NO INDICA		15	24726-28438
Finanzas Corporativas II	401	· Termes, Rafael. “Inversión de Costo de Capital: Manual de Finanzas”, 1998.	NO INDICA		1	11343
Inglés IV	401	· http://www.bbc.co.uk/learningenglish	NO INDICA		R/D	
Inglés IV	401	· http://dictionary.cambridge.org/es/	NO INDICA		R/D	
Inglés IV	401	· http://www.wordreference.com/	NO INDICA		R/D	
Inglés IV	401	· http://www.linguee.com/	NO INDICA		R/D	
Marketing I	401	· Cambin, Jean: Gallucci, Carlo: Sicurello, Carlos. “Dirección de Marketing: Gestión Estratégica y Operativa del Mercado”, 2009.	NO INDICA		2	23551-25868
Marketing I	401	· Catera, Phillip: Gilly, Mary: Graham, John. “Marketing Internacional”, 2010.	NO INDICA		1	24724
Marketing I	401	· Kotler, Philip: Armstrong, Gary. “Fundamentos de Marketing”, 2008.	NO INDICA		7	22673
Marketing I	401	· Pérez, Emilio. “E-Marketing: El Marketing a través de las Nuevas Tecnologías”, 2006.	NO INDICA		1	22972
Marketing I	401	· Zeithaml, Valerie: Jo, Mary: Gremler, Dwayne. “Marketing de Servicios”, 2009.	NO INDICA		1	24712
Práctica Formativa	401		NO INDICA			
Desarrollo Organizacional	402	· Ahumada, Luis. “Teoría y Cambio en las Organizaciones: Un Acercamiento desde los Modelos de Aprendizaje Organizacional”, 2001.	NO INDICA		1	17693
Desarrollo Organizacional	402	· Guízar, Rafael. “Desarrollo Organizacional: Principios y Aplicaciones”, 2008.	NO INDICA		5	27170
Desarrollo Organizacional	402	· Kourilsky, Françoise. “Coaching: Cambio en las Organizaciones”, 2005.	NO INDICA		1	21236
Desarrollo Organizacional	402	· Lazzati, Santiago. “El Cambio del Comportamiento en el Trabajo”, 2012.	NO INDICA		1	24806
Desarrollo Organizacional	402	· Rodríguez, Danto. “Diagnóstico Organizacional”, 2002.	NO INDICA		5	19588
Desarrollo Organizacional	402	· Universidad de Viña del Mar. “Actualizaciones para el Management y el Desarrollo Organizacional”, 2006.	NO INDICA		1	19904
Taller de Innovación y Emprendimiento	402	· Brown, Tim. “Change By Design”, New York, United States: Harper Business, 2009.	NO INDICA		0	
Taller de Innovación y Emprendimiento	402	· Brunner, Robert: Emery, Stewart. “Hall Do you Matter? How Great Design Will Make People Love Your Company”, 1° edition, August 22, 2008.	NO INDICA		0	
Taller de Innovación y Emprendimiento	402	· Abrams, Bill. “Observational Research Handbook: Understanding How Consumers Live with Your Product”, McGraw-Hill; 1° edition, March 1, 2000.	NO INDICA		0	
Taller de Innovación y Emprendimiento	402	· Ladner, Sam. “Practical Ethnography: A Guide to Doing Ethnography in the Private Sector”, Left Coast Press, April 15, 2014.	NO INDICA		0	
Taller de Innovación y Emprendimiento	402	· Moggridge, Bill. “Designing Interactions”, The MIT, 1° edition, October 1, 2007.	NO INDICA		0	
Taller de Innovación y Emprendimiento	402	· Patnaik, Dev. “Needfinding: Design Research and Planning”, CreateSpace Independent Publishing Platform, March 23, 2013.	NO INDICA		0	
Optativo 1	402		NO INDICA			
Electivo 1	402		NO INDICA			
Inglés V	402	· http://www.bbc.co.uk/learningenglish	NO INDICA		R/D	
Inglés V	402	· http://dictionary.cambridge.org/es/	NO INDICA		R/D	
Inglés V	402	· http://www.wordreference.com/	NO INDICA		R/D	
Inglés V	402	http://www.linguee.com/	NO INDICA		R/D	
Marketing II	402	· Kotler, Philip. “Fundamentos de Mercadotecnia”, 2008.	NO INDICA		1	509
Marketing II	402	· Porter, Michael. “Ventaja Competitiva: Creación y Sostenimiento de un Desempeño Superior”, 2008.	NO INDICA		3	21947
Marketing II	402	· Kotler, Philip: Armstrong, Gary. “Fundamentos de Marketing”, 2008.	NO INDICA		7	22673
Marketing II	402	· Balanko-Dickson, Grea. “Como Elaborar un Plan de Marketing Exitoso”, 2008.	NO INDICA		1	24727
Marketing II	402	· Fernández, Ricardo. “Manual para Elaborar un Plan de Mercadotecnia: Un Enfoque Latino Americano”, 2001.	NO INDICA		1	21284
Trabajo de Titulación I	501		NO INDICA			
Electivo 2	501		NO INDICA			
Preparación y Evaluación de Proyectos	501	· Baca, Gabriel. “Evaluación de Proyectos”, 4° Edición.	NO INDICA		4	2808-  22553
Preparación y Evaluación de Proyectos	501	· Sapag, José Manuel. “Evaluación de Proyectos: Guía de ejercicios soluciones y problemas”.	NO INDICA		5	10266-28647
Preparación y Evaluación de Proyectos	501	· Sapag, Nassir: Sapag, Reinaldo. “Preparación y Evaluación de Proyectos”, 2003.	NO INDICA		7	757-21628
Preparación y Evaluación de Proyectos	501	· Sapag, Nassir. “Proyectos de Inversión: Formulación y Evaluación”, 2011	NO INDICA		4	24740
Ética y Moral Profesional	501	· Escobar, Gustavo. “Ética: Introducción a su Problemática y su Historia”, 2004.	NO INDICA		14	4874-14673-19850
Ética y Moral Profesional	501	· Frederick, Robert. “La Ética en los Negocios: Aplicación a Problemas Específicos en las Organizaciones de Negocios”, 2001.	NO INDICA		2	22780
Ética y Moral Profesional	501	· Nuño, Francisco. “Filosofía, Ética, Moral y Valores”, 2004.	NO INDICA		1	21296
Inglés VI	501	· Allison, J.: Powell, M. “In Company Case studies”, Oxford, Macmillan, 2005. http://www.wordreference.com/es/	NO INDICA		R/D	
			NO INDICA			
Inglés VI	501	· htto://cambridgedictionary.org/	NO INDICA		R/D	
Inglés VI	501	· http://learnenglish.britishcouncil.org/en/	NO INDICA		R/D	
Inglés VI	501	· http://www.usingenglish.com/	NO INDICA		R/D	
Inglés VI	501	· http://www.engvid.com/	NO INDICA		R/D	
Inglés VI	501	· http://www.ego4u.com/	NO INDICA		R/D	
Inglés VI	501	· http://www.eslgold.com/	NO INDICA		R/D	
Inglés VI	501	· http://linguee.cl	NO INDICA		R/D	
Optativo 1	301	· Boletines oficiales de la Dirección del Trabajo.	NO INDICA		0	
