							
							
ASIGNATURA	SEMESTRE	DETALLE DE BIBLIOGRAFÍA 	TIPO DE BIBLIOGRAFIA	CANTIDAD DE ESTUDIANTES POR ASIGNATURA	CANTIDAD DE COPIAS DISPONIBLES EN BIBLIOTECA 	NRO DE BIB# 	DISPONIBILIDAD
Pensamiento  Crítico	TERCERO	Paul R. &  Elder L (2003)  La mini-guía  para el pensamiento  Crítico  Conceptos  y Herramientas. Pag. 4 Recuperado  el 06 de Agosto  del 2009 de http://www.criticalthinking.org/rcsources/PI)F/SP-Co11ccptsandTools.pdf	OBLIGATORIA		R/E		1
Pensamiento  Crítico	TERCERO	Paul R. &  Elder L. (2002)  El arte de formular  preguntas  esenciales  (The art of asking  essiencial questions)  Recuperado  el 12 de Agosto  de 2009 dehttp://w,,·w.criticalthinking.org/resources/PDF'/SP-Asldngüuestions.pdf	OBLIGATORIA		R/E		1
Sociedad  y Derecho	PRIMERO	Informes  de naciones  unidas	OBLIGATORIA		0		0
Sociedad  y Derecho	PRIMERO	Pensamiento  del sur en distintos  autores	OBLIGATORIA		0		0
Sociedad  y Derecho	PRIMERO	PNUMA Informes	COMPLEMENTARIA		0		0
Sociedad  y Derecho	PRIMERO	Informes  W orldwatch  Institute	COMPLEMENTARIA		0		0
Historia  del Derecho en Chile	SEGUNDO	Palma Eric Eduardo.  Historia del  Derecho l.  Editorial Universidad Central 2001 en www.ericeduardopalrna.cl/publicaciones.htm.	COMPLEMENTARIA		0		0
Filosofia  del Derecho	OCTAVO	GUADARRAMA,  Pablo  ( 1996)  ¿Para  qué  filosofar? Disponible  en: http:ljwww.filosofia.org/  mon/cub/dt021.htm	COMPLEMENTARIA		0		0
Ética Profesional	NOVENO	CÓDIGO  DE  ÉTICA  ABOGADOS.  Disponible   en:  http://www.abogados.cl/cgi- bin/procesa.pl?%20abogados%20%3A%20C%F3digo%20de%20%C9tica%20Profesionalplantilla=/v2/cont_listado.html&idcat=429&nseccion=colegio%20de	OBLIGATORIA		0		0
Ética Profesional	NOVENO	PARDO  VALENCIA,  Fanny  ( 1969) Ética y Derecho  de la abogacía  en Chile.  Ed. Jurídica de Chile.  Disponible en:  http://www.colegioabogados.cl	OBLIGATORIA		0		0
Control  y Responsabilidad Patrimonial de la Administración	SEXTO	"BORDALÍ SALAMANCA, Andrés. ""La Administración Pública ante los Tribunales de Justicia Chileno"", en Revista Chilena de Derecho, Vol. 33 Nº 1, pp. 17-36, 2006."	COMPLEMENTARIA		0		0
Negociación  Jurídica	NOVENO	Articulo Evolución de la resolución alternativa de controversias civiles y comerciales en Chile de  Karin Helmlinger Casanova y Javier Cruz Tamburrino del Libro Arbitraje y mediación en las Américas.	COMPLEMENTARIA		0		0
Negociación  Jurídica	NOVENO	"Artículo ""La negociación internacional, perspectiva transcultural"".  Prof. Glen Ficher."	COMPLEMENTARIA		0		0
Sistema Constitucional  Chileno	TERCERO	" CHIA,  EDUARDO  (2014)  Análisis  de la sentencia  Artavia  Murillo  y Otros  (""Fecundación  in vitro"") VS Costa Rica de la Corte Interamericana  de Derechos  Humanos"",  en Estudios Constitucionales, Año  12 Nº  1,  pp.  567-585."	COMPLEMENTARIA		0		0
Sociedad  y Derecho	PRIMERO	Periódicos  internacionales,  nacionales  y locales	OBLIGATORIA	0			
