RESUMEN DE BIBLIOGRAFÍA CONSINADA (LIBROS)					
					
TIPO DE BIBLIOGRAFIA	CONSIGNADO	DISPONIBLE EN BTCA	% COBERTURA		
OBLIGATORIA	169	148	87.5739644970414		
COMPLEMENTARIA	105	88	83.8095238095238		
NO INDICA	3	3	100		
Total general	290	239	82.4137931034483		
					
TITULOS NO DISPONIBLES EN  BIBLIOTECA UDA 					
					
ASIGNATURA	SEMESTRE	DETALLE DE BIBLIOGRAFÍA 	TIPO DE BIBLIOGRAFIA	CANTIDAD DE COPIAS DISPONIBLES EN BIBLIOTECA 	
Teoría  de las Obligaciones	QUINTO	ALESSANDRI,  SOMARRIV A  Y  VODANOVIC,  Tratado  de  las  Obligaciones.  Ed. Jurídica  de Chile	COMPLEMENTARIA	0	
Litigación General	NOVENO	BAILEY,  Lee. (2000)  Cómo  se gana los juicios.  El abogado  litigante.  Ed. Limusa.	COMPLEMENTARIA	0	
Comunicación  y Discurso	SEGUNDO	BÉJAR HURTADO, M. (Ed.). (1991). Arte de hablar, o sea, retórica de las conversaciones: Se anaden los avisos de Isócrates a Demónico, traducidos del griego. Madrid: Gredos.	COMPLEMENTARIA	0	
Comunicación  y Discurso	SEGUNDO	BLÁZQUEZ FERNÁNDEZ, Niceto (1998) La ética en los medios. Instituto Internacional de Teología a Distancia.	OBLIGATORIA	0	
Pensamiento  Crítico	TERCERO	Boisvert,  J.  (2004).  La formación  del pensamiento  crítico.  Teoría  y práctica.  Fondo  de cultura económica.  P.p 29 -  55	OBLIGATORIA	0	
Comunicación  y Discurso	SEGUNDO	BONILLA, S (1194). Un modelo pragmático. Ensayo crítico sobre la teoría de la  relevancia. Thesis Doctoral. Universidad de Barcelona	COMPLEMENTARIA	0	
Recursos Procesales	OCTAVO	CHAHUÁN,  S., Manual  de Derecho  procesal  penal chileno.  Ed. Jurídica  de Chile.	COMPLEMENTARIA	0	
Proceso Penal	SEPTIMO	CHAHUÁN,  Sabas (2001)  Manual  de Derecho  procesal  penal chileno.  Ed. Conosur.	OBLIGATORIA	0	
Control  y Responsabilidad Patrimonial de la Administración	SEXTO	"CORDERO  QUINZACARA,  Eduardo;  ""La  Administración del  Estado  en Chile  y el concepto  de autonomía"",  en Contraloría  General  de la República 85 años  de vida  Institucional  (1927-2012),  pp.15-33."	COMPLEMENTARIA	0	
Proyecto  de Tesis	NOVENO	CORRAL  T ALCIANI,  Hernán  (201 O),  Cómo  hacer  una  tesis  en metodología  de la investigación  Jurídica. Derecho.  Curso  de Ed.  Jurídica  de Chile.	OBLIGATORIA	0	
Elaboración  de tesis	DECIMO	Corral  Talciani,  Hernán  (201 O),  Cómo  hacer  una tesis en Derecho.  Curso  de metodología  de la investigación  Jurídica.  Ed. Jurídica  de Chile.	OBLIGATORIA	0	
Comunicación  y Discurso	SEGUNDO	COSTA, Joan.  (2001). La  comunicación en  acción:  informe sobre  la nueva  cultura de gestión. Piados.	OBLIGATORIA	0	
Teoría del Estado	SEGUNDO	DUVERGER,  Maurice  (1971)  Instituciones  Políticas  y Derecho  Constitucional,  Ed. Ariel.	COMPLEMENTARIA	0	
Delitos  contra  Bienes  Jurídicos Fundamentales	SEXTO	ETCHEVERRY,  A.  (1998)  Derecho  Penal Chileno.  Parte Especial.  Ed. Jurídica  de Chile.	OBLIGATORIA	0	
Delitos  contra  Bienes  Jurídicos  Especiales	SEXTO	ETCHEVERRY,  Alfredo (1998) Derecho Penal Chileno. Parte Especial. Ed. Jurídica de Chile.	OBLIGATORIA	0	Mismo Titulo
Sistema Constitucional  Chileno	TERCERO	"GARROTE,  EMILIO (2014)  ""Derechos  Sociales  y  su justiciabilidad  una  tarea  pendiente ¿Del  Constituyente  o  del  Legislador?"",  en  Estudios  para  una  Nueva  Constitución,  Edit. Metropolitana,  pp. 633-652."	COMPLEMENTARIA	0	
Estatuto  Personal  de la Familia	SEPTIMO	GOMEZ DE LA TORRE VARGAS, Maricruz (2007) El sistema filiativo chileno: (filiación  biológica, por técnicas de reproducción asistida y por adopción), Ed. Jurídica de Chile.	COMPLEMENTARIA	0	
Expresión  Oral y Escrita	PRIMERO	Gómez Torrego, Leonardo, (2006). Hablar y escribir correctamente. Gramática normativa del español actual, 2 vols., Madrid, Arco Libros.	COMPLEMENTARIA	0	
Complejidad y Derecho	QUINTO	GÓMEZ,  Taeli  (2016)  La  crisis  ecosocial  y  su  manifestación  como  epistemología.  Ed. Académica  Española.	COMPLEMENTARIA	0	
Pensamiento Complejo	CUARTO	GÓMEZ,  Taeli  (2016)  La crisis  ecosocial  y su  manifestación  como  epistemología.  Ed.  Académica Española.	COMPLEMENTARIA	0	
