PLANILLA DE BIBLIOGRAFÍA OBLIGATORIA Y COMPLEMENTARIA DE LOS PROGRAMAS DE ASIGNATURA 2022							
							
CARRERA: Carrera de Licenciatura en Educación y Pedagogía en Educación Física							
							
							
ASIGNATURA	SEMESTRE	DETALLE DE BIBLIOGRAFÍA 	TIPO DE BIBLIOGRAFIA	CANTIDAD DE ESTUDIANTES POR ASIGNATURA	CANTIDAD BIBLIOTECA	Nro Biblioteca	Disponibilidad
Didactica del Báquetbol 1	Primer Semestre	"Carrillo, A. ""El Básquet a su medida"", Editorial INDE Publicaciones. Barcelona, España 2004"	Obligatoria	28	3	22313	1
Didáctica del Báquetbol 1	Primer Semestre	"Mendez-Ximenez, A. ""Técnicas de enseñaza en la iniciación al Baloncesto"" Editorial INDE Publicaciones. España 2005"	Obligatoria	30	1	22023	1
Didáctica del Báquetbol 1	Primer Semestre	"Montero, A. ""Didáctica del Baloncesto"" Editorial Paidotribo. España 2018"	Obligatoria	30	0		0
Didáctica del Báquetbol 2	Segundo Semestre	"Gonzalez, A. ""Baloncesto para Educar"" Editorial Kolima Books. España 2018"	Obligatoria	30	0		0
Didáctica del Báquetbol 2	Segundo Semestre	"Kraft, W. ""Aprendiendo a jugar Básquetbol en la escuela"". Editorial Stadium Boocks. España 2020"	Obligatoria	30	0		0
Didáctica del Báquetbol 2	Segundo Semestre	"Torres, C. ""La formación del educador deportivo en baloncesto"". Bloque especifico nivel 1 Editorial Vanceulen Editorial Deportiva. Sevilla España 2006"	Complementaria	30	0		0
Didáctica del Báquetbol 2	Segundo Semestre	"Torres, C. ""La formación del educador deportivo en baloncesto"". Bloque Común Editorial Vanceulen Editorial Deportiva. Sevilla España 2006"	Complementaria	30	0		0
Didáctica del Báquetbol 2	Segundo Semestre	"Torres, C. ""La formación del educador deportivo en baloncesto"". Bloque especifico nivel 2 Editorial Vanceulen Editorial Deportiva. Sevilla España 2006"	Complementaria	30	0		0
Metodología de la investigación educativa	Pimer Semestre	"J.R. Tomas; J.K. Nelson, "" Métodos en investigación en actividad física"". Editorial Paidotribo. España 2006"	Obligatoria	30	0		0
Metodología de la investigación educativa	Pimer Semestre	" Hernández Sampiere, R. ""Metodologia Investigacion Rutas CNT,  CLT"" Editorial Mcgraw-Hill. Mexico 2020"	Obligatoria	30	18	28105	1
Metodología de la investigación educativa	Segundo  Semestre	"Bizquerra, R. "" Metodología de la investigación educativa"". Editorial dit La Muralla, S.A., Madrid 2009"	Obligatoria	30	37	5098-22516-25115-25734-25859-28759	1
Actividad Física Nutrición y Salud	Segundo  Semestre	"Mahecha, S. ""Actividad Fisica Y Ejercicio En La Salud Del Niño Y El Adolescente"". Editorial Mediterraneo España "	Obligatoria	30	0		0
Actividad Física Nutrición y Salud	Segundo  Semestre	"Sánchez Bañuelos, F. "" La Actividad Física Orientada Hacia la Salud"" Editorial Biblioteca Nueva. Madrid España 1996"	Obligatoria	30	0		0
Actividad Física Nutrición y Salud	Segundo  Semestre	"Castillo, J. ""Educación Física  Inclusiva"". Editorial Eae. España 2020"	Complementaria	30	0		0
Metodología de la investigación educativa	Segundo  Semestre	"Lomelín, M.  ""Cómo Hacer Investigación Cuantitativa en Educación Física"" Editoria Inde. Madrid España 2007"	Obligatoria	30	0		0
Metodología de la investigación educativa	Segundo  Semestre	"Maureira, F. ""Manual de Investigación Científica: Para Estudiantes de Educación Física"". Editorial Académica Española
. España 2012"	Complementaria	30	0		0
Actividad Física Nutrición y Salud	Segundo  Semestre	"Hernández. A. ""Actividad Fisica+Deporte Escolar = Salud y Felicidad Infanto/Juvenil"". Editorial Académica Española. España 2020"	Complementaria	30	0		0
Actividad Física Nutrición y Salud	Segundo  Semestre	"González, V. ""Actividad Física y Adultos Mayores"". Editorial Académica Española. España 2019"	Complementaria	30	0		0
Metodología de la investigación educativa	Segundo  Semestre	"Rodriguez, J. ""Los Títulos de Tesis en Investigación Científica"". Editorial Académica Española. España. España 2021"	Complementaria	30	0		0
Diseño Curricuclar 	Segundo Semestre	Román, M.  Diseños curriculares de aula: un modelo de planificación como aprendizaje-enseñanza. Buenos Aires. 2001	Obligatoria		2	16653	1
Diseño Curricuclar 	Segundo Semestre 	Feldman,D.Didáctica Gnereal 1a Edición Minist de Educación.(Aportes para el desarrollo curricuclar)Buenos Aires 2010	Obligatoria		0		0
Diseño Curricuclar 	Segundo Semestre	Freire, P.Cartas para quien Pretende Enseñar. 2010 Editorial Buenos Aires: El Ateneo	Obligatoria		9	23891	1
Rereación y actividades en contacto con la naturaleza	201	Devis, J. Peiró, C. (2019) ‘’Nuevas perspectivas                                                                                                                                                                               curriculares en educación física: la salud y los juegos modificados’’ España Edit INDE	Obligatoria	13	4	28893	1
Rereación y actividades en contacto con la naturaleza	201	Fritzen, J. (1994). “Juegos Dirigidos”. Buenos Aires, Argentina. Edit. Lumen	Obligatoria	13	5	10590	1
Rereación y actividades en contacto con la naturaleza	201	Fritzen, J. (1995). “Dinámicas de recreación y juegos”. Argentina. Edit. Lumen.	Obligatoria	13	2	10958	1
Rereación y actividades en contacto con la naturaleza	201	Gamboa S.(1991). “Aprender jugando con la naturaleza”. Argentina. Edit. Bonum.	Obligatoria	13	1	11162	1
Rereación y actividades en contacto con la naturaleza	201	Garcia A. (2010) “Los juegos en la motricidad infantil de los 6 a los 12 años’’ España Edit INDE	Obligatoria	13	5	28875	1
Rereación y actividades en contacto con la naturaleza	201	Garcia A. (2011) “Los juegos en la motricidad infantil de los 12 a los 14 años’’ España Edit INDE	Obligatoria	13	5	28876	1
Rereación y actividades en contacto con la naturaleza	201	Incarbone, O. (2006). “Actividades recreativas”. Buenos Aires, Argentina. Edit. Stadium	Obligatoria	13	1	22305	1
Rereación y actividades en contacto con la naturaleza	201	Jiménez G. (1998). “Educación física: Un camino de recreación hacia el encuentro”.Santiago, Chile. Edit. MINEDUC.	Obligatoria	13	2	13338-17016	1
Rereación y actividades en contacto con la naturaleza	201	Lepe, A. 1991. “Animación grupal y audiovisuales”. Buenos Aires, Argentina. Edit. Sol.	Obligatoria	13	0		0
Rereación y actividades en contacto con la naturaleza	201	Loscher, A. (1995). “Juegos predeportivos en grupo”. España. Edit. Paidotribo.	Obligatoria	13	0		0
Rereación y actividades en contacto con la naturaleza	201	Martinez, J. ( 2011) ‘’Animación y recreación. Turística, escolar y extraescolar’’. España Edit INDE	Obligatoria	13	2	28892	1
Rereación y actividades en contacto con la naturaleza	201	Méndez, A. (1994). “Juegos dinámicos de animación para todas las edades”Barcelona, España. Edit. Paidotribo.	Obligatoria	13	3	12325	1
Rereación y actividades en contacto con la naturaleza	201	Méndez, A. (2010). “Los juegos en el curriculum de la Educación Física”. Barcelona, Edit. Paidotribo.	Obligatoria	13	4	23945	1
