RESUMEN DE BIBLIOGRAFÍA CONSINADA (LIBROS)					
					
					
Tipo de Bibliografia	Total de Consignada	Total Disponible	% Cobertura		
Complementaria	38	25	65.7894736842105		
Obligatoria	101	74	73.2673267326733		
Total general	141	99	70.2127659574468		
					
TITULOS NO DISPONIBLES EN  BIBLIOTECAS UDA  					
					
ASIGNATURA	SEMESTRE	DETALLE DE BIBLIOGRAFÍA 	TIPO DE BIBLIOGRAFIA	CANTIDAD DE ESTUDIANTES POR ASIGNATURA	CANTIDAD BIBLIOTECA
Didáctica del Báquetbol 1	Primer Semestre	"Montero, A. ""Didáctica del Baloncesto"" Editorial Paidotribo. España 2018"	Obligatoria	30	0
Didáctica del Báquetbol 2	Segundo Semestre	"Gonzalez, A. ""Baloncesto para Educar"" Editorial Kolima Books. España 2018"	Obligatoria	30	0
Didáctica del Báquetbol 2	Segundo Semestre	"Kraft, W. ""Aprendiendo a jugar Básquetbol en la escuela"". Editorial Stadium Boocks. España 2020"	Obligatoria	30	0
Didáctica del Báquetbol 2	Segundo Semestre	"Torres, C. ""La formación del educador deportivo en baloncesto"". Bloque especifico nivel 1 Editorial Vanceulen Editorial Deportiva. Sevilla España 2006"	Complementaria	30	0
Didáctica del Báquetbol 2	Segundo Semestre	"Torres, C. ""La formación del educador deportivo en baloncesto"". Bloque Común Editorial Vanceulen Editorial Deportiva. Sevilla España 2006"	Complementaria	30	0
Didáctica del Báquetbol 2	Segundo Semestre	"Torres, C. ""La formación del educador deportivo en baloncesto"". Bloque especifico nivel 2 Editorial Vanceulen Editorial Deportiva. Sevilla España 2006"	Complementaria	30	0
Metodología de la investigación educativa	Pimer Semestre	"J.R. Tomas; J.K. Nelson, "" Métodos en investigación en actividad física"". Editorial Paidotribo. España 2006"	Obligatoria	30	0
Actividad Física Nutrición y Salud	Segundo  Semestre	"Mahecha, S. ""Actividad Fisica Y Ejercicio En La Salud Del Niño Y El Adolescente"". Editorial Mediterraneo España "	Obligatoria	30	0
Actividad Física Nutrición y Salud	Segundo  Semestre	"Sánchez Bañuelos, F. "" La Actividad Física Orientada Hacia la Salud"" Editorial Biblioteca Nueva. Madrid España 1996"	Obligatoria	30	0
Actividad Física Nutrición y Salud	Segundo  Semestre	"Castillo, J. ""Educación Física  Inclusiva"". Editorial Eae. España 2020"	Complementaria	30	0
Metodología de la investigación educativa	Segundo  Semestre	"Lomelín, M.  ""Cómo Hacer Investigación Cuantitativa en Educación Física"" Editoria Inde. Madrid España 2007"	Obligatoria	30	0
Metodología de la investigación educativa	Segundo  Semestre	"Maureira, F. ""Manual de Investigación Científica: Para Estudiantes de Educación Física"". Editorial Académica Española
. España 2012"	Complementaria	30	0
Actividad Física Nutrición y Salud	Segundo  Semestre	"Hernández. A. ""Actividad Fisica+Deporte Escolar = Salud y Felicidad Infanto/Juvenil"". Editorial Académica Española. España 2020"	Complementaria	30	0
Actividad Física Nutrición y Salud	Segundo  Semestre	"González, V. ""Actividad Física y Adultos Mayores"". Editorial Académica Española. España 2019"	Complementaria	30	0
Metodología de la investigación educativa	Segundo  Semestre	"Rodriguez, J. ""Los Títulos de Tesis en Investigación Científica"". Editorial Académica Española. España. España 2021"	Complementaria	30	0
Diseño Curricuclar 	Segundo Semestre 	Feldman,D.Didáctica Gnereal 1a Edición Minist de Educación.(Aportes para el desarrollo curricuclar)Buenos Aires 2010	Obligatoria		0
Rereación y actividades en contacto con la naturaleza	201	Lepe, A. 1991. “Animación grupal y audiovisuales”. Buenos Aires, Argentina. Edit. Sol.	Obligatoria	13	0
Rereación y actividades en contacto con la naturaleza	201	Loscher, A. (1995). “Juegos predeportivos en grupo”. España. Edit. Paidotribo.	Obligatoria	13	0
Rereación y actividades en contacto con la naturaleza	201	Watkins, D. (1991). “Campamentos y Caminatas”. Argentina. Editorial Lumen.	Obligatoria	13	0
Rereación y actividades en contacto con la naturaleza	201	Bernal, D. & Carrasco, H. (2016) Manual de actividades motrices en contacto con la naturaleza.  Valparaíso Chile, Edit. Universidad de Playa Ancha	Complementaria	13	0
Rereación y actividades en contacto con la naturaleza	201	Ruiz, J. (2000) Desarrollo de la motricidad a través del juego: materiales convencionales y no convencionales como recursos metodológicos. Madrid, España: Edit. Gymnos.	Complementaria	13	0
Dirección de la enseñanza de las manifestaciones de la motricidad humana	202	FAMOSE, J. (1998). Aprendizaje motor y dificultad de la tarea. España: Editorial Paidotribo. FLOSDORF, P. y RIEDER, H. (1975). Deportes y juegos en grupos. Argentina Editorial Kapeluz.	Obligatoria	13	0
Dirección de la enseñanza de las manifestaciones de la motricidad humana	202	CONTRERAS, O (2019) Didáctica se la educación Física un enfoque constructivista España Editorial INDE	Obligatoria	13	0
