PLANILLA DE NECESIDADES BIBLIOGRAFICAS 2022						
						
ENERGÍAS RENOVABLES Y EFICIENCIA ENERGÉTICA "					
						
						
ASIGNATURA	SEMESTRE	DETALLE DE BIBLIOGRAFÍA 	TIPO DE BIBLIOGRAFIA	CANTIDAD DE COPIAS	NRO DE BIB	Disponibilidad
Comprensión Oral y Escrita 		Fournier, M.C. (2004). Comunicación verbal. México: Thomson.	OBLIGATORIA	5	20870	1
Comprensión Oral y Escrita 		• Reyzábal, M.V., & Casanova, M. A. (2001). La comunicación oral y su didáctica. Madrid: La Muralla.	OBLIGATORIA	10	12042	1
Comprensión Oral y Escrita 		• Vallés, A. A. (1996). Comprensión lectora 1: Programa de técnicas cognitivas y metacoqnitivos para comprender textos escritos: Educacion Primaria, 1er y 2o. ciclos. Madrid; Escuela Española	OBLIGATORIA	2	27074	1
Comprensión Oral y Escrita 		• Verderber, R. F. (1999). Comunicación oral efectiva. México: lnternational Thomson.	OBLIGATORIA	3	22706	1
Matemática Aplicada 		Britton, J. R., & Bello, l. (January 01, 1986). Algebra y trigonometría contemporáneas.	OBLIGATORIA	3	8916	1
Matemática Aplicada 		• Swokowski, E. W., & Trigueros, M. (1989). Álgebra y trigonometría con geometría analítica. México: Grupo Edit. lberoamérica.	OBLIGATORIA	8	2567	1
Matemática Aplicada 		Miller, C. D., Heeren, V. E., & Hornsby, E. J. (2006). Matemáticas: Razonamiento y aplicaciones. México: Pearson.	COMPLEMENTARIA	2	22704	1
Gestión de La Informática 		jelen, B. (2010). Excel Macros y VBA. Madrid: Anaya Multimedia.	OBLIGATORIA	1	22931	1
Gestión de La Informática 		• Menchén, P. A. (2009). Tablas dinámicas en Excel 2007. México: Alfaomega.	OBLIGATORIA	3	22925	1
Gestión de La Informática 		• Hawley, D., & Hawley, R. (2004). Excel: Los mejores trucos. Madrid: Anaya Multimedia.	OBLIGATORIA	1	20743	1
Gestión de La Informática 		• Virginia Caccuri (2009). 101 secretos de Excel: la mejor guía de trucos y consejos. Argentina: Grami.	OBLIGATORIA	2	22697	1
Gestión de La Informática 		• Frye, C., & Scott, P. P. (2007). Microsoft O/fice Excel 2003 paso a paso. Madrid.	OBLIGATORIA	3	19430	1
