RESUMEN DE BIBLIOGRAFÍA CONSINADA (LIBROS)			
			
Tipo de Bibliografía	Titulos consignados	Titulos Disponibles en Btca.	% de cobertura
Obligatoria	37	31	83.7837837837838
Complementaria	47	35	74.468085106383
Total general	525	360	68.5714285714286
			
			
TITULOS NO DISPONIBLES EN  BIBLIOTECA UDA 			
			
ASIGNATURA	SEMESTRE	DETALLE DE BIBLIOGRAFÍA 	TIPO DE BIBLIOGRAFIA
Legislación Eléctrica 		Superintendencia de Electricidad y Combustibles. NCH Elec. 4/2003. Electricidad instalaciones de consumo en baja tensión. Chile: SEC.	OBLIGATORIA
Legislación Eléctrica 		Comisión Nacional de Energía. (2014). Norma técnica de conexión y operación de equipamiento de generación en baja tensión. Chile. CNE.	OBLIGATORIA
Eficiencia Energética 		Agencia chilena de eficiencia energética. Aprendamos a ahorrar: Guía práctica de la buena energía. Chile: ACHEE.	OBLIGATORIA
Eficiencia Energética 		Gobierno de Chile. Guía práctica de eficiencia energética. Chile: Fundación Chile.	OBLIGATORIA
Eficiencia Energética 		Agencia chilena de eficiencia energética. Guía autodiagnóstico Eficiencia Energética para establecimientos educacionales. Chile: ACHEE.	OBLIGATORIA
Eficiencia Energética 		Chile. Ministerio de Energía. (2017). Energía 2050: Política energética de Chile. Santiago: Ministerio de Energía.	COMPLEMENTARIA
Taller I Instrumentos 		luke Corporation (2008). 80 Series V Multimeters. Manual de funcionamiento básico. USA: Fluke.	OBLIGATORIA
Taller I Instrumentos 		Fluke Corporation (2010). 374/375/376 Clamp Meters. Manual de uso. USA: Fluke.	OBLIGATORIA
Energía Solar Fotovoltaica 		• Schmidt, R. (2012). Aplicaciones de energía solar fotovoltaica: Diseño, implementación, experiencias. Chile: Salviat Impresores.	COMPLEMENTARIA
Sistemas Solares Térmicos		• Martínez, E. J. C. (2013). Manual práctico del técnico solar SST de ACS en viviendas unifamiliares. Chile: Fullservice S. A.	COMPLEMENTARIA
Taller II Eficiencia Energética 		EVO, (2010). Protocolo internacional de medida y verificación: Conceptos y opciones para determinar el ahorro de energía y agua.	OBLIGATORIA
Taller II Eficiencia Energética 		• Agencia chilena de eficiencia energética. Medición y Verificación. Análisis del Mercado de la Medición y Verificación en Chile por los Profesionales del Sector. Chile: ACHEE.	OBLIGATORIA
Taller II Eficiencia Energética 		• Agencia chilena de eficiencia energética. Medición y Verificación. Una herramienta de validación y optimización de los proyectos de Eficiencia Energética. Chile: ACHEE.	OBLIGATORIA
Proyectos de ERNC y EE 		• EVO, (2010). Protocolo internacional de medida y verificación: Conceptos y opciones para determinar el ahorro de energía y agua.	OBLIGATORIA
Proyectos de ERNC y EE 		• Schmidt, R. (2012). Aplicaciones de energía solar fotovoltaica: Diseño, implementación, experiencias. Chile: Salviat Impresores.	COMPLEMENTARIA
Proyectos de ERNC y EE 		• Chile. Ministerio de Energía. (2017). Energía 2050: Polltica energética de Chile. Santiago: Ministerio de Energía.	COMPLEMENTARIA
Taller III Solar Fotovoltaica 		• Schmidt, R. (2012). Aplicaciones de energía solar fotovoltaica: Diseño, implementación, experiencias. Chile: Salviat Impresores.	COMPLEMENTARIA
Proyecto de Titulación 		Tugendhat, E., Vicuña, A.M., & López, C. (2001). El libro de Manuel y Camita: Diálogos sobre ética. Barcelona: Gedisa Editorial.	OBLIGATORIA
