PLANILLA DE NECESIDADES BIBLIOGRAFICAS 2022						
						
CARRERA:						
						
						
ASIGNATURA	SEMESTRE	DETALLE DE BIBLIOGRAFÍA 	TIPO DE BIBLIOGRAFIA	CANTIDAD DE TITULOS EN BIBLIOTECA	NRO DE BIB	PRESTAMOS 0 
Bases Conceptuales de la Gestión del Cuidado	101	Martínez M, ML. Historia de la Enfermería: evolución histórica del cuidado enfermero. Barcelona: Elsevier, 2011	OBLIGATORIA	3	23979	0
		Marriner Tomey A. MRA. Modelos y Teorías en Enfermería. Madrid: Elservier Science.2011	OBLIGATORIA	2	23175	
		Donahue MP. Historia de la Enfermería. Madrid: Harcourt. 1985.	COMPLEMENTARIA	1	22277	
		Kozier B.EG. B. A.S.S. Fundamentos de Enfermería: conceptos, proceso y práctica. Madrid: Pearson Prentice Hall. 7° edición. 2009	COMPLEMENTARIA	5	22320	
Bioética para la Práctica de Enfermería	101	Vial del Rio V. Teoría general del acto jurídico. Santiago: Jurídica de Chile, 2003	OBLIGATORIA	0	0	
		Roa Rebolledo, A. Ética y Bioética. Santiago: Andrés Bello. 1998	OBLIGATORIA	0	0	
		Beca JP. Bioética clínica. Santiago: Mediterráneo.2014	OBLIGATORIA	2	25159	
		Lora P. GM. Bioética: principios, desafíos, debates. Madrid: Alianza. 2008	OBLIGATORIA	1	25170	
		Escribar W., A. Bioética: fundamentos y dimensión práctica. Santiago: Mediterráneo.2004	COMPLEMENTARIA	1	25166	
Bases Socioantropológicas del Cuidado	101	Bock PK. Introducción a la moderna antropología Cultural. México: Fondo de Cultura Económica, 1985	OBLIGATORIA	0	0	
		Dittmer. K. Etnología General, México: Fondo de Cultura Económica, 1980	OBLIGATORIA	0	0	
		Marriner Tomey A. MRA. Modelos y Teorías en Enfermería. Madrid: Elservier Science.2011	COMPLEMENTARIA	2	23175	
		Kozier B.EG. B. A.S.S. Fundamentos de Enfermería: conceptos, proceso y práctica. Madrid: Pearson Prentice Hall. 7° edición. 2009	COMPLEMENTARIA	4	22320	
Psicología en el Ciclo Vital	101	Papalia D. Psicología del desarrollo humano. MEXICO: McGraw-Hill Interamericana. 2005.	OBLIGATORIA	0	0	
		Papalia D. Psicología del desarrollo: de la infancia a la adolescencia. Santa fe de Bogotá: McGraw-Hill Interamericana. 2009.	OBLIGATORIA	3	23143	
		Carrión AC. Psicología del desarrollo adulto y adulto mayor. Madrid, España: Narcea.1999	OBLIGATORIA	0	0	
		John Coleman. Psicología de la adolescencia. Madrid, España: Morata. 1994.	COMPLEMENTARIA	0	0	
		Barriga S. Psicología General. Barcelona, España: Ceac.1992.	COMPLEMENTARIA	0	0	
Metodologías del Aprendizaje y uso de Tic’s	101	Núñez Rojas, N. Formación universitaria basada en competencias: currículo, estrategias didácticas y evaluación. (1 ed.). Perú: Instituto de Investigación Pedagógica USAT; 2014.	OBLIGATORIA	0	0	
		Ocaña, J.A. Mapas mentales y estilos de aprendizaje. (2 ed.). España: Editorial Club Universitario; 2010.	OBLIGATORIA	0	0	
		Trillas, A. Estrategias de aprendizaje párrafo Universitario: un enfoque constructivista. (3ed.). España; 2007.	COMPLEMENTARIA	0	0	
Biología e Histología	101	Geneser F. Histología: sobre bases biomoleculares. Buenos Aires: Editorial Medica Panamericana. 3° Edición. 2000.	OBLIGATORIA	2	21085	
		Ville C. Biología. México: McGraw-Hill Interanericana.1998	OBLIGATORIA	0	0	
Bases Químicas de la Vida	101	Brown LM, Química La Ciencia Central. . IX ed. México: Pearson education; 2010.	OBLIGATORIA	4	26937	
		Garces SB. Química / Raymond Chang. VII ed. Mexico: McGraw-Hill; 2009.	COMPLEMENTARIA	4	26597	
Proceso Atención de Enfermería	102	NANDA Internacional. Diagnósticos enfermeros: Definiciones y clasificación 2012 2014. Barcelona: Elsevier.2013.	OBLIGATORIA	18	25140	
		Brunner & Suddarth. Enfermería medicoquirúrgica. Barcelona: Walter Kluwer.2012. v.1. v. 2.	OBLIGATORIA	8	24642	
		Vial Larraín B. Procedimientos de enfermería medicoquirúrgica. Santiago: Mediterráneo. 2007.	OBLIGATORIA	8	22274	
		Kozier B. Fundamentos de Enfermería: conceptos, proceso y práctica. Madrid: Pearson Hall. 2005.	OBLIGATORIA	4	22320	
		Alfaro-lefrive R. Aplicación del proceso enfermero. Barcelona. Masson.2005	COMPLEMENTARIA	4	21092	
		Marriner Tomey. Modelos y Teorías de Enfermería. Madrid: Elsevier Science. 2011.	COMPLEMENTARIA	2	23175	
Enfermería Transcultural	102	Marriner Tomey. Modelos y Teorías de Enfermería. Madrid: Elsevier Science. 2011.	OBLIGATORIA	2	23175	
		Kozier B. Fundamentos de Enfermería: conceptos, proceso y práctica. Madrid: Pearson Hall. 2005.	OBLIGATORIA	4	22320	
		Bock PK. Introducción a la moderna antropología Cultural. México: Fondo de Cultura Económica, 1985	COMPLEMENTARIA	0	0	
		Dittmer. K. Etnología General, México: Fondo de Cultura Económica, 1980	COMPLEMENTARIA	0	0	
