RESUMEN DE BIBLIOGRAFÍA CONSINADA (LIBROS)				
				
				
				
Tipo de Bibliografía	Titulos consignados	Titulos Disponibles en Btca.	% de cobertura	
COMPLEMENTARIA	100	69	69	
OBLIGATORIA	140	104	74.2857142857143	
Total general	260	210	80.7692307692308	
				
TITULOS NO DISPONIBLES EN  BIBLIOTECA UDA 				
				
ASIGNATURA	SEMESTRE	DETALLE DE BIBLIOGRAFÍA 	TIPO DE BIBLIOGRAFIA	CANTIDAD DE TITULOS EN BIBLIOTECA
Bioética para la Práctica de Enfermería	101	Vial del Rio V. Teoría general del acto jurídico. Santiago: Jurídica de Chile, 2003	OBLIGATORIA	0
		Roa Rebolledo, A. Ética y Bioética. Santiago: Andrés Bello. 1998	OBLIGATORIA	0
Bases Socioantropológicas del Cuidado	101	Bock PK. Introducción a la moderna antropología Cultural. México: Fondo de Cultura Económica, 1985	OBLIGATORIA	0
		Dittmer. K. Etnología General, México: Fondo de Cultura Económica, 1980	OBLIGATORIA	0
Psicología en el Ciclo Vital	101	Papalia D. Psicología del desarrollo humano. MEXICO: McGraw-Hill Interamericana. 2005.	OBLIGATORIA	0
		Carrión AC. Psicología del desarrollo adulto y adulto mayor. Madrid, España: Narcea.1999	OBLIGATORIA	0
		John Coleman. Psicología de la adolescencia. Madrid, España: Morata. 1994.	COMPLEMENTARIA	0
		Barriga S. Psicología General. Barcelona, España: Ceac.1992.	COMPLEMENTARIA	0
Metodologías del Aprendizaje y uso de Tic’s	101	Núñez Rojas, N. Formación universitaria basada en competencias: currículo, estrategias didácticas y evaluación. (1 ed.). Perú: Instituto de Investigación Pedagógica USAT; 2014.	OBLIGATORIA	0
		Ocaña, J.A. Mapas mentales y estilos de aprendizaje. (2 ed.). España: Editorial Club Universitario; 2010.	OBLIGATORIA	0
		Trillas, A. Estrategias de aprendizaje párrafo Universitario: un enfoque constructivista. (3ed.). España; 2007.	COMPLEMENTARIA	0
		Ville C. Biología. México: McGraw-Hill Interanericana.1998	OBLIGATORIA	0
		Bock PK. Introducción a la moderna antropología Cultural. México: Fondo de Cultura Económica, 1985	COMPLEMENTARIA	0
		Dittmer. K. Etnología General, México: Fondo de Cultura Económica, 1980	COMPLEMENTARIA	0
		Sáez CS. MMF. CBR. Educación para la salud: Técnicas para el trabajo con grupos pequeños. Lleida: Pages 1995	COMPLEMENTARIA	0
		Taucher E. Bioestadística. Santiago: Editorial universitaria SA; 1999.	OBLIGATORIA	0
		Sch. Bioestadística SANTIAGO: MEDITERRANEO; 1994	COMPLEMENTARIA	0
		Vander AJ. Sherman JH. Fisiología Humana. Bogotá: McGraw.Hill interamericana. 1978.	COMPLEMENTARIA	0
		Tortora GJ. Principios de Anatomía y Fisiología. Buenos Aires: Editorial Médica Panamericana. 2006.	COMPLEMENTARIA	0
Bioquímica	102	Bohinski R. Bioquímica; versión española por María Antonieta Valenzuela. Bogotá: Fondo Educativo Interamericano. 1976	OBLIGATORIA	0
		Stryer L. bioquímica; versión española prof. D. José M. Macarulla. Barcelona: Reverté 1995	OBLIGATORIA	0
		Mathews CK. Van Holde KE. Bioquímica. Madrid: McGraw-Hill Interamericana.1998.	COMPLEMENTARIA	0
		Horton HR. Moran L. Ochs RS. Bioquímica. México: Prentice-Hall.1993.	COMPLEMENTARIA	0
		Hidalgo CG. CBE. Salud familiar: un modelo de atención integral en la atención primaria. Santiago: Universidad Católica de Chile. 1999	OBLIGATORIA	0
		CarpenterPL. Microbiología. Mexico: interamericana.1982	OBLIGATORIA	0
		Lombardero OJ. Glosario de términos parasitológicos. Buenos Aires: Eudeba. 1971.	COMPLEMENTARIA	0
		Castells Molina S. Farmacología en Enfermería. Barcelona: Elsevier.2012.	OBLIGATORIA	0
Cuidados de Enfermería en el Envejecimiento	202	Moraga R. Gerontología social: envejecimiento y calidad de vida. Barcelona: Herder. 1991	OBLIGATORIA	0
		Izal M. MI. Gerontología conductual: intervención y ámbito de aplicación. Madrid: Síntesis. 1999	OBLIGATORIA	0
		Gándara MJ. Envejecer en soledad: repercusiones psicopatologcas de la soledad en los ancianos. Madrid: Popular. 1995	COMPLEMENTARIA	0
		Pont Geis P. tercera edad, actividad física y salud: Teoría y práctica. Paidotribo. 1990.	COMPLEMENTARIA	0
		Chiavenato I. Administración: teoría, proceso y practica. Bogotá: McGraw-Hill 2001	COMPLEMENTARIA	0
Gestión del Conocimiento y la Innovación	202	Fernández Sánchez E. Estrategias de innovación. Madrid: Thomson Paraninfo. 2005	OBLIGATORIA	0
		Del Moral A. Gestión del Conocimiento. Madrid. Thomson. 2007	OBLIGATORIA	0
		Barnes S. Sistemas de gestión del conocimiento... Madrid: Thomson. 2002	COMPLEMENTARIA	0
Inteligencia emocional	202	Goleman D. La inteligencia Emocional. Buenos Aires: Javier Vergara.1996.	OBLIGATORIA	0
		Céspedes Calderón A, Cerebro inteligencia y emoción: neurociencias aplicadas a la educación permanente. Santiago: Fundación Mirame.2008	OBLIGATORIA	0
		Martineaud S. El test de inteligencia emocional. Buenos Aires: Martínez Roca. C 1998	COMPLEMENTARIA	0
