 BIBLIOGRAFICA GEOLOGIA							
							
CARRERA:	GEOLOGÍA						
							
							
ASIGNATURA	NIVEL	DETALLE DE BIBLIOGRAFÍA 	TIPO DE BIBLIOGRAFIA	 ESTUDIANTES POR ASIGNATURA	DISPONIBLES EN BTCA	NRO DE BIB# 	Disponibilidad
Geología General I	101	Lahee, F. (1979). Geología práctica. Barcelona: Omega.	OBLIGATORIA		10	2964	1
Geología General I	101	Maresch, W., Medenbach, O. & Trochim, H. D. (1990).  Rocas. Barcelona: Blume.	OBLIGATORIA		1	14443	1
Geología General I	101	 McClay, K. (1987). The mapping of geological structures. Chichester: John Wiley & Sons.	OBLIGATORIA		4	26189	1
Geología General I	101	Press, F. & Siever, R. (1983). The earth. New York: W.H. Freeman.	OBLIGATORIA		1	8933	1
Geología General I	101	Strahler, A. (1992). Geología física. Barcelona: Omega.	OBLIGATORIA		61	3082	1
Geología General I	101	Watt, A. (1986). Diccionario iIlustrado de la geología. Madrid: Everest.	OBLIGATORIA		0		0
Geología General I	101	Williams, H., Gilbert, C. M. & Turner, F. J. (1968). Petrografía: una introducción al estudio de las secciones delgadas. México: Continental.	OBLIGATORIA		10	3023	1
Neontología	101	Benton, M.J. & Harper D. A. T. (1999). Paleobiology and the fossil record. Hoboken, NJ: WileyBlackwell.	OBLIGATORIA		5	26565	1
Neontología	101	Berg, L. R., Martin, D. W., Solomón, E. P. & Villee, C. A. (1998). Biología de Villee. México: McGraw-Hill Interamericana.	OBLIGATORIA		9	11145	1
Neontología	101	 Villee, C. A. (1978). Biología. México: Interamericana	OBLIGATORIA		9	2706	1
Neontología	101	Mader, S. (1985). Biology: Evolution, diversity and environment. Iowa: WCB.	COMPLEMENTARIA		1	8124	1
Neontología	101	Méndez, M. & Navarro, J. (2014). Introducción a la biología evolutiva. Santiago: ESEB & SOCEVOL.	COMPLEMENTARIA		0		0
Introducción a las ciencias	101	Brown, T. L., LeMay, H. E., Bursten, B. E., & Burdge, J. R. (2004). La ciencia central. México: Pearson Educación.	OBLIGATORIA		292	18151	1
Matemáticas	101	Baldor, J. A. (1967). Geometría plana y del espacio: con una introducción a la trigonometría. México:Cultura.	OBLIGATORIA		7	2337	1
Matemáticas	101	Baldor, J. A. (1968). Algebra elemental. Madrid: Mediterránea.	OBLIGATORIA		0		0
Matemáticas	101	Moise, E. E. & Downs, F. L. (1966). Geometría moderna. Wilmington: Addison-Wesley Iberoamericana.	OBLIGATORIA		8	2494	1
Matemáticas	101	Vance, E. P. Algebra superior moderna = Modern college algebra. Reading, Mass: Addison-Wesley.	OBLIGATORIA		2	14563	1
Matemáticas	101	Spiegel, M. R. & Moyer, R. E. (2007). Algebra superior (serie Schaum). México: McGraw Hill/Interamericana.	OBLIGATORIA		23	2288	1
Algebra I	101	Knight, H. S. & Knight, S. R. (1961) Trigonometría elemental. Mexico: Hispano Americana.	OBLIGATORIA		1	17748	1
Algebra I	101	Lehmann, C. (1981). Geometría analítica. México: UTEA	OBLIGATORIA		22	2509	1
Algebra I	101	Ayres, F. (1970). Teoría y problemas de trigonometría plana y esférica (serie Schaum). Bogota: McGraw-Hill Latinoamericano.	OBLIGATORIA		23	2933	1
Algebra I	101	Protter M. H. & Protter P. E. (1980). Cálculo con geometría analítica, México: Fondo Educativo Interamericano.	OBLIGATORIA		12	2950	1
Algebra I	101	Swokowski, E. W. (1989). Cálculo con geometría analítica. México: Grupo editorial Iberoamericana.	OBLIGATORIA		5	2977	1
Algebra I	101	Swokowski, E. W. & Cole, J. A. (2001). Trigonometría. México: Thomson.	OBLIGATORIA		1	19335	1
Formación integral	102	Ballester-Arnal, R. &  Gil-Llario, M. D. (2002). Habilidades sociales: evaluación y tratamiento. Madrid: Síntesis.	OBLIGATORIA		1	22425	1
Geología general II	102	Lahee, F. (1979). Geología práctica. Barcelona: Omega.	OBLIGATORIA		10	2964	1
Geología general II	102	Maresch, W., Medenbach, O. & Trochim, H. D. (1990).  Rocas. Barcelona: Blume.	OBLIGATORIA		1	14443	1
Geología general II	102	McClay, K. (1987). The mapping of geological structures. Chichester: John Wiley & Sons.	OBLIGATORIA		4	26189	1
Geología general II	102	Press, F. & Siever, R. (1983). The earth. New York: W.H. Freeman.	OBLIGATORIA		1	8933	1
Geología general II	102	Stanley, S. M. 2009. Earth system history. New York: W. H. Freeman and Company.	OBLIGATORIA		2	24681	1
Geología general II	102	Strahler, A. (1992). Geología física. Barcelona: Omega.	OBLIGATORIA		61	3082	1
Geología general II	102	Watt, A. (1986). Diccionario iIlustrado de la geología. Madrid: Everest.	OBLIGATORIA		0		0
Geología general II	102	Williams, H., Gilbert, C. M. & Turner, F. J. (1968). Petrografía: una introducción al estudio de las secciones delgadas. México: Continental.	OBLIGATORIA		10	3023	1
Inglés I	102	Kay, S. (1997). Move Up Starter Resource Pack. Oxford: Heinemann ELT.	OBLIGATORIA		0		0
Inglés I	102	Markner-Jäger, B. (2008). Technical English for geosciences. Berlin: Springer.	OBLIGATORIA		0		0
Inglés I	102	McCarthy, M., McCarten, J. & Sandiford, H. (2005). “Touchstone 1”. Cambridge: Cambridge University Press.	OBLIGATORIA		1	28297	1
Inglés I	102	 Murphy, R. (2014). English grammar in use elementary. Cambridge: Cambridge University Press.	OBLIGATORIA		0		0
Inglés I	102	Richards, J. C. (2004). Interchange intro. Cambridge: Cambridge University Press.	OBLIGATORIA		0		0
Inglés I	102	Alexander, L. G. (1998). Longman English Grammar Practice. New York: Wesley Longman.	COMPLEMENTARIA		0		0
Inglés I	102	Marks, J. (2007). English pronunciation in use elementary. Cambridge: Cambridge University Press.	COMPLEMENTARIA		12	27074	1
Química general	102	Brown, T. L.,  Burdge, J. R., Bursten, B. E. & LeMay, H. E. (2004). Química la ciencia central. México: Pearson Educación	OBLIGATORIA		292	18151	1
Cálculo I	102	Leithold, L. (1998). El cálculo. México: Oxford University Press Harla.	OBLIGATORIA		306	11253	1
Cálculo I	102	Thomas, G. (2006). Cálculo en una Variable. México: Pearson Educación.	OBLIGATORIA		0		0
Física I	102	Freedman, R. A., Sears, F. W., Young, H. D. & Zemansky, M. W. (2009). Física universitaria México: Addison Wesley Longman. Clasificación Biblioteca UDA: 530 F537fis 2009	OBLIGATORIA		25	22557	1
Física I	102	Raymond, A. S. &y Jerry, S. F. (2001). México: Pearson Educación. Clasificación Biblioteca UDA: 530 S492 2001	OBLIGATORIA		231	18152	1
Física I	102	Resnick, R., Halliday, D. & Krane, K. S. (2004). Física, vol. 1. México: Compañia Editorial Clasificación Biblioteca UDA: 530 R434 v.1 2004)	OBLIGATORIA		142	18282	1
Física I	102	Giancoli, D. C. (2002). Física para Universitarios. México: Pearson Educación. Clasificación Biblioteca UDA: 530 G433 2002	OBLIGATORIA		129	18168	1
Cristalografía y Mineralogía Óptica	201	Klein, C., Dana, J., & Hurlbut, C. (2011). Manual de Mineralogía (4th ed.).  arcelona: Reverté.	OBLIGATORIA		21	9793	1
Cristalografía y Mineralogía Óptica	201	MacKenzie, W., Guilford, C., Lago San José, M., & Arranz  ag e, E. (1996). Atlas de petrografía. Barcelona: Masson.	OBLIGATORIA		0		0
Cristalografía y Mineralogía Óptica	201	MacKenzie, W., Donaldson, C., & Guilford, C. (1996). Atlas de rocas ígneas y sus texturas. Barcelona: Masson.	OBLIGATORIA		0		0
Cristalografía y Mineralogía Óptica	201	Melgarejo, J. (2003). Atlas de asociaciones minerales en lámina delgada.  arcelona: Universidad de Barcelona.	OBLIGATORIA		4	22286	1
Cristalografía y Mineralogía Óptica	201	 Raith, M., Raase, P., & Reinhardt, J. (2012). . Guide to Thin Section MicroBonn: University of Bonn.	OBLIGATORIA		0		0
Cristalografía y Mineralogía Óptica	201	Mottana, A., Crespi, R., & Liborio, G. (2003). Minerales y rocas. Barcelona: Grijalbo.	OBLIGATORIA		0		0
Inglés II	201	Kay, S. (1997). Move Up Starter Resource Pack. Oxford: Heinemann ELT.	OBLIGATORIA		0		0
Inglés II	201	Markner-Jäger, B. (2008). Technical English for geosciences. Berlin: Springer.	OBLIGATORIA		0		0
