 BIBLIOGRAFICA GEOLOGIA						
						
CARRERA:	GEOLOGÍA					
						
						
ASIGNATURA	NIVEL	DETALLE DE BIBLIOGRAFÍA 	TIPO DE BIBLIOGRAFIA	CANTIDAD DE ESTUDIANTES POR ASIGNATURA	ANTIDAD DE OPIAS DISPONIBLES EN BIBLIOTEA 	
Estratigrafía y Análisis de Cuencas	302	Allen, J. R. L. (1982). Sedimentary Structures. Their character and physical basis. Volume II. Developments in Sedimentology, 30B.Elsevier, Amsterdam.	COMPLEMENTARIA		ARTICULO REVISTA	
Estratigrafía y Análisis de Cuencas	302	Coe, A. L., Bosence, D. W. J., Church, K. D., Flint, S. S., Howell, J. A. & Wilson, R. C. L. (2003). The Sedimentary Record of the Sea-Level change. Cambridge University Press.	COMPLEMENTARIA		ARTICULO REVISTA	
Estratigrafía y Análisis de Cuencas	302	Salvador, A. (1994). International Stratigraphic Guide. 2nd. edition. The Geol. Soc. of America. Boulder. Colorado. http://www.stratigraphy.org/	COMPLEMENTARIA		RECURSO ELECTRONICO	
Depósitos minerales	401	Bekker, A., Slack,J.,Planavsky, N.,Krapež, .,hofmann, A., Konhauser,6 and olivier j. rouxel7,8 (2010). Iron Formation: The Sedimentary Product of a Complex Interplay among Mantle,Tectonic, Oceanic, and Biospheric Processes. Economic Geology, Volumnes (105), pp. 467-508.	OBLIGATORIA		ARTICULO REVISTA	
Depósitos minerales	401	Meinert, L., Dipple, G., Nicolescu, S.(2005). World skarn deposits. Economic Geology. 100 Anniversary Volume, pp. 299-336.	OBLIGATORIA		ARTICULO REVISTA	
Depósitos minerales	401	Pfaff, K., Hildebrandt, L.,Leach, D.,Jacob, D., Markl, G. (2010). Formation of the Wiesloch Mississippi Valley-type Zn-Pb-Ag deposit in the extensional setting of the Upper Rhinegraben, SW Germany. Mineralium Deposita, volumen (45), pp. 647-666.	OBLIGATORIA		ARTICULO REVISTA	
Depósitos minerales	401	Simmons, W., Webber, K. (2008). Pegmatite: state of the art. Eur. J. Mineral, Volumen (20), pp. 421-438.	OBLIGATORIA		ARTICULO REVISTA	
Depósitos minerales	401	Sillitoe, R. (2010). Porphyry copper Systems. Economic Geology. Volumen (105), pp. 3-41	OBLIGATORIA		ARTICULO REVISTA	
Depósitos minerales	401	Sillitoe, R. (2003). Iron oxide-copper-gold deposits: an Andean view. Mineralium Deposita, Volumen (38), pp.787-812.	OBLIGATORIA		ARTICULO REVISTA	
Depósitos minerales	401	Lowell, J.D., and Guilbert, J.M. (1970). Lateral and vertical alteration-mineralization zoning in porphyry copper ore deposits: Economic Geology, volumen (65), p. 373-408.	COMPLEMENTARIA		ARTICULO REVISTA	
Depósitos minerales	401	Richards, J.P. (2003). Tectono-magmatic precursors for porphyry Cu-(Mo-Au) deposit formation. Economic Geology, Volumen (98), p. 1515-1533.	COMPLEMENTARIA		ARTICULO REVISTA	
Depósitos minerales	401	Tosdal, R.M. y Richards, J.P. (2001). Magmatic and structural controls on the development of porphyry Cu ± Mo ± Au deposits. Reviews in Economic Geology, volumen (14), p. 157-181.	COMPLEMENTARIA		ARTICULO REVISTA	
