RESUMEN DE BIBLIOGRAFÍA CONSINADA (LIBROS)			
			
			
TIPO DE BIBLIOGRAFÍA	TOTAL CONSIGNADA	TOTAL DISPONIBLE	% COBERTURA
COMPLEMENTARIA	164	52	31.7073170731707
OBLIGATORIA	267	207	77.5280898876405
Total general	437	259	59.2677345537757
			
			
TITULOS NO DISPONIBLES EN  BIBLIOTECA UDA  			
			
ASIGNATURA	NIVEL	DETALLE DE BIBLIOGRAFÍA 	TIPO DE BIBLIOGRAFIA
Geología General I	101	Watt, A. (1986). Diccionario iIlustrado de la geología. Madrid: Everest.	OBLIGATORIA
Neontología	101	Méndez, M. & Navarro, J. (2014). Introducción a la biología evolutiva. Santiago: ESEB & SOCEVOL.	COMPLEMENTARIA
Matemáticas	101	Baldor, J. A. (1968). Algebra elemental. Madrid: Mediterránea.	OBLIGATORIA
Geología general II	102	Watt, A. (1986). Diccionario iIlustrado de la geología. Madrid: Everest.	OBLIGATORIA
Inglés I	102	Kay, S. (1997). Move Up Starter Resource Pack. Oxford: Heinemann ELT.	OBLIGATORIA
Inglés I	102	Markner-Jäger, B. (2008). Technical English for geosciences. Berlin: Springer.	OBLIGATORIA
Inglés I	102	 Murphy, R. (2014). English grammar in use elementary. Cambridge: Cambridge University Press.	OBLIGATORIA
Inglés I	102	Richards, J. C. (2004). Interchange intro. Cambridge: Cambridge University Press.	OBLIGATORIA
Inglés I	102	Alexander, L. G. (1998). Longman English Grammar Practice. New York: Wesley Longman.	COMPLEMENTARIA
Cálculo I	102	Thomas, G. (2006). Cálculo en una Variable. México: Pearson Educación.	OBLIGATORIA
Cristalografía y Mineralogía Óptica	201	MacKenzie, W., Guilford, C., Lago San José, M., & Arranz  ag e, E. (1996). Atlas de petrografía. Barcelona: Masson.	OBLIGATORIA
Cristalografía y Mineralogía Óptica	201	MacKenzie, W., Donaldson, C., & Guilford, C. (1996). Atlas de rocas ígneas y sus texturas. Barcelona: Masson.	OBLIGATORIA
Cristalografía y Mineralogía Óptica	201	 Raith, M., Raase, P., & Reinhardt, J. (2012). . Guide to Thin Section MicroBonn: University of Bonn.	OBLIGATORIA
Cristalografía y Mineralogía Óptica	201	Mottana, A., Crespi, R., & Liborio, G. (2003). Minerales y rocas. Barcelona: Grijalbo.	OBLIGATORIA
Inglés II	201	Kay, S. (1997). Move Up Starter Resource Pack. Oxford: Heinemann ELT.	OBLIGATORIA
Inglés II	201	Markner-Jäger, B. (2008). Technical English for geosciences. Berlin: Springer.	OBLIGATORIA
Inglés II	201	Murphy, R. (2014). English grammar in use elementary. Cambridge: Cambridge University Press.	OBLIGATORIA
Inglés II	201	Richards, J. C. (2004). Interchange intro. Cambridge: Cambridge University Press.	OBLIGATORIA
Inglés II	201	Alexander, L. G. (1998). Longman English Grammar Practice. New York: Wesley Longman.	COMPLEMENTARIA
Paleontología	201	 Benton M. J. (2008). The history of life. A very short introduction. New York: Oxford University Press.	COMPLEMENTARIA
Paleontología	201	Camacho H. (2007). Los invertebrados fósiles. Editado por Monica Longobucco. Tomo I. Buenos Aires: Vazquez Mazzini Editores.	COMPLEMENTARIA
Paleontología	201	Fernández-López, S. R. (2000). Fernández-López, S. R. (2000). Temas de tafonomía. Madrid: Departamento de Paleontología. Universidad Complutense de Madrid.Madrid: Departamento de Paleontología. Universidad Complutense de Madrid.	COMPLEMENTARIA
Paleontología	201	Martin, R. E. (1999). Taphonomy: a process approach. Cambridge: Cambridge University Press.	COMPLEMENTARIA
Cálculo II	201	Thomas, G. (2006). Cálculo en una Variable. México: Pearson Educación.	COMPLEMENTARIA
Petrología Ígnea y Metamórfica I	202	Wilson, M. (1989). Igneous petrogenesis. London, United Kingdom: Chapman & Hall.	COMPLEMENTARIA
Petrología Ígnea y Metamórfica I	202	Cas, R., and Wright, J. (1987). Volcanic Successions. London, United Kingdom: Unwin Hyman.	COMPLEMENTARIA
Inglés III	202	Alexander, L. G. (1998). Longman English Grammar Practice. New York: Wesley Longman.	OBLIGATORIA
Inglés III	202	Markner-Jäger, B. (2008). Technical English for geosciences. Berlin: Springer.	OBLIGATORIA
Inglés III	202	Murphy, R. (2014). English grammar in use elementary. Cambridge: Cambridge University Press.	OBLIGATORIA
Inglés III	202	Allaby, M.  (2013). A Dictionary of Geology and Earth Sciences Oxford: Oxford University Press.Crowther, J. (1995). Oxford Advanced Learner‟s Dictionary: Of Current English. Oxford: Oxford	COMPLEMENTARIA
Termodinámica	202	Zemansky, M. (1984). Fisicoquímica”  Madrid: La Colina.	OBLIGATORIA
Geoquímica	301	Albarède, F. (1995). Introduction to geochemical modeling. Cambridge: Cambridge University Press.	OBLIGATORIA
Geoquímica	301	Anderson, G. M. & Crerar, D. A. (1993). Thermodynamics in geochemistry: The equilibrium model. Oxford: Oxford University Press.	COMPLEMENTARIA
Geoquímica	301	Bowen, R. (1988). Isotopes in the earth science. London: Elsevier Applied Science.	COMPLEMENTARIA
Geoquímica	301	Brownlow, A. H. (1995). Geochemistry. New Jersey: Prentice-Hall.	COMPLEMENTARIA
Geoquímica	301	Faure, G. (1986). Principles of isotope geology. New York: Wiley.	COMPLEMENTARIA
Geoquímica	301	Faure, G. (1998). Principles and applications of geochemistry. New Jersey: Prentice Hall.	COMPLEMENTARIA
Geoquímica	301	Faure, G. (2001). Origin of the igneous rocks: The isotopic evidence. Berlin: Springer.	COMPLEMENTARIA
