BIBLIOGRAFIA INGENIERIA CIVIL INDUSTRIAL						
						
						
						
CARRERA:	INGENIERIA CIVIL INDUSTRIAL					
						
						
ASIGNATURA	SEMESTRE	DETALLE DE BIBLIOGRAFÍA 	TIPO DE BIBLIOGRAFIA	CANTIDAD DE COPIAS DISPONIBLES EN BIBLIOTECA 	NRO DE BIB# 	Prestamos 0
ÁLGEBRA I	101	· Arenas D., Fernando; Masjuan T., Gonzalo; Villanueva M., Felipe, Trigonometría y Geometría Analítica, Ediciones Universidad Católica de Chile.	NO INDICA	1	17055	
ÁLGEBRA I	101	· Swokowski, Earl. Álgebra y Trigonometría con Geometría Analítica. 1988. 512.13S979	NO INDICA	1	19335	0
ÁLGEBRA I	101	· Vance, Elbridge. Álgebra y Trigonometría Moderna. F.E.I. 1976. 512.13 V222	NO INDICA	15	2688	
ÁLGEBRA I	101	· Swokowski, Earl. Álgebra Universitaria. CECSA. 1971. 512.9 S979	NO INDICA	1	2496	
ÁLGEBRA I	101	· Mori, Carlos. Geometría Analítica en el Espacio. 1970. 516.33M854	NO INDICA	1	14830	0
ÁLGEBRA I	101	· Cameron, Edward Y Holt Rinehartand Winston. Álgebra and Trigonometry. 1960. 512.13C182	NO INDICA	2	2446	
ÁLGEBRA I	101	· Sominskii, I S. Método de la Inducción Matemática. Limusa – Wiley. 1972. 511.22 S696.	NO INDICA	1	14875	0
ÁLGEBRA I	101	· Sobel, Max. Algebra. Prentice Hall. 1996.	NO INDICA	2	11373	0
ÁLGEBRA I	101	· Ayres, Frank. Teoría y Problemas de Fundamentos de Matemáticas Superiores. Mc Graw Hill. 1969. 510 A985t.	NO INDICA	12	2697	0
ÁLGEBRA I	101	· Vance, Elbridge. Álgebra y Trigonometría Moderna. Addison Wesley. 1965. 512.13 V222a.	NO INDICA	1	14561	0
ÁLGEBRA I	101	· Kindle, Joseph. Teoría y Problemas de Geometría Analítica Plana y del Espacio. Mc Graw Hill. 1970. 516.3 K51.	NO INDICA	29	2978	
ÁLGEBRA I	101	· Britton, Jack. Algebra y Trigonometría Contemporánea. Harla. 1986. 512.13 B862.	NO INDICA	3	8916	
ÁLGEBRA II	102	· Steven J., Leon. Algebra Lineal. Cecsa.	NO INDICA	0		
ÁLGEBRA II	102	· Palma Sanz, Fracisco Vasquez, Pedro Ortega. Algebra Lineal. Prentice Hall.	NO INDICA	0		
ÁLGEBRA II	102	· Ben Noble & James W. Daniel. Álgebra Lineal Aplicada. Prentice Hall. 1989.	NO INDICA	0		
ÁLGEBRA II	102	· Richard Hill. Álgebra Lineal Elemental con Aplicaciones. Prentice Hall. 1997. 512.5 H647.	NO INDICA	1	11291	0
ÁLGEBRA II	102	· Harvey Gerber. Álgebra Lineal. Editorial Iberoamericana. 1992. 512.5 G362.	NO INDICA	2	2652	0
ÁLGEBRA II	102	· Stanley Grossman. Álgebra Lineal. Editorial Iberoamericana. 1988. 512.5 S788.	NO INDICA	8	2647	
ÁLGEBRA II	102	· Serge, Lang. Introducción al Algebra Lineal. Addison Wesley Iberoamericana. 1990. 512.5 269i.	NO INDICA	1	2609	
