RESUMEN DE BIBLIOGRAFÍA CONSINADA (LIBROS)				
				
				
Tipo de Bibliografía	Titulos consignados	Titulos Disponibles en Btca.	% de cobertura	
NO INDICA	359	291	81.058495821727	
Total general	359	291	81.058495821727	
				
				
TITULOS NO DISPONIBLES EN  BIBLIOTECA UDA 				
				
ASIGNATURA	SEMESTRE	DETALLE DE BIBLIOGRAFÍA 	TIPO DE BIBLIOGRAFIA	CANTIDAD DE COPIAS DISPONIBLES EN BIBLIOTECA 
ÁLGEBRA II	102	· Steven J., Leon. Algebra Lineal. Cecsa.	NO INDICA	0
ÁLGEBRA II	102	· Palma Sanz, Fracisco Vasquez, Pedro Ortega. Algebra Lineal. Prentice Hall.	NO INDICA	0
ÁLGEBRA II	102	· Ben Noble & James W. Daniel. Álgebra Lineal Aplicada. Prentice Hall. 1989.	NO INDICA	0
Geología General	101	- WATT, A. (1986): Diccionario Ilustrado de la Geología Everest. 208 páginas; Editorial Everest, Madrid.	NO INDICA	0
QUÍMICA I	101	2. RAYNER-CANHAM, Geoff, “Química Inorgánica Descriptiva”, 2ª Edición, Pearson Education, México, 2000.	NO INDICA	0
QUÍMICA II	102	2. RAYNER-CANHAM, Geoff, “Química Inorgánica Descriptiva”, 2ª Edición, Pearson Education, México, 2000.	NO INDICA	0
TECNICAS DE COMUNICACION	101	3. Serafín María Teresa. Cómo estudiar. Argentina. 1994.	NO INDICA	0
CALCULO III	201	· Edwards y Penny. Calculo. Prentice Hall.	NO INDICA	0
ESTADISTICA I	201	· Scheaffer Mc Clave. Probabilidad y Estadística para Ingeniería. Grupo Editorial Iberoamericana.	NO INDICA	0
ESTADISTICA I	201	· Jay L., Devore. Probabilidad y Estadística para Ingeniería y Ciencias. Grupo Editorial International Thon Editores.	NO INDICA	0
ESTADISTICA II	202	· Heleno Bolfarine - Mónica Carneiro Sandoval. Introdução á Inferência Estadística. Editorial Sociedad Brasileira de Matemática.	NO INDICA	0
ESTADISTICA II	202	· Scheaffer Mc Clave. Probabilidad y Estadística para Ingeniería. Grupo Editorial Iberoamericana.	NO INDICA	0
