BIBLIOGRAFIA INGENIERIA CIVIL EN COMPUTACION E INFORMATICA						
						
						
CARRERA:	INGENIERIA CIVIL EN COMPUTACION E INFORMATICA					
						
						
ASIGNATURA	SEMESTRE	DETALLE DE BIBLIOGRAFÍA 	TIPO DE BIBLIOGRAFIA	CANTIDAD DE ESTUDIANTES POR ASIGNATURA	ANTIDAD DE OPIAS DISPONIBLES EN BIBLIOTEA 	NRO DE BIB# 
Herramientas de Desarrollo	202	Sitio Oficial de Microsoft para ASP .NET, http://www.asp.net	NO INDICA	R/D	RD	
Herramientas de Desarrollo	202	Sitio de referencia con tutoriales gratuitos sobre tecnologías web., http://www.w3schools.com/	NO INDICA	R/D	RD	
Herramientas de Desarrollo	202	Vince Varallo, ASP.NET 3.5 Enterprise Application Development with Visual Studio®	NO INDICA	R/D	RD	
Herramientas de Desarrollo	202	Sitio Oficial PHP, http://www.php.net,Sitio Oficial PHP	NO INDICA	R/D	RD	
Sistemas de Información I 	301	http://www.informatica.uda.cl/activ_manuel.htm.	NO INDICA	R/D	RD	
Inglés V	301	http://es.tldp.org/ORCA/glosario.html	COMPLEMENTARIO	R/D	RD	
Inglés V	301	http://www.inglestotal.com/terminos-informatica-en-ingles-vocabulario/	COMPLEMENTARIO	R/D	RD	
Inglés V	301	http://www.cheyney.edu/information-technology/documents/glossarycomputerterms.pdf	COMPLEMENTARIO	R/D	RD	
Inglés V	301	https://www.extension.iastate.edu/agdm/wholefarm/pdf/c6-30.pdf	COMPLEMENTARIO	R/D	RD	
Inglés V	301	http://techterms.com/category/acronyms	COMPLEMENTARIO	R/D	RD	
Sistemas de Información II 	302	"BIZAGI (2015). Bizagi Modeler. Sitio Web oficial de Programación y Modelado. http://www.bizagi.com/es/confirmaciondescargamodeler?dwl=d40fb20ffc91a
0cbb20cb8f7c328a52ff42ff11d"	NO INDICA	R/D	RD	
Sistemas de Información II 	302	BPMN (2015). Sitio oficial en línea. Visto el día 2 de septiembre de 2015 en: http://www.bpmn.org/	NO INDICA	R/D	RD	
Inglés VI	302	Allison, J., Powell, M. In Company Case studies. Oxford: Macmillan, 2005. http://www.wordreference.com/es/	OBLIGATORIA	R/D	RD	
Administración de Servidores	501	Moc de Microsoft	NO INDICA	R/D	RD	
Química General	102	Apuntes-resúmenes (elaboración de material propio, guías, resúmenes y problemas).	NO INDICA	A	0	
Cálculo II	201	Apuntes elaborados por el profesor de la asignatura.	COMPLEMENTARIA	A	0	
Física I	201	Apuntes desarrollados por el Departamento de Física.	NO INDICA	A	0	
Termodinámica	202	"Apuntes del curso "" Termodinámica""."	NO INDICA	A	84	2713
Sistemas de Información I 	301	Apuntes personales (recopilación), 2013.	NO INDICA	A	0	
Métodos Numéricos	302	"María Leonor Varas, Introducción al Cálculo Numérico, Apuntes de Clases, Departamento de Ingeniería
Matemática, Universidad de Chile."	NO INDICA		0	
Métodos Numéricos	302	Sergio Plaza, Métodos Numéricos,  Apuntes de Clases, Departamento de Matemática, Facultad de Ciencias. Universidad de Santiago de Chile.	NO INDICA		0	
Mecánica de Fluidos	401	Vega B. Rolando, “Transporte Hidráulico de Sólidos”, Apuntes  Curso Departamento de Capacitación, Universidad de Atacama.	NO INDICA		31	2866
Inglés II	102	Textos de la especialidad (según intereses propios de la carrera)	OBLIGATORIO	A	0	
Inglés IV	202	Textos de la especialidad (según intereses propios de la carrera)	OBLIGATORIA		0	
Inglés III	201	Tell me More ® (Version 7.06) [Software]. (2013): Auralog, S.L.	NO INDICA		0	
