PLANILLA DE BIBLIOGRAFÍA OBLIGATORIA Y COMPLEMENTARIA DE LOS PROGRAMAS DE ASIGNATURA 2022						
						
CARRERA:  de Licenciatura en Educación y Pedagogía en Inglés						
						
						
ASIGNATURA	SEMESTRE	DETALLE DE BIBLIOGRAFÍA 	TIPO DE BIBLIOGRAFIA	CANTIDAD DE ESTUDIANTES POR ASIGNATURA	CANTIDAD EN BIBLIOTECA  	BIB BIBLIOTECA
Comprensión lectora	SEMESTRE 1	CONDEMARÍN G., MABEL, (1997), Lectura Correctiva y Remedial, 2da edic. Santiago: Andrés Bello.	OBLIGATORIA	20	2	22365-10411
Comprensión lectora	SEMESTRE 2	Calero, Andrés (2017) “Comprensión lectora: Estrategias que desarrollan lectores autorregulados.” Edit. Andrés Calero	OBLIGATORIA	20		0
Comprensión lectora	SEMESTRE 3	Núñez Delgado, Pilar (2009) “Taller de Comprensión Lectora”, Madrid, Edit. Octaedro.	OBLIGATORIA	20		0
Psicología del Desarrollo y el Aprendizaje	SEMESTRE 1	Gessel, A. (1971). El adolescente de 10 a 16 años. Paidos, buenos aires. Nº de pedido UDA 155.5 G389	OBLIGATORIA	20	1	4717
Psicología del Desarrollo y el Aprendizaje	SEMESTRE 1	Gutierrez, F (1993). Orientacion y Desarrollo Afectivo. Coprim. Chile.	COMPLEMENTARIA	20	2	2135
Psicología del Desarrollo y el Aprendizaje	SEMESTRE 1	Papalia, Diane (2009). Psicología del desarrollo, de la infancia a la adolescencia. Santa Fe de Bogotá, Mc Graw-Hill.	OBLIGATORIA	20	8	23143-4748
Psicología del Desarrollo y el Aprendizaje	SEMESTRE 1	Ruz, J. (2003). Convivencia escolar y calidad de educación. Ministerio de educación. Chile.	COMPLEMENTARIA	20	4	18517
Psicología del Desarrollo y el Aprendizaje	SEMESTRE 1	Toledo, V. (1998) Adolescencia tiempo de decisiones. Manual para trabajar con adolescentes. Mediterráneo. Santiago , chile. Nº de pedido 372.372 A239.	COMPLEMENTARIA	20	1	11571
Psicología del Desarrollo y el Aprendizaje	SEMESTRE 1	Sharp, Margaret (1978) Psicología del Aprendizaje Infantil. Kopetusz, Buenos Aires.	OBLIGATORIA	20	1	1933
Psicología del Desarrollo y el Aprendizaje	SEMESTRE 1	Travers, Robert (1976). Fundamentos del Aprendizaje. Edición Abierta, Santillana, Madrid.	COMPLEMENTARIA	20	3	1842
Psicología del Desarrollo y el Aprendizaje	SEMESTRE 1	Suarez, M, (1998). Familia y valores. Escuela para padres, la hora del encuentro. Editorial Magisterio. Bogotá.	COMPLEMENTARIA	20	4	22613
Compencia Comunicativa I	SEMESTRE 1	"Murphy, R.200) English grammar in use : A self-study reference and practice book for intermediate students : with answers [conjunto] English grammar in use : A self-study reference and practice book for intermediate students : with answers .New York. Cambridge University."	COMPLEMENTARIA	20	22	26240-10050-18172
Compencia Comunicativa I	SEMESTRE 1	Hughes, J., Stephenson, H., & Dummett, P. (2014) Life Elementary. National Geographic Learning.	OBLIGATORIA	15	11	27211-28445
TIC aplicada a la especialidad	SEMESTRE 1	Dudeney G. and Hockly N. (2007). How to teach English with technology. Pearson Longman.	OBLIGATORIA		3	27194
TIC aplicada a la especialidad	SEMESTRE 1	Motteram, G. (2013). Innovations in learning technologies for ELT. Innovation series. British Council.	COMPLEMENTARIA		0	
TIC aplicada a la especialidad	SEMESTRE 1	1. Harmer, Jeremy. The practice of English language teaching Third Edition. Longman, 2001	OBLIGATORIA	15	4	28410
TIC aplicada a la especialidad	SEMESTRE 1	Pavez, K. y Roman, C. (2021). ESTRATEGIAS METODOLÓGICAS PARA MEJORAR LA PARTICIPACIÓN EN LAS CLASES ONLINE DE IDIOMA EXTRANJERO INGLÉS EN LOS ESTUDIANTES DEL LICEO EL PALOMAR DE COPIAPÓ, CHILE.	OBLIGATORIA	15	0	
TIC aplicada a la especialidad	SEMESTRE 1	1. Díaz, I., López, J., Cáceres, M., Barros, C., Hinojo, F. (2021). Desempeño docente y formación en competencia digital en la era SARS COV 2. (P. 381-392)	COMPLEMENTARIA	15	0	
Estrategias y Técnicas de Aprendizaje	SEMESTRE 1	 Oxford, R. (1990). Language Learning Strategies: What Every Teacher Should Know. Boston: Heinle & Heinle.	OBLIGATORIA	17	2	28420
Estrategias y Técnicas de Aprendizaje	SEMESTRE 1	Brown, H. Douglas (2007). Teaching by Principles: An Interactive Approach to Language Pedagogy. Pearson Education Limited.	OBLIGATORIA	17	3	28426-23996
Morfosintaxis I	SEMESTRE 1	Aarts, B. (2001). English Syntax and Argumentation. Bristol: Aarontype, Ltd.	OBLIGATORIA	15	4	18177-28395
Morfosintaxis I	SEMESTRE 1	Yule, G. (2017). The Study of Language. Cambridge: Cambridge University Press.	OBLIGATORIA	15	5	27228
Morfosintaxis I	SEMESTRE 1	Fries, C. (1971). The Structure of English: An Introduction to the Construction of English Sentences, London: Longman.	OBLIGATORIA		4	4118
Morfosintaxis I	SEMESTRE 1	Katamba, F. (1993). Morphology, Basingstoke: Palgrave.	COMPLEMENTARIA		1	18252
Morfosintaxis I	SEMESTRE 1	Tallerman, Maggie. Understanding Syntax 4th edition. Understanding Language series. Routledge, 2014	OBLIGATORIA	15	0	
Morfosintaxis I	SEMESTRE 1	Blekyarov, Tamara. Handbook on a practical English grammar morphology. Yerevan University, 2007	COMPLEMENTARIA	15	0	
Morfosintaxis I	SEMESTRE 1	Carstair-Mcarthy, Andrew. An introduction to English Morphology: words and their meaning, Edinburgh	COMPLEMENTARIA	15	0	
