PLANILLA DE BIBLIOGRAFÍA OBLIGATORIA Y COMPLEMENTARIA DE LOS PROGRAMAS DE ASIGNATURA 2022							
							
CARRERA:  de Licenciatura en Educación y Pedagogía en Inglés							
							
							
ASIGNATURA	SEMESTRE	DETALLE DE BIBLIOGRAFÍA 	TIPO DE BIBLIOGRAFIA	CANTIDAD DE ESTUDIANTES POR ASIGNATURA	CANTIDAD EN BIBLIOTECA  		BIB BIBLIOTECA
Ingrese aquí nombre de asignatura	Ingrese semestre 	Ingrese detalle de bibliografía requerida en programa de estudio según normas: (APA o ISO),  ingrese un titulo por cada celda.	Indique si la bibliografía solicitada es de tipo OBLIGTORIA O COMPLEMENTARIA 	Ingrese promedio de estudiantes que cursan la asignatura en últimos 5 años			
Psicología del Desarrollo y el Aprendizaje	SEMESTRE 1	Mineduc. (2006). Conceptos claves para la Resolución Política de Conflictos. Chile.  Recuperado el día 12 de enero de 2012, Mineduc: http://www.mineduc.cl/usuarios/convivencia_escolar/doc/201103240919330.resolucionm_pacifica_de_conflictos.pdf	Complementaria - Informáticos		R/D		
Psicología del Desarrollo y el Aprendizaje	SEMESTRE 1	Palma, A. y Álvarez, V. (2011). Acercando las familias a la escuela. Unicef. Chile. Recuperado el día 12 de enero 2012  www.unicef.cl	Complementaria - Informáticos		R/D		
Compencia Comunicativa I	SEMESTRE 1	Oxford Dictionaries. (s.f) Recuperado de http://www.oxforddictionaries.com/es/	Complementaria - Informáticos		R/D		
Compencia Comunicativa I	SEMESTRE 1	Cambridge Dictionaries Online (s.f) Recuperado de www.cambridgedictionary.org	Complementaria - Informáticos		R/D		
Compencia Comunicativa I	SEMESTRE 1	Diccionario WordReference (s.f.) En Word Reference.com Recuperado de www.wordreference.com	Complementaria - Informáticos		R/D		
Compencia Comunicativa I	SEMESTRE 1	Dictionary and search engine (s.f.) En Linguee Recuperado de http://www.linguee.com/	Complementaria - Informáticos		R/D		
Compencia Comunicativa I	SEMESTRE 1	Grammar guide (s.f.) En Guide to Grammar and Writing. Recuperado de http://grammar.ccc.commnet.edu/grammar/	Complementaria - Informáticos		R/D		
TIC aplicada a la especialidad	SEMESTRE 1	"www.prezi.com
www.powtoon.com
www.webquests.org 
www.wikispaces.com
www.google.com/intl/es-419_cl/slides/about/
Russent Stannard. Teacher Training Videos. Recuperado 2014. http://www.teachertrainingvideos.com
"	Complementaria - Informáticos		R/D		
Estrategias y Técnicas de Aprendizaje	SEMESTRE 1	Defining and Organizing Language Learning Strategies (s.f). Recuperado de http://www.nclrc.org/guides/HED/chapter2.html	Complementaria - Informáticos		R/D		
Estrategias y Técnicas de Aprendizaje	SEMESTRE 1	EnglishClub (2017) Learn English. Language Skills for Learning English. Recuperado de https://www.englishclub.com/	Complementaria - Informáticos		R/D		
Estrategias y Técnicas de Aprendizaje	SEMESTRE 1	GoConqr (2016). GoConqr. Leading Innovation in Digital Learning. Recuperado de https://www.goconqr.com/en/info/about-us/	Complementaria - Informáticos		R/D		
Estrategias y Técnicas de Aprendizaje	SEMESTRE 1	Ispeech (2017) Tex to to Speech by Ispeech. Recuperado de http://www.ispeech.org/text.to.speech.demo.php	Complementaria - Informáticos		R/D		
Estrategias y Técnicas de Aprendizaje	SEMESTRE 1	Language Learning Strategies in Foreign Language Learning and Teaching (2000). Recuperado de http://iteslj.org/Articles/Hismanoglu-Strategies.html	Complementaria - Informáticos		R/D		
Estrategias y Técnicas de Aprendizaje	SEMESTRE 1	Study Guides and Strategies (2017). Using Memory Effectively. Recuperado de http://www.studygs.net/memory/	Complementaria - Informáticos		R/D		
Estrategias y Técnicas de Aprendizaje	SEMESTRE 1	WordReference (2018). Diccionario inglés-español, español-inglés. Recuperado de http://www.wordreference.com/es/en/translation.asp	Complementaria - Informáticos		R/D		
Psic. del Desarrollo y el Aprendizaje InfantoJuvenil	SEMESTRE 2	-Mineduc. (2006). Conceptos claves para la Resolución Política de Conflictos. Chile. Recuperado el día 12 de enero de 2012, Mineduc: http://www.mineduc.cl/usuarios/convivencia_escolar/doc/201103240919330.resolucionm_pacifica_de_conflictos.pdf	Complementaria		r/d		
Psic. del Desarrollo y el Aprendizaje InfantoJuvenil	SEMESTRE 2	-Palma, A. y Álvarez, V. (2011). Acercando las familias a la escuela. Unicef. Chile. Recuperado el día 12 de enero 2012, disponible en:  www.unicef.cl	Complementaria		r/d		
Competencia Comunicativa II	SEMESTRE 2	Oxford Dictionaries. (s.f) Recuperado de http://www.oxforddictionaries.com/es/	Complementaria - informáticos		r/d		
