RESUMEN DE BIBLIOGRAFÍA CONSINADA (LIBROS)					
					
					
Tipo de Bibliografía	Titulos consignados	Titulos disponibles en Btca	% Cobertura		
COMPLEMENTARIA	145	73	50.3448275862069		
NO INDICA	13	11	84.6153846153846		
OBLIGATORIA	198	174	87.8787878787879		
Total general	356	258	72.4719101123596		
					
TITULOS NO DISPONIBLES EN  BIBLIOTECA UDA					
					
ASIGNATURA	SEMESTRE	DETALLE DE BIBLIOGRAFÍA 	TIPO DE BIBLIOGRAFIA	CANTIDAD DE ESTUDIANTES POR ASIGNATURA	CANTIDAD EN BIBLIOTECA  
Comprensión lectora	SEMESTRE 2	Calero, Andrés (2017) “Comprensión lectora: Estrategias que desarrollan lectores autorregulados.” Edit. Andrés Calero	OBLIGATORIA	20	
Comprensión lectora	SEMESTRE 3	Núñez Delgado, Pilar (2009) “Taller de Comprensión Lectora”, Madrid, Edit. Octaedro.	OBLIGATORIA	20	
TIC aplicada a la especialidad	SEMESTRE 1	Motteram, G. (2013). Innovations in learning technologies for ELT. Innovation series. British Council.	COMPLEMENTARIA		0
TIC aplicada a la especialidad	SEMESTRE 1	Pavez, K. y Roman, C. (2021). ESTRATEGIAS METODOLÓGICAS PARA MEJORAR LA PARTICIPACIÓN EN LAS CLASES ONLINE DE IDIOMA EXTRANJERO INGLÉS EN LOS ESTUDIANTES DEL LICEO EL PALOMAR DE COPIAPÓ, CHILE.	OBLIGATORIA	15	0
TIC aplicada a la especialidad	SEMESTRE 1	1. Díaz, I., López, J., Cáceres, M., Barros, C., Hinojo, F. (2021). Desempeño docente y formación en competencia digital en la era SARS COV 2. (P. 381-392)	COMPLEMENTARIA	15	0
Morfosintaxis I	SEMESTRE 1	Tallerman, Maggie. Understanding Syntax 4th edition. Understanding Language series. Routledge, 2014	OBLIGATORIA	15	0
Morfosintaxis I	SEMESTRE 1	Blekyarov, Tamara. Handbook on a practical English grammar morphology. Yerevan University, 2007	COMPLEMENTARIA	15	0
Morfosintaxis I	SEMESTRE 1	Carstair-Mcarthy, Andrew. An introduction to English Morphology: words and their meaning, Edinburgh	COMPLEMENTARIA	15	0
Morfosintaxis I	SEMESTRE 1	Burton-Roberts, Noel. Analyzing sentences. An introduction to English Syntax 3rd edition, Routledge,2011	COMPLEMENTARIA	15	0
Morfosintaxis I	SEMESTRE 1	Newson M. et al. Basic English syntax with excercises. Bolcsesz Konzorcium, 2006.	COMPLEMENTARIA	15	0
Morfosintaxis I	SEMESTRE 1	Hewings, Martin. Advanced Grammar in Use 3rd edtion. Cambridge University Press, 2002	COMPLEMENTARIA	15	0
Introducción a la Didáctica	SEMESTRE 1	Centro de Perfeccionamiento, Experimentación e Investigaciones Pedagógicas. (2021). Marco para la Buena Enseñanza. Santiago, Chile: Ministerio de Educación	OBLIGATORIA	17	0
Introducción a la Didáctica	SEMESTRE 1	Centro de Perfeccionamiento, Experimentación e Investigaciones Pedagógicas. (2021). Estándares Pedagógicos  y Disciplinarios para Carreras de Pedagogía en Inglés	OBLIGATORIA	17	0
Producción de Textos Escritos	SEMESTRE 1	Carlos Rodríguez Angel, Programas para mejorar la comprensión lectora	OBLIGATORIA		0
Filosofía de la Educación	SEMESTRE 2	Briones, G. (1999) Filosofía y teorías de las Ciencias Sociales. Dolmen Ediciones. Santiago, Chile.	COMPLEMENTARIA		0
Filosofía de la Educación	SEMESTRE 2	Peters, R. (1979) La Filosofía de la Educación. (Cap. XII). Fondo de Cultura Económica. México.	COMPLEMENTARIA		0
Competencia Comunicativa II	SEMESTRE 2	-Suarez, M, (1998). Familia y valores. Escuela para padres, la hora del encuentro. Editorial Magisterio. Bogotá.	OBLIGATORIA	15	
Didáctica para Educación Parvularia I	SEMESTRE 2	Wright, A. (1995). Storytelling with children. Oxford: Oxford University Press.	COMPLEMENTARIA		0
