PLANILLA DE NECESIDADES BIBLIOGRAFICAS 2022							
							
CARRERA:							
							
							
ASIGNATURA	SEMESTRE	DETALLE DE BIBLIOGRAFÍA 	TIPO DE BIBLIOGRAFIA	CANTIDAD DE ESTUDIANTES POR ASIGNATURA	CANTIDAD DE TITULOS EN BIBLIOTECA	NRO DE BIB	PRESTAMOS 0
ANÁLISIS DE MOVIMIENTO I	201	Neumann, D. A. (2007). Fundamentos de rehabilitación física: Cinesiología del sistema músculo esquelético. Barcelona: Paidotribo.	OBLIGATORIA		2	25202	
		Nordin M., Frankel H. V.(2013). Bases biomecánicas del sistema músculo esquelético. (4a Ed.)Philadelphia, Lippincott Williams & Wilkins.	OBLIGATORIA		3	25279	
ANATOMÍA CLÍNICA I	101	Testut, L. & Latarjet, A. (2011). Compendio de anatomía descriptiva Barcelona: Masson.	OBLIGATORIA	40	5	25128	
		Moore, K., Dalley, A., Agur, A. and Moore, M. (2013). Anatomía con orientación clínica. (7a Ed.). México: Panamericana.	OBLIGATORIA		12	25177	
		Latarjet, M. & Ruiz Liard, A. (2013). Anatomía humana. (4a Ed.). México, D.F.: Panamericana.	OBLIGATORIA		12	25178	
		Guzmán, S. & Elizondo-Omaña, R. (2015). Anatomía humana en casos clínicos. (3a Ed.). México, D.F.: Médica Panamericana.	COMPLEMENTARIA		0	0	
		Netter, F. (2014). Atlas de anatomía humana.(5a Ed.). Barcelona: Elsevier Masson	COMPLEMENTARIA		3	25683	
		Tortora, G. and Nielsen, M. (2012). Principles of human anatomy(13a Ed.). Hoboken, NJ: John Wiley & Sons.	COMPLEMENTARIA		0	0	
		Pró, E. (2012). Anatomía clínica. (1a Ed.). Buenos Aires: Editorial Medica Panamericana.	COMPLEMENTARIA		0	0	
BIOLOGÍA CELULAR E HISTOLOGÍA	101	Lodish H. (2016).Biología Molecular y celular.(7a Ed.). Panamericana.	OBLIGATORIA		6	26200	
		Ross, M., Pawlina, W., Barnash.T. (2012).Atlas de histología descriptiva. Buenos Aires : Médica Panamericana.	OBLIGATORIA		8	25188	0
		Carlson. (2014). Embriología humana y biología del desarrollo. (5a Ed.). Elsevier.	COMPLEMENTARIA		0	0	
		Kühnel, W.(2005).Atlas color de citología e histología.(11a Ed.). Madrid : Médica Panamericana.	COMPLEMENTARIA		1	25183	
		Gartner, Leslie P., Hiatt, James L. (2016).Biología celular e histología.(7a Ed).Barcelona: Wolters Kluwer.	COMPLEMENTARIA		3	25773	
		Brüel, Annemarie. Geneser, Finn. (2015). Geneser Histología. (4a Ed.). Editorial Médica Panamericana	COMPLEMENTARIA		0	0	
FÍSICA	101	Cromer, A. (1996). Física para las ciencias de la vida. (2a Ed.). Barcelona: Reverté S.A.	OBLIGATORIA		7	25269	
		Raymond A. Serway; John W. Jewett. (2008). Física para ciencias e ingeniería, (7a Ed.). México, D.F. : Cengage Learning.	OBLIGATORIA		3	22482	
		Bueche F.J. Jerde D.A. (1996). Fundamentos de Física ( cap. 2-5).(4a Ed.). México: Editorial McGraw Hill.	COMPLEMENTARIA		0	0	
QUÍMICA	101	Brown, Le May, Bursten. (2004). Química la Ciencia Central. (9a Ed.). Pearson Education. México.	OBLIGATORIA		14	18151	
		Chang, R. (2009). Química. (7 aEd.). Mc Graw-Hill. México.	OBLIGATORIA		4	26597	
		Klein, D. (2013). Química orgánica. Médica Panamericana.	COMPLEMENTARIA		0	0	
		Atkins, P.,Jones, L. (2012).Principios de Química, (5a Ed.). Médica Panamericana	COMPLEMENTARIA		0	0	
USO DE TICS	101	Peña, M. (2007). Office 2007: Manual Imprescindible. Anaya multimedia.	OBLIGATORIA		7	27166	0
		Miller, M. (2010). Introducción a la informática. Anaya multimedia.	OBLIGATORIA		3	27144	0
ANATOMÍA CLÍNICA II	102	Testut, L. & Latarjet, A. (2011). Compendio de anatomía descriptiva Barcelona: Masson.	OBLIGATORIA	40	5	25128	
		Moore, K., Dalley, A., Agur, A. and Moore, M. (2013). Anatomía con orientación clínica. (7a Ed.). México: Panamericana.	OBLIGATORIA		12	25177	
		Latarjet, M. & Ruiz Liard, A. (2013). Anatomía humana. (4a Ed.). México, D.F.: Panamericana.	OBLIGATORIA		12	25178	
		Guzmán, S. & Elizondo-Omaña, R. (2015). Anatomía humana en casos clínicos. (3a Ed.). México, D.F.: Médica Panamericana.	COMPLEMENTARIA		0	0	
		Netter, F. (2014). Atlas de anatomía humana.(5a Ed.). Barcelona: Elsevier Masson	COMPLEMENTARIA		3	25683	
		Tortora, G. and Nielsen, M. (2012). Principles of human anatomy(13a Ed.). Hoboken, NJ: John Wiley & Sons.	COMPLEMENTARIA		0	0	
		Pró, E. (2012). Anatomía clínica. (1a Ed.). Buenos Aires: Editorial Medica Panamericana.	COMPLEMENTARIA		0	0	
BIOFÍSICA Y BIOMECÁNICA DE TEJIDOS	102	Nordin M., Frankel H. V. (2013). Bases biomecánicas del sistema músculoesquelético. (4a Ed.). Philadelphia, Lippincott Williams & Wilkins.	OBLIGATORIA		3	25279	
		Cromer Alan H. (1996). Física para las ciencias de la vida. (2a Ed.). Barcelona: Reverté S.A.	OBLIGATORIA		7	25269	
		Miralles R.C & Miralles I., (2005). Biomecánica clínica de los tejidos y las articulaciones del aparato locomotor. Barcelona: Masson	COMPLEMENTARIA		0	0	
		Neumann, D. A. (2007). Fundamentos de rehabilitación física: Cinesiología del sistema músculo esquelético. Barcelona: Paidotribo.	COMPLEMENTARIA		2	25202	
BIOQUÍMICA	102	Horton, R. H. (1993). Bioquimica. Mexico: Prentice Hall Hispanoameric.	OBLIGATORIA		3	26985	
		Lehniger, A. (1990). Las Fases moleculares de la estructura y Función . Barcelona:Omega.	OBLIGATORIA		0	0	
		Esterl, W. M. (2008). Bioquímica; Fundamentos para Medicina y Ciencias de la Vida Barcelona: Reverte.	COMPLEMENTARIA		0	0	
		Cheftel, J. C. (1992). Introduccion a la Bioquimica de los alimentos. Volumen I. Zaragoza: Acribia.	COMPLEMENTARIA		0	0	
FISIOLOGÍA HUMANA	102	Guyton, A. & J. E. Hall.(2011) Tratado de fisiología médica. (12a Ed.). Elsevier: España.	OBLIGATORIA		20	24591	
		Constanzo, L. (2000). Fisiología. México, Editorial McGraw-Hill Interamericana.	OBLIGATORIA		5	25682	
		Berne, R. M. & M. N. Levy.(2009) Fisiología. (6a Ed.). Madrid, Editorial Harcourt Brace.	COMPLEMENTARIA		2	25611	
		Thibodeau, G, (2000) G. A. Anatomía y fisiología. (4a Ed.). Madrid. Editorial Harcourt.	COMPLEMENTARIA		3	25676	0
HABILIDADES COMUNICATIVAS	102	Guix, X. (2011). Ni me explico, ni me entiendes: los laberintos de la comunicación, Ediciones Urano.	OBLIGATORIA		3	27137	
		Van Dijk, T. (2009). El discurso como interacción social, Editorial. Gedisa.	OBLIGATORIA		3	27265	0
		Goleman, D. (1997).Inteligencia Emocional. Bantam Books.	COMPLEMENTARIA		0	0	
		Pérez de las Heras, M. (2013).Escribe, Habla, Seduce. (1a Ed.), LID Editorial Empresarial, S.L.	COMPLEMENTARIA		0	0	
INGLÉS I	102	Murphy, R. (2017). Essential Grammar in Use. Great Britain: Cambridge.	OBLIGATORIA		6	27569	
		Howarth, P. (2015). Initiative 1. España; McMillan	OBLIGATORIA		3	27448	0
