RESUMEN DE BIBLIOGRAFÍA CONSINADA (LIBROS)			
			
TIPO DE BIBLIOGRAFIA	CONSIGNADO	DISPONIBLE EN BTCA	% COBERTURA
COMPLEMENTARIA	78	48	61.5384615384615
OBLIGATORIA	97	81	83.5051546391753
Total general	290	239	82.4137931034483
			
TITULOS NO DISPONIBLES EN  BIBLIOTECA UDA 			
			
ASIGNATURA	SEMESTRE	DETALLE DE BIBLIOGRAFÍA 	TIPO DE BIBLIOGRAFIA
		Guzmán, S. & Elizondo-Omaña, R. (2015). Anatomía humana en casos clínicos. (3a Ed.). México, D.F.: Médica Panamericana.	COMPLEMENTARIA
		Tortora, G. and Nielsen, M. (2012). Principles of human anatomy(13a Ed.). Hoboken, NJ: John Wiley & Sons.	COMPLEMENTARIA
		Pró, E. (2012). Anatomía clínica. (1a Ed.). Buenos Aires: Editorial Medica Panamericana.	COMPLEMENTARIA
		Carlson. (2014). Embriología humana y biología del desarrollo. (5a Ed.). Elsevier.	COMPLEMENTARIA
		Brüel, Annemarie. Geneser, Finn. (2015). Geneser Histología. (4a Ed.). Editorial Médica Panamericana	COMPLEMENTARIA
		Bueche F.J. Jerde D.A. (1996). Fundamentos de Física ( cap. 2-5).(4a Ed.). México: Editorial McGraw Hill.	COMPLEMENTARIA
		Klein, D. (2013). Química orgánica. Médica Panamericana.	COMPLEMENTARIA
		Atkins, P.,Jones, L. (2012).Principios de Química, (5a Ed.). Médica Panamericana	COMPLEMENTARIA
		Guzmán, S. & Elizondo-Omaña, R. (2015). Anatomía humana en casos clínicos. (3a Ed.). México, D.F.: Médica Panamericana.	COMPLEMENTARIA
		Tortora, G. and Nielsen, M. (2012). Principles of human anatomy(13a Ed.). Hoboken, NJ: John Wiley & Sons.	COMPLEMENTARIA
		Pró, E. (2012). Anatomía clínica. (1a Ed.). Buenos Aires: Editorial Medica Panamericana.	COMPLEMENTARIA
		Miralles R.C & Miralles I., (2005). Biomecánica clínica de los tejidos y las articulaciones del aparato locomotor. Barcelona: Masson	COMPLEMENTARIA
		Lehniger, A. (1990). Las Fases moleculares de la estructura y Función . Barcelona:Omega.	OBLIGATORIA
		Esterl, W. M. (2008). Bioquímica; Fundamentos para Medicina y Ciencias de la Vida Barcelona: Reverte.	COMPLEMENTARIA
		Cheftel, J. C. (1992). Introduccion a la Bioquimica de los alimentos. Volumen I. Zaragoza: Acribia.	COMPLEMENTARIA
		Goleman, D. (1997).Inteligencia Emocional. Bantam Books.	COMPLEMENTARIA
		Pérez de las Heras, M. (2013).Escribe, Habla, Seduce. (1a Ed.), LID Editorial Empresarial, S.L.	COMPLEMENTARIA
INTRODUCCIÓN A LA KINESIOLOGÍA	102	Butler, B., Aguado S., & Josetr, P. (1991). Introducción a la Kinesiología. (1a Ed.). Madrid: Mandala Ediciones, S. A.	OBLIGATORIA
		B.P. Hungler, Denise Polit.( 2000).Investigación científica en ciencias de la salud. (6a Ed). México: Mcgraw-Hill.	COMPLEMENTARIA
BIOÉTICA Y ASPECTOS LEGALES DE LA PROFESIÓN	201	Lolas Stepke, F., & JG de F, D. (2013). Bioética. Santiago de Chile: Mediterráneo.	OBLIGATORIA
		Talciani, H. F. C. (2003). Lecciones de responsabilidad civil extracontractual. Ed. Jurídica de Chile.	COMPLEMENTARIA
		Pinardi, G. (1996). Fisiopatología respiratoria. Santiago: Mediterráneo.	COMPLEMENTARIA
		Soars, L & Soars, J., Wheeldon, S. (2006). New Headway Elementary Workbook. Mexico:	COMPLEMENTARIA
NEUROCIENCIAS	201	Kandel, E. & otros. (2002). Principios de Neurociencia. (4a Ed.). Editorial McGraw-Hill Interamericana.	OBLIGATORIA
OPTATIVO (Fundamentos para la interpretación de los análisis diagnósticos de laboratorio)	201	Ruiz, G. & Ruiz, A. (2010). Fundamentos de Interpretación Clínica de los Exámenes de Laboratorio. España: Editorial Médica Panamericana.	OBLIGATORIA
		Laposata, M. (2010). Laboratory Medicine: The Diagnosis of Disease in the Clinical Laboratory. USA: McGraw-Hill Medical Publishing Division.	OBLIGATORIA
OPTATIVO II (Actividad Física y Salud)	201	Blanco, A. (2007). 1000 Ejercicios de Preparación Física. (3. ed.). Madrid, España. Edit. Paidotribo.	OBLIGATORIA
		Blázquez, D. (2010). Evaluar en Educación Física. (11.ed.) Barcelona, España. Edit. INDE	OBLIGATORIA
PSICOLOGÍA APLICADA	201	Papalia. (2011). Psicología. EEUU: Mc Graw Hill.	OBLIGATORIA
		Craig, G. (1997). Desarrollo Psicológico. México: Prentice Hall.	COMPLEMENTARIA
		Katch.V, McArdle.W, Katch, Frank. (2004). Fundamentos de la fisiología Del ejercicio. (2a Ed.).España:Mcgraw-Hill.	COMPLEMENTARIA
		Rodríguez, R. (2002). Fundamentos de neurología y neurocirugía. Tucumán: Editorial Magna	COMPLEMENTARIA
		Rile, M & Marriner, A (2014). Modelos y teorías: en enfermería. (8a Ed.). Barcelona: Elsevier Mosby.	COMPLEMENTARIA
		Wayne, D. (2002). Bioestadística: Base para el análisis de la salud. (4a Ed.) México. Noriega Editores.	OBLIGATORIA
		Bialoskorski, G. (2008). Diseño + Ergonomía. (1a Ed.). Ediciones UNAB diseño	OBLIGATORIA
		Hislop, H. (2008).Daniels-Worthingham's Pruebas funcionales musculares: Técnicas de exploración manual.(6a Ed.). España, Madrid: Marban	COMPLEMENTARIA
		Beaglehole, R., Bonita & Kjellström, (2003). Epidemiología básica.	COMPLEMENTARIA
		Swartz, M. (2015). Tratado de Semiología: Anamnesis y Exploración. (7a Ed.). Elsevier.	COMPLEMENTARIA
		Plaja, J. (2004). Analgesia por medios físicos. (1a Ed). España, Madrid : Mcgraw-hill-interamericana.	COMPLEMENTARIA
		Colby, L. Kisner, C. (2010). Ejercicio Terapéutico. (5a Ed.). Panamericana.	OBLIGATORIA
PSICOMOTRICIDAD	302	Bly, L. (1a Ed.). (1994). Motor skills. Acquisition in The first year. Editorial Academicpress.	OBLIGATORIA
		Jiménez, J. (2008). Psicomotricidad. Teoría y Programación. Editorial Wolters Kluwer.	OBLIGATORIA
		Monnier, J. Tubiana, J. (1994). Manual de Radiodiagnóstico. (3a Ed.). Editorial Masson S.A.	COMPLEMENTARIA
		Bly, L., & Miller Beeler, L. (2011). Componentes del desarrollo motor típico y atípico (Orit Herzberg). (1a Ed.). Neuro-Developmental Treatment Association.	OBLIGATORIA
		Bobath, K. & Bobath, B. (1992). Desarrollo motor en distintos tipos de parálisis cerebral. Editorial médica Panamericana.	COMPLEMENTARIA
INTERNADO I	501	Bobath, B. (1993). Hemiplejia del adulto: Evaluación y tratamiento. Buenos Aires Médica Panamericana.	OBLIGATORIA
