ASIGNATURAS 	SEMESTRE	BIBLIOGRAFIA	TITULO	AUTOR	AÑO	ED.	Nro. Ejemplares	N° EJEMPLARES EN BIBLIOTECA OBLIGATORIA
INTERNADO DE TRAUMATOLOGIA	12	OBLIGATORIA:	Actualizaciones en Cirugía Ortopédica y Traumatología 1,2,3 y 4	American Academy of Orthopedic Surgeons	1994		0	0
NUTRICION Y VIDA SANA	7	OBLIGATORIA:	Alimentos, Composición y Propiedades	Astiasarán, I & Martínez, J.A.	1999		0	0
PEDIATRIA Y CIRUGIA INFANTIL	9	OBLIGATORIA:	Atlas de Cirugía Pediátrica	Ashcraft Keith	1996		0	0
NUTRICION Y VIDA SANA	7	OBLIGATORIA:	Bases, Prioridades y Desafíos de la Promoción de Salud. Santiago. Chile	Albala, C, et al	2004		0	0
BIOETICA	3	OBLIGATORIA:	Bioética al Encuentro de una Conciencia	Sapag-Hagar, M.	2009		0	0
INFORMATICA MEDICA	8	OBLIGATORIA:	Biomedical Informatics: An Introduction to Information Systems and Software in Medicine and Health. Boca Ratón: CRP Press	Lubliner, D.	2016		0	0
MATEMATICA PARA MEDICINA	1	OBLIGATORIA:	Cálculo Aplicado para Administración, Economía y Ciencias Sociales	Hoffmann, L., Bradley, G., & Rosen, K.	2006	3a.	0	0
BIOETICA APLICADA II	7	OBLIGATORIA:	Case Files Medical Ethics and Professionalism	Toy et al	2015		0	0
BIOETICA APLICADA II	7	OBLIGATORIA:	Casos de Bioética y Derecho. Valencia: Tirant lo Blanch	Andormo & Ivone	2016		0	0
PEDIATRIA Y CIRUGIA INFANTIL	9	OBLIGATORIA:	Cirugía Endoscópica en Infantes y Niños	Klass M.A., B.K.	2011		0	0
NUTRICION Y VIDA SANA	7	OBLIGATORIA:	Crecimiento Humano y Enfermedad Coronaria. En Impacto del Crecimiento y Desarrollo Temprano sobre la Salud y Bienestar de la Población	Barker, D.	2009	1a.	0	0
MEDICINA LABORAL / TOXICOLOGIA	9	OBLIGATORIA:	Current Occupational & Environmental Health Medicine	LaDou, J. & Harrison, R.	2014	5a.	0	0
DERMATOLOGIA	8	OBLIGATORIA:	Dermatología T.1-3	Herane, MI. Urbina, F.			0	0
DERMATOLOGIA	8	OBLIGATORIA:	Desarrollo Embrionario del Melanocito	Alonso, I Simón, P. Sanchez	1993		0	0
OTORRINOLARINGOLOGIA	10	OBLIGATORIA:	Diagnóstico y Tratamiento en Otorrinolaringología. Cirugía de Cabeza y Cuello	Lalwani, A.	2016	3a.	0	0
NUTRICION Y VIDA SANA	7	OBLIGATORIA:	Educación Alimentaria. Principios para lograr una Alimentación Correcta. Tradiciones Alimentarias Regionales por recrear y Aprovechar hoy y Mañana	Salas, L.	2012		0	0
FISIOLOGIA HUMANA II	3	OBLIGATORIA:	Endocrine Physiology	Molina, P.	2013		0	0
INGLES PARA MEDICINA I	6	OBLIGATORIA:	English Grammar in Use Elementary	Murphy R.	2014		0	0
INTERNADO DE CIRUGIA Y ESPECIALIDADES QUIRURGICAS	12	OBLIGATORIA:	Essential Anesthesia: from Basics to Clinica	Euliano & Gravenstein 	2004	1a.	0	0
INTEGRADO DE MEDICINA INTERNA Y CIRUGIA III	8	OBLIGATORIA:	Essential Anesthesia: from Basics to Clínica	Euliano & Gravenstein 	2004	1a.	0	0
INGLES PARA MEDICINA I	6	OBLIGATORIA:	Face2Face. Intermediate	Cunningham G., Redstone, C.	2014	2a.	0	0
