BIBLIOGRAFÍA CONSIGNADA EN EL PLAN DE ESTUDIOS - OBLIGATORIA/COMPLEMENTARIA MEDICINA												
												
												
ASIGNATURAS 	SEMESTRE	BIBLIOGRAFIA	TITULO	AUTOR	AÑO	ED.	Nro. Ejemplares	N° EJEMPLARES EN BIBLIOTECA OBLIGATORIA	N° EJEMPLARES EN BIBLIOTECA COMPLEMENTARIA	N° TITULOS EN BIBLIOTECA OBLIGATORIA	N° TITULOS EN BIBLIOTECA COMPLEMENTARIA	Disponibilidad
AUTOGESTION DEL APRENDIZAJE	1	OBLIGATORIA:	Aprendizaje Reflexivo en la Educación Superior	Brockbank, A.,	2008	2a.	6	6		1		1
AUTOGESTION DEL APRENDIZAJE	1	OBLIGATORIA:	Fundamentos de Física para Profesionales de la Salud	Morata, López, N., & Cols	2015		5	5		1		1
AUTOGESTION DEL APRENDIZAJE	1	OBLIGATORIA:	Ser Estratégico y Autónomo Aprendiendo	Font, C.M., Mir, E.B., Badia, M.C.	2001	1a.	7	7		1		1
AUTOGESTION DEL APRENDIZAJE	1	COMPLEMENTARIA:	Learning Strategies For Success in Medical School A guide for new medical students. Hispanic and Native American Center of Excellence University of New Mexico School of Medicine, 1–49	Devoe, P. H.	2004		0		0			0
AUTOGESTION DEL APRENDIZAJE	1	COMPLEMENTARIA:	Evaluación de los procesos de autorregulación mediante autoinforme, 18, 353–358	Núñez, J. C., Solano, P., Antonio, J., & Pedro, G.	2006		0		0			0
FISICA APLICADA A LA MEDICINA	1	OBLIGATORIA:	FISICA	Kane, J. W., & Sternheim, M. M.	2016	2a.	16	16		1		1
FISICA APLICADA A LA MEDICINA	1	OBLIGATORIA:	Fundamentos de Física para Profesionales de la Salud	López, N., & y Cols.	2015		5	5		1		1
FISICA APLICADA A LA MEDICINA	1	COMPLEMENTARIA:	Biofísica	Aurengo, A., & Petitclerc, T.	2008		0		0			0
FISICA APLICADA A LA MEDICINA	1	COMPLEMENTARIA:	Manual de Radiología para Técnicos: Física, Biología y Protección Radiológica	Bushong, S.	2013	10a.	2		2		1	1
FISICA APLICADA A LA MEDICINA	1	COMPLEMENTARIA:	Física para Ciencias de la Vida	Cromer, A.	1996	2a.	27		27		1	1
FISICA APLICADA A LA MEDICINA	1	COMPLEMENTARIA:	Physics in Biology and Medicine. Filadelfia: Elsevier/Academic Press.	Davidovits, P.	2013		0		0			0
FISICA APLICADA A LA MEDICINA	1	COMPLEMENTARIA:	Biofísica	Frumento, A.	1995		0		0			0
FISICA APLICADA A LA MEDICINA	1	COMPLEMENTARIA:	Biofísica, Radiobiología y Radiopatología	Galle, P., & Paulin, R.	2003		0		0			0
FISICA APLICADA A LA MEDICINA	1	COMPLEMENTARIA:	Física para Ciencias de la Vida	Jou Mirabent, D.			6		6		1	1
FISICA APLICADA A LA MEDICINA	1	COMPLEMENTARIA:	Physics for medical students. Tucson: Wheatmark	Mohammed, A. M.	2008		0		0			0
QUIMICA GENERAL Y ORGANICA	1	OBLIGATORIA:	Química	Chang, Raymond; Goldsby, Ken	2017	12a.	49	49		1		1
QUIMICA GENERAL Y ORGANICA	1	OBLIGATORIA:	Química Orgánica: Conceptos y Aplicaciones	Bailey, P. S., & Bailey, C. A.	1998		0	0				0
QUIMICA GENERAL Y ORGANICA	1	COMPLEMENTARIA:	Química Orgánica	McMurry, J.	2012		0		0			0
QUIMICA GENERAL Y ORGANICA	1	COMPLEMENTARIA:	Curso de Química General T1 T2	Santamaría, F.	2006	10a.	1		1		1	1
QUIMICA GENERAL Y ORGANICA	1	COMPLEMENTARIA:	Química General	Petrucci, R. H., Harwood, W. S., Herring, F. G., & Pardo, C.	2003	8a.	22		22		1	1
QUIMICA GENERAL Y ORGANICA	1	COMPLEMENTARIA:	Química: Curso Universitario. Fondo Educativo Interamericano	Mahan, B. H., de Banchero, G. Y., & de Herold, L. P. E.	1975		0		0			0
QUIMICA GENERAL Y ORGANICA	1	COMPLEMENTARIA:	Química Orgánica	Morrison, R. T., & Boyd, R. N.	1998	5a.	1		1		1	1
ANATOMIA Y EMBRIOLOGIA I	1	OBLIGATORIA:	Langman Embriología Médica	Sandler. TW.	2016	13a.	5	5		1		1
ANATOMIA Y EMBRIOLOGIA I	1	OBLIGATORIA:	Embriología Clínica	Moore et al.	2013	10a.	8	8		1		1
ANATOMIA Y EMBRIOLOGIA I	1	OBLIGATORIA:	Anatomía con orientación Clínica	Moore y Dalley.	2013	7a.	17	17		1		1
ANATOMIA Y EMBRIOLOGIA I	1	OBLIGATORIA:	Prometheus: Texto y Atlas de Anatomía T. 1-2-3	Schünke et al.	2015	3a.	15	15		1		1
ANATOMIA Y EMBRIOLOGIA I	1	COMPLEMENTARIA:	Gray Anatomía para Estudiantes	Drake et al.	2015	3a.	18		18		1	1
ANATOMIA Y EMBRIOLOGIA I	1	COMPLEMENTARIA:	Terminología anatómica: International anatomical terminology. Stuttgart. Thieme.	Federative Committe on Anatomical Terminology.	1998		0		0			0
ANATOMIA Y EMBRIOLOGIA I	1	COMPLEMENTARIA:	Anatomía Humana. Manual de prácticas basadas en el razonamiento	Guzmán, L. et al.	2015		0		0			0
ANATOMIA Y EMBRIOLOGIA I	1	COMPLEMENTARIA:	Anatomía Clínica	Pró E.	2017	2a.	2		2		1	1
ANATOMIA Y EMBRIOLOGIA I	1	COMPLEMENTARIA:	Anatomía Humana Descriptiva, Topográfica y Funcional T. 1-2-3-4	Rouvière & Delmas.	2005	11a.	24		24		1	1
ANATOMIA Y EMBRIOLOGIA I	1	COMPLEMENTARIA:	Prometheus Anatomía Manual para el Estudiante	Anne M. Gilroy et al.	2015	1a.	5		5		1	1
ANATOMIA Y EMBRIOLOGIA I	1	COMPLEMENTARIA:	Atlas de Anatomía Humana	Frank H. Netter	2014	6a.	11		11		1	1
ANATOMIA Y EMBRIOLOGIA I	1	COMPLEMENTARIA:	Sobotta: Atlas de Anatomía Humana T.1-2-3-4	Paulsen y Waschke	2012	23a.	20		20		1	1
ANATOMIA Y EMBRIOLOGIA I	1	COMPLEMENTARIA:	Atlas de anatomía con correlación clínica T.1 Aparato Locomotor	Platzer W.	2008	9a.	1		1		1	1
ANATOMIA Y EMBRIOLOGIA I	1	COMPLEMENTARIA:	Atlas de Anatomía Humana: Estudio Fotográfico del Cuerpo Humano	Rohen et al.	2015	8a.	5		5		1	1
ANATOMIA Y EMBRIOLOGIA I	1	COMPLEMENTARIA:	Anatomy for Diagnostic Imaging	Ryan et al.	2011	3a.	2		2		1	1
ANATOMIA Y EMBRIOLOGIA I	1	COMPLEMENTARIA:	Netter Anatomía Radiológica Esencial	Weber et al.	2015	2a. 	2		2		1	1
ANATOMIA Y EMBRIOLOGIA I	1	COMPLEMENTARIA:	Atlas de Anatomía Humana por Técnicas de Imagen	Weir y Abrahams	2017	5a.	2		2		1	1
