RESUMEN DE BIBLIOGRAFÍA CONSINADA (LIBROS)									
									
									
Tipo de Bibliografía	Titulos consignados	Titulos disponibles en Btca.	% de cobertura						
COMPLEMENTARIA:	883	423	47.9048697621744						
OBLIGATORIA:	244	137	56.1475409836066						
Total general	1127	560	49.6894409937888						
									
									
TITULOS NO DISPONIBLES EN  BIBLIOTECA UDA									
									
ASIGNATURAS 	SEMESTRE	BIBLIOGRAFIA	TITULO	AUTOR	AÑO	ED.	Nro. Ejemplares	N° EJEMPLARES EN BIBLIOTECA OBLIGATORIA	
AUTOGESTION DEL APRENDIZAJE	1	COMPLEMENTARIA:	Learning Strategies For Success in Medical School A guide for new medical students. Hispanic and Native American Center of Excellence University of New Mexico School of Medicine, 1–49	Devoe, P. H.	2004		0		
AUTOGESTION DEL APRENDIZAJE	1	COMPLEMENTARIA:	Evaluación de los procesos de autorregulación mediante autoinforme, 18, 353–358	Núñez, J. C., Solano, P., Antonio, J., & Pedro, G.	2006		0		
FISICA APLICADA A LA MEDICINA	1	COMPLEMENTARIA:	Biofísica	Aurengo, A., & Petitclerc, T.	2008		0		
FISICA APLICADA A LA MEDICINA	1	COMPLEMENTARIA:	Physics in Biology and Medicine. Filadelfia: Elsevier/Academic Press.	Davidovits, P.	2013		0		
FISICA APLICADA A LA MEDICINA	1	COMPLEMENTARIA:	Biofísica	Frumento, A.	1995		0		
FISICA APLICADA A LA MEDICINA	1	COMPLEMENTARIA:	Biofísica, Radiobiología y Radiopatología	Galle, P., & Paulin, R.	2003		0		
FISICA APLICADA A LA MEDICINA	1	COMPLEMENTARIA:	Physics for medical students. Tucson: Wheatmark	Mohammed, A. M.	2008		0		
INTERNADO DE TRAUMATOLOGIA	12	OBLIGATORIA:	Actualizaciones en Cirugía Ortopédica y Traumatología 1,2,3 y 4	American Academy of Orthopedic Surgeons	1994		0	0	
QUIMICA GENERAL Y ORGANICA	1	COMPLEMENTARIA:	Química Orgánica	McMurry, J.	2012		0		
QUIMICA GENERAL Y ORGANICA	1	COMPLEMENTARIA:	Química: Curso Universitario. Fondo Educativo Interamericano	Mahan, B. H., de Banchero, G. Y., & de Herold, L. P. E.	1975		0		
ANATOMIA Y EMBRIOLOGIA I	1	COMPLEMENTARIA:	Terminología anatómica: International anatomical terminology. Stuttgart. Thieme.	Federative Committe on Anatomical Terminology.	1998		0		
ANATOMIA Y EMBRIOLOGIA I	1	COMPLEMENTARIA:	Anatomía Humana. Manual de prácticas basadas en el razonamiento	Guzmán, L. et al.	2015		0		
BIOLOGIA CELULAR Y MOLECULAR	1	COMPLEMENTARIA:	Biochemistry	Berg et al.	2015	8a.	0		
BIOLOGIA CELULAR Y MOLECULAR	1	COMPLEMENTARIA:	The cell: a molecular approach	Cooper & Hausman.	2016	8a.	0		
BIOLOGIA CELULAR Y MOLECULAR	1	COMPLEMENTARIA:	Molecular biology	Cox et al.	2015	2a.	0		
BIOLOGIA CELULAR Y MOLECULAR	1	COMPLEMENTARIA:	The Principles of Clinical Cytogenetics	Gersen & Keagle.	2013		0		
