BIBLIOGRAFIA INGENIERIA CIVIL EN METALURGIA						
						
						
						
CARRERA:	INGENIERIA CIVIL METALURGIA					
						
						
ASIGNATURA	SEMESTRE	DETALLE DE BIBLIOGRAFÍA 	TIPO DE BIBLIOGRAFIA	ANTIDAD DE OPIAS DISPONIBLES EN BIBLIOTEA 	NRO DE BIB# 	
Álgebra 1	101	Knight, H. Trigonometría Elemental. Ed. Uteha .	NO INDICA	1	17748	0
Álgebra 1	101	2. Lehmann, C.H. Geometría Analítica. Ed. Limusa.	NO INDICA	21	2509	
Álgebra 1	101	Ayres, F. Trigonometría Plana y esfér ica. Ed. McGraw-Hill , Schaum.	NO INDICA	23	2933	
Álgebra 1	101	4. Protter, M.H. Cálculo y Geometría Analítica. Ed. Addison Wesley	NO INDICA	12	2950	
Álgebra 1	101	5. Swokowski, E.W. Cálculo con Geometría Analítica. Ed, Thomson	NO INDICA	5	2977	
Álgebra 1	101	Swokowski, E.W., Cole oA. Trigonometría. Thornson Editores, 1993.	NO INDICA	1	19335	0
Autogestión del Aprendizaje 	101	Teorías del Aprendizaje, Autor: Dale H. Schunk Sexta Edición. 2013	OBLIGATORIA	9	9218	0
Autogestión del Aprendizaje 	101	Educación de Anticipación  Autor: Gabriel Castillo lnzulza 3era  Edición Chilena Corregida Año: 1997	COMPLEMENTARIA	0		
Autogestión del Aprendizaje 	101	Psicopedagogía de la Comuni cación y el Lenguaj e  Autores: Juan Seron MuñozJ Manuel Aguilar VilIagran Editorial EOS	COMPLEMENTARIA	1	10214	0
Ejercicio Físico y Salud 	101	Blanco, A. (2007). 1000 Ejercicios de Preparación Física. (3. ed.). Madrid, España. Edit . Paidotribo.	NO INDICA	2	7320	
Ejercicio Físico y Salud 	101	Blázquez, D. (2010). Evaluar en Educación Física . (1I.ed.) Barcelona, España. Edit. INDE	NO INDICA	1	26145	
Ejercicio Físico y Salud 	101	Rueda, A. & otros (200 1). La condición física en la educación secundaria. (2.ed.). Barce lona, España: Edit. INDE	NO INDICA	0		
Introducción a la Metalurgia	101	STRAHLER A. ( 1992): Geología Física.- 629 páginas; Omega Ediciones, Barcelona.	NO INDICA	61	3082	
Introducción a la Metalurgia	101	ROGERS , J.W. & ADAMS, A.S. (1969): Fundamentos de la geología. - 446 páginas, Ediciones Omega (Barcelona).	NO INDICA	2	20786	0
Introducción a la Metalurgia	101	MELEND EZ B. & FUSTER J.(2003) : Geología. -91 I páginas; 9 edición ; Thomson Editores, Madrid, España.	NO INDICA	1	2963	
Introducción a las Ciencias 	101	"Química la Ciencia Central"", Theodore L: Brown, H. Eugene LeMay Jr., Bruce E. Bursten y Julia R. Burge, Noveno Edición, Ed. Pearson Educación, 2004 (disponible en Biblioteca Central) ."	NO INDICA	284	18151	
Introducción a las Ciencias 	101	"""Física conceptual"", Paul G. Hewitt, Novena Edición , Ed. Pearson Educación"" 2004. "	NO INDICA	1	19480	
Matemáticas	101	Baldor,J .A.(1967) Geometría plana y del espacio y trigonometría(Primera Edición) Bilbao.	NO INDICA	0		
Matemáticas	101	Baldor,J.A.(1968) Algebra elemental .Editorial mediterránea, Madrid .	NO INDICA	0		
