BIBLIOGRAFIA INGENIERIA CIVIL EN METALURGIA							
							
							
							
CARRERA:	INGENIERIA CIVIL METALURGIA						
							
							
ASIGNATURA	SEMESTRE	DETALLE DE BIBLIOGRAFÍA 	TIPO DE BIBLIOGRAFIA	CANTIDAD DE ESTUDIANTES POR ASIGNATURA	ANTIDAD DE OPIAS DISPONIBLES EN BIBLIOTEA 	NRO DE BIB# 	
Minerales Industriales 	401	Anuario de la Minería de Chile 2013. SERNAGEOMIN, 2013, www.sernageomin.cl	NO INDICA				
Introducción a la Metalurgia	101	Revistas de Minería Chilena	NO INDICA		2006 a mayo 2018	23183	
Quimica General	102	Apuntes-resúmenes (elaboración de material propio, guías, resúmenes y problemas)	NO INDICA		0		0
Cálculo II	201	Apuntes elaborados por el profesor de la asignatura	COMPLEMENTARIA		0		0
Física I	201	S. Apuntes desa rrollados por el Departamento de Física.	NO INDICA		0		0
Mineralogía	201	5. Apuntes de clases del profesor de teoría y de laboratorio	NO INDICA		0		0
Inglés Técnico para Ingeniería en Metalurgia I	202	Lecturas Técnicas sobre Ingeniería	NO INDICA		0		0
Inglés Técnico para Ingeniería en Metalurgia I	202	• Lecturas Técnicas sobre Minería y Medio Ambiente	NO INDICA		0		0
Inglés Técnico para Ingeniería en Metalurgia I	202	• Lecturas Técnicas sobre Metalurgia	NO INDICA		0		0
Inglés Técnico para Ingeniería en Metalurgia II	301	Lecturas Técnicas sobre Metalurgia	NO INDICA		0		0
Minerales Industriales 	401	Sumario Mineral Brasileiro 2013. ONPM, Brasil , 2013 . http: //www.dnpm.gov.brl.	NO INDICA		0		0
Minerales Industriales 	401	6. Apuntes del profesor	NO INDICA		0		0
Taller de Relaciones Interpersonales 	401	Leer la prensa escrita local y nacional , escuchas noticias en medios radiales y televisi vos.	NO INDICA		0		0
Taller de Relaciones Interpersonales 	401	2. Leer la Revista Qué Pasa, que se distribuye en el departamento de Metalurgia.	NO INDICA		0		0
Taller de Relaciones Interpersonales 	401	3. Revisar las guías que se les entrega en clases .	NO INDICA		0		0
Taller de Relaciones Interpersonales 	401	4. Uso de la tecnología para buscar conceptos y aplicarlos en clases.	NO INDICA		0		0
Pirometalurgia	501	New Cork and London 1943.	NO INDICA		0		0
Modelación y Simulación de Procesos Metalúrgicos	502	Manual software METS1M	NO INDICA		0		0
Modelación y Simulación de Procesos Metalúrgicos	502	2. Papers científicos	NO INDICA		0		0
Ética Profesional	601	de la gente altamente efectiva.	NO INDICA		0		0
Métodos Numéricos 	301	Marí a Leonor Varas, Introducción al Cálculo Numérico, Apuntes de Clases, Departamento de Ingeniería Matemática, Universidad de Chile.	NO INDICA		0		0
Métodos Numéricos 	301	"Sergio Plaza, Métodos N uméricos, Ap untes de Clases, Departamento de Matemática, Facultad de  Ciencias. Universidad de Santiago de Chile. 
"	NO INDICA		0		0
Concentración de Minerales	401	Pavez, O. Apuntes de Concentración de Minerales l. Universidad de Atacama, 71 p.,(www.metalurgia.llda .cl ).	NO INDICA		0		0
Concentración de Minerales	401	Pavez, O. Apuntes de Concentración de Minerales 1I. Universidad de Atacama, 107 p. (www.metal urgia.uda.cl)	NO INDICA		0		0
Minerales Industriales 	401	"Luz, A. B., Lins, F. F. Rochas & Minerais Industriais - Usos e Especificac óes. CETEM-MCT, Rio de Janeiro,
(10 edicáo, 2005; 20
ed icáo , 2008), http ://www.cetem.gov.br/biblioteca/publicacoes/livros."	NO INDICA		0		0
Minerales Industriales 	401	Anuario de Estadísticas del Cobre y otros Minerales 1993-2013. COCHILCO, 2013. www .cochilco.cl.	NO INDICA		0		0
Gestión Ambiental	402	McGraw-Hill, 1999, 1331p. Ubicación: Biblioteca Central de la Universidad de Atacama.	NO INDICA		0		0
Tratamiento de Residuos Industriales 	501	Santander Mario, Apuntes del Curso Tratamiento de Residuos Industriales, Departamento de Metalurgia, Universidad de Atacama, 2012. Ubicación: Aula Virtual Asignatura.	NO INDICA		0		0
