RESUMEN DE BIBLIOGRAFÍA CONSINADA (LIBROS)				
				
				
				
Tipo de Bibliografía	Titulos consignados	Titulos Disponibles en Btca.	% de cobertura	
NO INDICA	237	194	81.8565400843882	
OBLIGATORIA	11	9	81.8181818181818	
COMPLEMENTARIA	12	7	58.3333333333333	
Total general	260	210	80.7692307692308	
				
TITULOS NO DISPONIBLES EN  BIBLIOTECA UDA 				
				
ASIGNATURA	SEMESTRE	DETALLE DE BIBLIOGRAFÍA 	TIPO DE BIBLIOGRAFIA	ANTIDAD DE OPIAS DISPONIBLES EN BIBLIOTEA 
Autogestión del Aprendizaje 	101	Educación de Anticipación  Autor: Gabriel Castillo lnzulza 3era  Edición Chilena Corregida Año: 1997	COMPLEMENTARIA	0
Ejercicio Físico y Salud 	101	Rueda, A. & otros (200 1). La condición física en la educación secundaria. (2.ed.). Barce lona, España: Edit. INDE	NO INDICA	0
Matemáticas	101	Baldor,J .A.(1967) Geometría plana y del espacio y trigonometría(Primera Edición) Bilbao.	NO INDICA	0
Matemáticas	101	Baldor,J.A.(1968) Algebra elemental .Editorial mediterránea, Madrid .	NO INDICA	0
Algebra II	102	2. George Nakos, Algebra Lineal y sus aplicaciones.	NO INDICA	0
Algebra II	102	s. Grossman, Algebra Lineal.	NO INDICA	0
Cálculo I	102	2.  Cálculo  en una Variable,  George Thomas Jr.,  Editorial  Pearson,  ISBN 970-26-0643-8.	NO INDICA	0
Formación Integral	102	Libro: Habilidades sociales Autores: Francisco Gil, José María León	OBLIGATORIA	0
Formación Integral	102	Libro: Conversaciones cruciales (Gestión del conocimiento) Autores: Kerry Patterson, Joseph Grenny, Ron McMillan, Al Switzler Año: 2004	COMPLEMENTARIA	0
Cálculo II	201	2. Cálculo 1, Larson -Hostetler-Edwards. Mc Graw Hill. Vol. 1	OBLIGATORIA	0
Cálculo II	201	2. Cálculo en una variable, George Thomas Jr. Editorial Pearson, ISBN 970-26-0643-8	COMPLEMENTARIA	0
Mineralogía	201	2. Mineralogía tratado. wiliam Ford	NO INDICA	0
Mineralogía	201	3. Mineralogía óptica. Heinrich.	NO INDICA	0
Cálculo III	202	James Stewart. Cálculo Multivariable. Thompson editores.	COMPLEMENTARIA	0
Ecuaciones Diferenciales y Algebra Lineal	202	Ecuaciones Diferenciales, V. Guíñez, R. Labarca y M. Martínez. Facultad de Ciencias. Usach.	NO INDICA	0
Termodinámica	202	"7. Mark Zemansky, "" Fisico-Química"" Editorial La Colina, Madrid, 1984."	NO INDICA	0
Mecánica de fluidos	301	"David R. Gaskell, "" An introduction tú Transport Phenomena in Materials Engineering"", Macmillan"	NO INDICA	0
Fenómenos de Transporte 	302	Cengel, Y. A, Transferencia de Calor y Masa, Un enfoque práctico, Editorial Me Graw Hill, México , 2017.	NO INDICA	0
Fenómenos de Transporte 	302	3. Gaskell, D.R . An lntroduction to Transport Phenomena in Materials Engineering. Macmillan Publishing Co., New York, 1992.	NO INDICA	0
Inglés Comunicacional Básico para Ingeniería 	302	Le Maistre, Simon. Lewis, Carina. Language to Go, Student's Book. Longman, 2002.	NO INDICA	0
Preparación Mecánica de Minerales 	302	Leonel Gutiérrez-Jairne Sepúlved a, Centro de investigación minera y metalúrgica. Dimensionamiento y optimización de plantas concentradoras mediante técnicas de modelación matemática.	NO INDICA	0
Resistencia de Materiales	302	"Ferdinand P. Beer, "" Mecánica de Materiales"" Edición, Editorial MC Graw Hil!, 2000."	NO INDICA	0
Cinética de los Procesos	401	"Himmelblau, D. Bischoff, K. ""Análisis y Simulación de procesos"". Ed. Reverté S.A. 1976."	NO INDICA	0
Concentración de Minerales	401	"Lawyer,1. E. General Principies and Types of Electrostatic Separators. In: SME Mineral Processing
Handbook (Weiss, N. L., ed .),
SME, New York, Vol. 1, 1985, p. 6-6 ."	NO INDICA	0
I nglés Comunicacional Pre-intermedio para Ingeniería 	401	Le Maistre, Simon. Lewis, Carin a. Language to Go-Elementary Leve!. Student's Book. Longman, 2002.	NO INDICA	0
I nglés Comunicacional Pre-intermedio para Ingeniería 	401	Cunningham , Oillie. Mohamed, Sue. Language to 00- Pre-Intermediate Leve!. Student's Book. Longman , 2002 .	NO INDICA	0
Investigación Operativa	401	l. Winston W., Operations Research Applications and AIgorithms. Thomson Brooks,2004.	COMPLEMENTARIA	0
Gestión Ambiental	402	"Kiely Gerard, "" Ingeniería ambiental: fundamentos , entornos, tecnologías y sistemas de gestión"", Madrid:"	NO INDICA	0
Gestión Ambiental	402	"Empresa"", Madrid Agrícolas Española S.A., 1994, 142p. Ubicación: Biblioteca Central de la Universidad de"	NO INDICA	0
Gestión Ambiental	402	Jordán Barahona, José Manuel (1992 ). Evaluación del impacto ambiental E.LA.. Valparaíso: Artes Gráficas Diego .	NO INDICA	0
Gestión Ambiental	402	Valls, Mario (1992). Derecho ambiental. Buenos Aires: Abeledo -Perrot.	NO INDICA	0
Hidrometalurgia y Electrometalurgia 	402	12. Yarela, Ricardo; Administración de Compensación: Sueldos, Salarios y Pre staciones, 2006.	NO INDICA	0
Inglés Comunicacional Intermedio para Ingeniería	501	Le Maistre, Simon. Lewis, Carina. Language to Go . Student's Book. Pre-Intennedaite Leve!. Longman,2002	NO INDICA	0
Inglés Comunicacional Intermedio para Ingeniería	501	Crace, Araminta. Wileman, Robin. Language to Go . Student's Book. Intennediate Level. Longman, 2002.	NO INDICA	0
Operación Planta 	501	"ALLIS CHALMERS ""Crushing Handbook"" (2nd edition) AcoPaulista S.A., Brasil 1985."	NO INDICA	0
Operación Planta 	501	Catálogos de equipos chancado, harneo, molienda, clasificación y flotación	NO INDICA	0
Pirometalurgia	501	"3. Davenport W. & Partelpoeg E. ,"" Flash Smelting"", Pergamon Press,1987."	NO INDICA	0
Administración y control de pérdidas	502	Instituto Interamericano de Administración de Riesgos, Administración de Riesgos.	NO INDICA	0
Modelación y Simulación de Operaciones Metalúrgicas	502	"SEPULVEDA lE. - OUTIERREZ L. "" Diseño y optimización de plantas concentradoras mediante
modelación matemática CIMM ,
Chile] 985 ."	NO INDICA	0
Modelación y Simulación de Operaciones Metalúrgicas	502	"AJ. ""Circuitos de Trituración y Molienda de Minerales, su simulación, optimización y diseño y control"" Rocas y Minerales (1980)."	NO INDICA	0
Modelación y Simulación de Operaciones Metalúrgicas	502	"3. ALLIS CHALMERS ""Crushing Handbook"" (2nd edition) Aco Paulista S.A. , Brasil] 985."	NO INDICA	0
