BIBLIOGRAFÍA DE INGENIERIA CIVIL DE MINAS							
							
CARRERA:	INGENIERIA CIVIL MINAS						
							
							
ASIGNATURA	SEMESTRE	DETALLE DE BIBLIOGRAFÍA 	TIPO DE BIBLIOGRAFIA	CANTIDAD DE COPIAS	NRO. DE BIB	Prestamos 0	
Matemática 	101	Baldor,J.A.(1967) Geometría plana y del espacio y trigonometría (Primera Edición) Bilbao.	NO INDICA	7c	2337		ed.centro am. 1974
Matemática 	101	Baldor,J.A.(1968) Algebra elemental. Editorial mediterránea, Madrid.	NO INDICA	12	2512		
Matemática 	101	Moisés Downs Geometría Moderna. Editorial Addison Wesley.	NO INDICA	8c	2494	0	
Matemática 	101	Elbridge P. Vance Algebra Superior Moderna. Editorial Addison Wesley.	NO INDICA	2c	14563	0	ed.1965
Matemática 	101	 Murray R. Spiegel.  Algebra Superior Editorial Mc Graw Hill. Schaum.	NO INDICA	23c	2288		
Álgebra I 	101	Knight, H. Trigonometría Elemental. Ed. Uteha.	NO INDICA	1c	17748		ed.mexico 1961
Álgebra I 	101	Lehmann, C.H. Geometría Analítica. Ed.  Limusa.	NO INDICA	22c	2509		ed.mexico 1984
Álgebra I 	101	Ayres, F. Trigonometría Plana y esférica. Ed. McGraw-Hill, Schaum.	NO INDICA	23c	2933		ed.1970
Álgebra I 	101	Protter, M.H. Cálculo y Geometría Analítica. Ed.  Addison Wesley	NO INDICA	12c	2950		ed.bogota 1980
Álgebra I 	101	Swokowski, E.W. Cálculo con Geometría Analítica. Ed, Thomson	NO INDICA	5c	2977		
Álgebra I 	101	Swokowski, E.W., Cole. A. Trigonometría. Thomson Editores, 1993.	NO INDICA	1c	19335	0	
Introducción a las Ciencias 	101	“Química la Ciencia Central”, Theodore L: Brown, H. Eugene LeMay Jr., Bruce E. Bursten y Julia R. Burge, Noveno Edición, Ed. Pearson Educación, 2004 (disponible en Biblioteca Central).	NO INDICA	292 c	18151		
Introducción a las Ciencias 	101	“Física conceptual”, Paul G. Hewitt, Novena Edición, Ed. Pearson Educación, 2004	NO INDICA	1 c	11284		
Taller de Expresión Oral y Escrita 	101	Cuevas Salmones, María de Lourdes (2007). Ciencias de la Comunicación. México: Editorial Nueva Imagen.	OBLIGATORIA	0			
Taller de Expresión Oral y Escrita 	101	Echeverría, Rafael. Ontología del lenguaje (2005). México: Editorial Granica.	OBLIGATORIA	1c	25855		
Taller de Expresión Oral y Escrita 	101	Ellis, Richard y McClintock, Ann. (1993). Teoría y práctica de la comunicación humana. España. Editorial Paidós.	OBLIGATORIA	0			
Taller de Expresión Oral y Escrita 	101	Fernández Collado, Carlos. (2003), La comunicación humana. México: Editorial McGraw-Hill.	OBLIGATORIA	1c	11054		
Taller de Expresión Oral y Escrita 	101	León Mejía, Alma B. (2009). Estrategias para el desarrollo de la comunicación profesional. México: Editorial Limusa Noriega.	OBLIGATORIA	0			
Taller de Expresión Oral y Escrita 	101	Papalia Diane y Sally Wendkos Olds, Ruth Dusking Feldman. (2002) Desarrollo humano. México. Editorial McGraw-Hill.	OBLIGATORIA	1	18720		
Taller de Expresión Oral y Escrita 	101	Papalia,  D. y Wendkos, S. (1997) Desarrollo humano, con aportaciones para Iberoamérica. Colombia: Editorial McGraw Hill.	OBLIGATORIA	1	11365		
Taller de Expresión Oral y Escrita 	101	Simonetti Bagnara, Franco. (2007). Juegos de comunicación: experiencias en Psicología de la interacción humana. México: Editorial Alfaomega.	OBLIGATORIA	0			
Introducción a la Minería 	101	Hartman, H. (Ed) (1992). SME Mining Engineering Handbook. AIME 2º Edición, vol.	OBLIGATORIA	2c	373		
Introducción a la Minería 	101	Hustrulid, W., Kuchta, M. & Martin, R. (2013). Open Pit Mine Planning and Design, CRC Press, Barcelona.	OBLIGATORIA	7c	25326		
Introducción a la Minería 	101	W. Hustrulid (Ed.) - R. L. Bullock (Ed.) (2001). Underground Mining Method. SME	COMPLEMENTARIA	3c	27153	0	
Optativo I 	101						
Cálculo I 	102	Louis Leithold, El Cálculo. Oxford University Press- Harla México, S.A, séptima edición2. 	NO INDICA	306c	11253		
Cálculo I 	102	Cálculo en una Variable, George Thomas Jr., Editorial Pearson, ISBN 970-26-0643-8.	NO INDICA	0			
Álgebra II 	102	Eduardo Espinoza Ramos, Geometría Vectorial en R	NO INDICA	0			
Álgebra II 	102	George Nakos, Algebra Lineal y sus aplicaciones.	NO INDICA	0			
Álgebra II 	102	 S. Grossman, Algebra Lineal.	NO INDICA	7c	2647		
Álgebra II 	102	 D.Lay, Algebra Lineal y sus aplicaciones.	NO INDICA	3c	24388		
Química General 	102	Texto guía: Química la Ciencia Central; Brow, Le May et al.; Editorial Pearson Prentice Hall; 9ª edición, 2004. (disponible en biblioteca central).	NO INDICA	292c	18151		
Dibujo de Ingeniería 	102	“Fundamento de Dibujo Ingeniería”, Warren J. Luzadder, Jon M. Duff.Ed11, 1994.	NO INDICA	1c	10837	0	
