RESUMEN DE BIBLIOGRAFÍA CONSINADA (LIBROS)					
					
					
Tipo de Bibliografía	Titulos consignados	Titulos Disponibles 	% Cobertura		
COMPLEMENTARIA	138	86	62.3188405797102		
NO INDICA	110	84	76.3636363636364		
OBLIGATORIA	119	92	77.3109243697479		
Total general	367	262			
					
TITULOS NO DISPONIBLES EN  BIBLIOTECA UDA 					
					
					
ASIGNATURA	SEMESTRE	DETALLE DE BIBLIOGRAFÍA 	TIPO DE BIBLIOGRAFIA	CANTIDAD DE ESTUDIANTES POR ASIGNATURA	CANTIDAD DE COPIAS
Matemática 	101	Baldor,J.A.(1967) Geometría plana y del espacio y trigonometría (Primera Edición) Bilbao.	NO INDICA		7c
Taller de Expresión Oral y Escrita 	101	Cuevas Salmones, María de Lourdes (2007). Ciencias de la Comunicación. México: Editorial Nueva Imagen.	OBLIGATORIA		0
Taller de Expresión Oral y Escrita 	101	Ellis, Richard y McClintock, Ann. (1993). Teoría y práctica de la comunicación humana. España. Editorial Paidós.	OBLIGATORIA		0
Taller de Expresión Oral y Escrita 	101	León Mejía, Alma B. (2009). Estrategias para el desarrollo de la comunicación profesional. México: Editorial Limusa Noriega.	OBLIGATORIA		0
Taller de Expresión Oral y Escrita 	101	Simonetti Bagnara, Franco. (2007). Juegos de comunicación: experiencias en Psicología de la interacción humana. México: Editorial Alfaomega.	OBLIGATORIA		0
Cálculo I 	102	Cálculo en una Variable, George Thomas Jr., Editorial Pearson, ISBN 970-26-0643-8.	NO INDICA		0
Álgebra II 	102	Eduardo Espinoza Ramos, Geometría Vectorial en R	NO INDICA		0
Álgebra II 	102	George Nakos, Algebra Lineal y sus aplicaciones.	NO INDICA		0
Geología General 	102	Watt, A. (1986). Diccionario Ilustrado de la Geología. Everest. 208p; Editorial Everest, Madrid.	OBLIGATORIA		0
Cálculo II 	201	Cálculo en una variable, George Thomas Jr. Editorial Pearson, ISBN 970-26-0643-8. 	COMPLEMENTARIA		0
Introducción a Depósitos Minerales 	201	Beane, R.E.  yBodnar, R.J. (1995). Hydrothermal fluids and hydrothermal alterations in porphyry copper deposits. In: Porphyry Copper Deposits of the American Cordillera. Arizona Geol. Soc. Digest. Vol.20, p. 83-93.	COMPLEMENTARIA		0
Introducción a Depósitos Minerales 	201	Candela, P. (1997). A review of shallow, ore-related granites: textures, volatiles, and ore metals. Journal of Petrology. Vol.38, no.12, p. 1619-1633.	COMPLEMENTARIA		0
Introducción a Depósitos Minerales 	201	Cox, S.F., Knackstedt, M.A., Braun, J. (2001). Principles of structural control on Reviews, Vol. 14, p. 1-24.	COMPLEMENTARIA		0
Introducción a Depósitos Minerales 	201	Gustafson, L y Hunt, J. (1975).The porphyry copper deposit at El Salvador, Chile. Economic Geology. Vol. 70, p.  857-912.	COMPLEMENTARIA		0
Introducción a Depósitos Minerales 	201	Hedenquist, J. y Lowenstern, J. (1994). The role of magmas in the formation of hydrothermal ore deposits. Nature, Vol. 370, p. 519-527.	COMPLEMENTARIA		0
Introducción a Depósitos Minerales 	201	Lowell, J.D., and Guilbert, J.M. (1970). Lateral and vertical alteration-mineralization zoning in porphyry copper ore deposits: Economic Geology. Vol. 65, p. 373-408.	COMPLEMENTARIA		0
Mineralogía	201	Heinrich, E. ( 1960) Microscopia Óptica, Edición Omega S.A.	COMPLEMENTARIA		0
Mineralogía	201	Susaeta Javier (1989) La Gran Enciclopedia de los Minerales. Susaeta S.A..	COMPLEMENTARIA		0
Cálculo III 	201	James Stewart. Cálculo Multivariable. Thompson editores.	COMPLEMENTARIA		0
Termodinámica 	202	Mark Zemansky, “ Fisico-Química”  Editorial La Colina, Madrid, 1984.	NO INDICA		0
Ingeniería Económica 	202	Paul De Garmo, E. et. al. (1998). Ingeniería Económica. Editorial Prentice-Hall	NO INDICA		0
Petrografía 	202	Turner W. (1968). Petrografía Macroscópica, Editorial Continental S.A.	COMPLEMENTARIA		0
Topografía General 	202	Topografía /Paul R. Wolf, Russell C. Brinker, Traducido por: José De La Cera Alonso, Mexico Alfaomega, 1997 (9na edición)	OBLIGATORIA		0
Topografía General 	202	Topografía aplicada  para  ingenieros.  García, Rosique  y  Segado. España, Universidad  de Murcia, 1996.(1era edición)	COMPLEMENTARIA		0
Ecuaciones Diferenciales y Álgebra Lineal 	301	Ecuaciones Diferenciales, V. Guíñez, R. Labarca y M. Martínez. Facultad de Ciencias. Usach.	NO INDICA		0
Geología Estructural 	301	 RAMSAY & HUBER (1987): Modern Structural Geology, Vol. II: Folds and Fractures : 700 p., Academic Press: London	OBLIGATORIA		0
Geología Estructural 	301	Scientific American: Deriva Continental y Tectónica de Placas (1976) 271 p.	OBLIGATORIA		0
Geología Estructural 	301	ISACKS, JORDAN, ALLMENDINGER & RAMOS (1982): La segmentación tectónica de los Andes Centrales y su relacion con la geometria de la plaza de Nazca subductada.   Quinto congreso latinoamericano de geologia Bd.3 p.587-606  Buenos Aires.	COMPLEMENTARIA		0
Topografía Minera 	301	Miguel Estruch Serra, Topografía Subterránea para Minería y Obras. UPC, 2003.	OBLIGATORIA		0
Topografía Minera 	301	García, Rosique y Segado. Topografía Aplicada para ingenieros. Universidad de Murcia. España. 1996. (1era edición)	COMPLEMENTARIA		0
Métodos Numéricos 	302	María Leonor Varas, Introducción al Cálculo Numérico, Apuntes de Clases, Departamento de Ingeniería Matemática, Universidad de Chile.	NO INDICA		0
Resistencia de Materiales 	302	Ferdinand P. Beer, “Mecánica de Materiales” 5ᵃ Edición, Editorial MC Graw Hill, 2000.	NO INDICA		0
Servicios Mineros 	302	Ortiz de Urbin, F. (1988). Servicios y Mantenimiento. Madrid, España: Universidad politécnica de Madrid.	OBLIGATORIA		0
Servicios Mineros 	302	Mujal Rosas, R. (2002). Cálculo de líneas y redes eléctricas. Catalunya, España: Ediciones de la Universitat Politécnica de Catalunya, SL	COMPLEMENTARIA		0
Perforación 	302	Atlas Copco. (2012). Blasthole Drilling in Open Pit Mining, Third edition. EE.UU.: Ulf Linder.	COMPLEMENTARIA		0
Perforación 	302	Atlas Copco. (2015). Deephole Drilling in the water well, oil & gas, geothermal and exploration markets, First edition. EE.UU.: Justin Cocchiola.	COMPLEMENTARIA		0
Inglés I 	302	Cambridge English Skills Real Listening and Speaking 1, 2, 3   by Sally Logan	NO INDICA		0
Inglés I 	302	English Grammar in Use Book with Answers and Interactive eBook by Raymond Murphy	NO INDICA		0
Inglés I 	302	English vocabulary in Use Upper- intermediate by Michael McCarthy	NO INDICA		0
Mecánica de Fluidos 	401	David R. Gaskell, “ An introduction to Transport Phenomena in Materials Engineering” Macmillan Publishing Company, E.E.U.U., 1992.	NO INDICA		0
Investigación Operativa 	401	Winston W., Operations Research Applications and Algorithms. Thomson Brooks, 2004.	COMPLEMENTARIA		0
Carguío y Transporte 	401	carguío según el tipo de yacimiento para la pequeña minería de Atacama. Universidadde Atacama.	COMPLEMENTARIA		0
Carguío y Transporte 	401	Medina, J. & Olmos, H. (1998). Tesis: Estrategia de manejo de minerales proyecto reservas norte: Mina el Teniente. Universidad de Atacama.	COMPLEMENTARIA		0
Inglés II 	401	Cambridge English Skills Real Listening and Speaking 1, 2, 3   by Sally Logan	NO INDICA		0
Inglés II 	401	English Grammar in Use Book with Answers and Interactive eBook by Raymond Murphy	NO INDICA		0
Inglés II 	401	English vocabulary in Use Upper- intermediate by Michael McCarthy	NO INDICA		0
Gestión Ambiental 	402	Kiely Gerard, “Ingeniería ambiental: fundamentos, entornos, tecnologías y sistemas de gestión”, Madrid: McGraw-Hill, 1999, 1331p. Ubicación: Biblioteca Central de la Universidad de Atacama.	NO INDICA		0
Gestión Ambiental 	402	Jordán Barahona, José Manuel (1992). Evaluación del impacto ambiental E.I.A. Valparaíso: Artes Gráficas Diego.	NO INDICA		0
Gestión Ambiental 	402	Valls, Mario (1992). Derecho ambiental. Buenos Aires: Abeledo-Perrot.	NO INDICA		0
Inglés III 	402	Cambridge English Skills Real Listening and Speaking 1, 2, 3   by Sally Logan	NO INDICA		0
Inglés III 	402	English Grammar in Use Book with Answers and Interactive eBook by Raymond Murphy	NO INDICA		0
Inglés III 	402	English vocabulary in Use Upper- intermediate by Michael McCarthy	NO INDICA		0
Preparación y Evaluación de Proyectos 	501	Hoskins, J. & Green, W. (Eds) (1978). Mineral Industry Costs. Ed. Northwest Mining Association, Washington.	NO INDICA		0
Preparación y Evaluación de Proyectos 	501	Copeland, T.,  Fred Weston, J. & Shastry, K. (2005).  Financial Theory and Corporate Policy. Ed. Addison-Wesley Publishing Company	NO INDICA		0
Preparación y Evaluación de Proyectos 	501	Finnerty, J. (1998). Financiamiento de Proyectos. Editorial Prentice Hall	NO INDICA		0
Geología y Exploración de Depósitos Minerales 	501	Prospección, Evaluación, Explotación, Mineralurgia, Impacto Ambiental. Mostoles (Madrid).	OBLIGATORIA		0
Geología y Exploración de Depósitos Minerales 	501	Evans, A.M., 1980. An Introduction to Ore Geology.- Geoscience Texts, Vol. 2: 231 p., 130 Fig.; Blackwell Scientific Publications, Oxford.	OBLIGATORIA		0
