PLANILLA DE NECESIDADES BIBLIOGRAFICAS 2022						
						
CARRERA:						
						
						
ASIGNATURA	SEMESTRE	DETALLE DE BIBLIOGRAFÍA 	TIPO DE BIBLIOGRAFIA	CANTIDAD DE TITULOS EN BIBLIOTECA	NRO DE BIB	PRESTAMOS 0
Anatomía Humana Aplicada	101	Frank H. Netter, MD, “Atlas de Anatomía Humana 5° Edición, año 2011, Ed Elsevier.	OBLIGATORIA	15	24595	0
		Richard L. Drake, Wayne Vogl, Adam W.M.Mitchell “Grey Anatomía para Estudiantes”, 1° Edición, año 2005, Ed. Elsevier.	OBLIGATORIA	3	25679	
		Kenneth S. Saladín “Anatomía Fisiología, La unidad entre la forma y la función”, 6° Edición, año 2013, Ed. Mc Graw Hill.	COMPLEMENTARIA	0	0	
		Gerard J.Tortora, Bryan Derrickson, “Principios de Anatomía y Fisiología”, 13° y/o 14° Edición, año 2012 y 2014, ed. Wiley.	COMPLEMENTARIA	0	0	
Biología Celular	101	Biología Molecular y celular. Lodish et al, 5ª Ed. Médica Panamericana. 2006	OBLIGATORIA	6	26200	
		Molecular Biology of the cell. Alberts, Bruce; Johnson, Alexander; Lewis, Julian; Raff, Martin; Roberts, Keith; Walter, Peter. Garland Science ; c2002.	OBLIGATORIA	0	0	
		Biochemistry. 5th edition. Berg, Jeremy M.; Tymoczko, John L.; and Stryer, Lubert.New York: W. H. Freeman and Co. ; c2002 .	OBLIGATORIA	0	0	
Inglés I	101	Kate Fuscoe, Barbara Garside, Luke Prodromou. (2006). Attitude Students book and Workbook. México: Mcmillan	OBLIGATORIA	0	0	
		Liz and Jhon Soars, Sylvia Wheeldon. (2006). New Headway Elementary Workbook. Mexico: Oxford University Press	OBLIGATORIA	0	0	
		Raymond Murphy. (2003). Essential Grammar in Use. Great Britain : Cambridge .	OBLIGATORIA	6	27054	
Introducción a la Nutrición	101	SIN BIBLIOGRAFÍA				
MATEMÁTICAS	101	EES, P.; SPARKS, F.; REES, C.; 2002. Algebra. Ed. Mac. Graw Hill, 628 páginas.	OBLIGATORIA	0	0	
		SPIEGEL. Algebra Superior. (Serie Schaum). Ed. Mac. Graw Hill, 1991.	OBLIGATORIA	0	0	
Química General y Orgánica	101	BROWN L. Theodore, LE MAY Eugene, Jr. , BURSTEN E. Bruce, “Química la Ciencia Central”, 9ª Edición, Pearson Education, México, 2010.	OBLIGATORIA	4	26937	
		PETRUCCI Ralph, HARWOOD William, “Química General”, 7ª Edición, Prentice -Hall Iberia, Madrid, 1999.	OBLIGATORIA	0	0	
