RESUMEN DE BIBLIOGRAFÍA CONSINADA (LIBROS)					
					
					
Tipo de Bibliografía	Titulos consignados	Titulos disponibles en Btca.	% de Cobertura		
COMPLEMENTARIA	43	25	58.1395348837209		
NO DETALLA	3	1	33.3333333333333		
OBLIGATORIA	162	106	65.4320987654321		
Total general	260	155	59.6153846153846		
					
TITULOS NO DISPONIBLES EN  BIBLIOTECA UDA 					
					
					
ASIGNATURA	SEMESTRE	DETALLE DE BIBLIOGRAFÍA 	TIPO DE BIBLIOGRAFIA	CANTIDAD DE TITULOS EN BIBLIOTECA	NRO DE BIB
		Gerard J.Tortora, Bryan Derrickson, “Principios de Anatomía y Fisiología”, 13° y/o 14° Edición, año 2012 y 2014, ed. Wiley.	OBLIGATORIA	0	0
		Bioquímica / Jeremy M. Berg, John L. Tymoczko, Lubert Stryer ; [versión española por José M. Macarulla].  2002	OBLIGATORIA	0	0
		Alberts, Bruce; Johnson, Alexander; Lewis, Julian; Raff, Martin; Roberts, Keith; Walter, Peter. Garland Science ; c2002. Biología molecular de la célula	OBLIGATORIA	0	0
		“Bioética”, Fernando Lolas, Editorial Mediterráneo, segunda edición, 2001.	OBLIGATORIA	0	0
		Temas de Bioética, Fernando Lolas, Editorial Mediterráneo, segunda edición, 2002.	OBLIGATORIA	0	
		 Manual de Fundamentos de Bioética, Delia Outomuro, Editorial Magister, primera, edición 2004.	OBLIGATORIA	0	0
		Case files Biochemistry,Toy, Seifert, Strobel, Harms. Mc Graw Hill Lange. Second edition 2008.	OBLIGATORIA	0	0
INGLÉS I	102	Robert O’Neill, 1997. English Works 1- Student’s book. Editorial Longman. Séptima edición.	NO DETALLA	0	0
		Simon and Schuster’s concise International Dictionary Simon an Schuter’s	NO DETALLA	0	0
		Kenneth S. Saladín “Anatomía Fisiología, La unidad entre la forma y la función”, 6° Edición, año 2013, Ed. Mc Graw Hill.	OBLIGATORIA	0	0
		Gerard J.Tortora, Bryan Derrickson, “Principios de Anatomía y Fisiología”, 13° y/o 14°Edición, año 2012 y 2014, ed. Wiley.	OBLIGATORIA	0	0
PSICOLOGÍA DEL DESARROLLO	102	Papalia, Diana E. (2001). Desarrollo humano. México. McGraw Interamericana, Ed. 12..	OBLIGATORIA	0	0
		Feldman R. (2007). Desarrollo Psicológico. (1ª Ed.) México. Pearson Educación.	OBLIGATORIA	0	0
		Berger, K. (2007). Psicología del desarrollo. Madrid. Editorial Panamericana.	OBLIGATORIA	0	0
		Davidoff, L. (2001). Introducción a la Psicología.	COMPLEMENTARIA	0	0
		Zepeda, F. (2003). Introducción a la Psicología. México. Pearson Educación.	COMPLEMENTARIA	0	0
SALUD PÚBLICA	102	Frías Osuna, A. (2000). Salud pública y educación para la salud. Primera Edición. Editorial Masson.	OBLIGATORIA	0	0
		Martínez Hernández, J. Nociones de Salud Pública. Edit. Ediciones Díaz de Santos. 2006	OBLIGATORIA	0	0
		Palmar, Ana María. (2014). Métodos Educativos en Salud. España. Elsevier.	OBLIGATORIA	0	0
		Undurraga, C. (2013). ¿Cómo aprenden los adultos?. Santiago: Ediciones UC.	OBLIGATORIA	0	0
		Frías Osuna, A.(2000). Salud pública y educación para la salud. Primera Edición. Editorial Masson.	COMPLEMENTARIA	0	0
		Martínez Hernández, J. Nociones de Salud Pública. Edit. Ediciones Díaz de Santos. 2006	COMPLEMENTARIA	0	0
		DANIEL,Wayne. Bioestadística:Base para el análisis de la salud. Noriega Editores. 4ta ed. México, 2005	OBLIGATORIA	0	0
		Zar, Jerrold H. BiostatiscalAnalisis. Pearson Education international,2010	COMPLEMENTARIA	0	0
		Celis, A . Bioestadística. México: Manual moderno, 2004	COMPLEMENTARIA	0	0
		Carlson, (2014), Embriología clínica y biología del desarrollo, México, Elsevier.	OBLIGATORIA	0	0
EPIDEMIOLOGÍA CLÍNICA Y SOCIAL	201	Frías Osuna, A. (2000). Salud pública y educación para la salud. Primera Edición. Editorial Masson.	OBLIGATORIA	0	0
		Martínez Hernández, J. Nociones de Salud Pública. Edit. Ediciones Díaz de Santos. 2006	OBLIGATORIA	0	0
		Tortora, G., Derrickson, B.(2006). Principios de anatomía y fisiología (11 a edición). Editorial Panamericana.	OBLIGATORIA	0	0
		Mandell, Douglas Y Bennet: Enfermedades infecciosas: principios y practicas (7ª ED.) Ed. ELSEVIER.	OBLIGATORIA	0	0
		Abul K. Abbas, Andrew H. H. Lichtman, Shiv Pillai: Inmunologia cellular y molecular (7ªED.)Elsevier España, 2012	OBLIGATORIA	0	0
PROMOCIÓN Y EDUCACIÓN PARA LA SALUD II	201	Frías Osuna, A. (2000). Salud pública y educación para la salud. Primera Edición. Editorial Masson.	COMPLEMENTARIA	0	0
		Martínez Hernández, J. Nociones de Salud Pública. Edit. Ediciones Díaz de Santos. 2006	COMPLEMENTARIA	0	0
		Frías Osuna, A. (2000). Salud pública y educación para la salud. Primera Edición. Editorial Masson.	OBLIGATORIA	0	0
