PLANILLA DE NECESIDADES BIBLIOGRAFICAS 2022						
						
CARRERA:		OBSTETRICIA Y PUERICULTURA				
						
						
	SEMESTRE	DETALLE DE BIBLIOGRAFÍA 	TIPO DE BIBLIOGRAFIA	CANTIDAD DE TITULOS EN BIBLIOTECA	NRO DE BIB	PRESTAMOS 0 
TALLER DE URGENCIA GINECO-OBSTETRICA	501	Pérez Sánchez, A. (2011) Obstetricia (4ª Edición).Chile: Mediterráneo	OBLIGATORIA	22	25299	
		Schwarcz, R., Fescina, R.,Duverges,C. (2005) Obstetricia (6ª Edición).Argentina: El Ateneo.	OBLIGATORIA	4	25207	
		Oyarzún Enrique. (1997). Alto Riesgo Obstétrico. Santiago de Chile: Editorial UC.	OBLIGATORIA	18	25173	
		González Merlo, J., Lailla, J.M., Fabre, E., González, E. (2013) Obstetricia (6ª Edición).	COMPLEMENTARIA	7	25139	
		Walker,C., (2013) Fisioterapia en Obstetricia y Uroginecología (2ª Edición). España: eLSEVIER	COMPLEMENTARIA	2	25211	0
ANATOMÍA GENERAL	101	Moore, K.L. Anatomía con orientación clínica, Ed. Lippincott Williams &amp; Wilkins , 7ª ed. 2013	OBLIGATORIA	17	25177	
		Richard L. Drake, Wayne Vogl, Adam W.M.Mitchell “Gray Anatomía para Estudiantes”, 1° Edición, año 2005, Ed. Elsevier.	OBLIGATORIA	18	25679	
		Frank H. Netter, MD, “Atlas de Anatomía Humana 5° Edición, año 2011, Elsevier.	OBLIGATORIA	15	24595	
		Kenneth S. Saladín “Anatomía Fisiología, La unidad entre la forma y la función”, 6° Edición, año 2013, Ed. Mc Graw Hill.	OBLIGATORIA	4	27465	
		Gerard J.Tortora, Bryan Derrickson, “Principios de Anatomía y Fisiología”, 13° y/o 14° Edición, año 2012 y 2014, ed. Wiley.	OBLIGATORIA	0	0	
BIOLOGÍA MOLECULAR DE LA CÉLULA	101	Lodish, Berk, A., Matsudaira, P. T., Kaiser, C., Krieger, M., Scott, M. P., Zipursky, S. L., & Darnell, J. E. (2005). Biología celular y molecular (5a. ed.). Médica Panamericana.	OBLIGATORIA	6	26200	
		Bioquímica / Jeremy M. Berg, John L. Tymoczko, Lubert Stryer ; [versión española por José M. Macarulla].  2002	OBLIGATORIA	0	0	
		Alberts, Bruce; Johnson, Alexander; Lewis, Julian; Raff, Martin; Roberts, Keith; Walter, Peter. Garland Science ; c2002. Biología molecular de la célula	OBLIGATORIA	0	0	
		Nelson, D. L., & Cox, M. M. (2015). Leningher Principios de Bioquímica. Barcelona: Omega. 	COMPLEMENTARIA	2	26093	
QUÍMICA GENERAL Y ORGÁNICA	101	Brown, L.,May, B. (2010), Química la Ciencia Central, México, Pearson Education.	OBLIGATORIA	292	18151	
		Chang, Raymond .(2009),Química, México, Mc Graw-Hill.	OBLIGATORIA	49	26597	
		Petrucci, R.(1986), Química General, Addison-Wesley Iberoamericana.	COMPLEMENTARIA	32	2615	0
BIOÉTICA Y ASPECTOS LEGALES	102	Introducción a la Bioética, Miguel Kottow, Ed. Mediterraneo, 2005.	OBLIGATORIA	2	26838	
		“Bioética”, Fernando Lolas, Editorial Mediterráneo, segunda edición, 2001.	OBLIGATORIA	0	0	
		Temas de Bioética, Fernando Lolas, Editorial Mediterráneo, segunda edición, 2002.	OBLIGATORIA	0		
		 Manual de Fundamentos de Bioética, Delia Outomuro, Editorial Magister, primera, edición 2004.	OBLIGATORIA	0	0	
		&quot;Bioética Clínica&quot;, Juan Pablo Beca y Carmen Astete, Editorial Mediterráneo, primera edición, 2012.	OBLIGATORIA	2	25159	
BIOQUIMICA CLINICA	102	Nelson, D. L., & Cox, M. M. (2015). Leningher Principios de Bioquímica. Barcelona: Omega. 	OBLIGATORIA	2	26093	
		Case files Biochemistry,Toy, Seifert, Strobel, Harms. Mc Graw Hill Lange. Second edition 2008.	OBLIGATORIA	0	0	
		Bioquímica. D. Voet y J.G. Voet, Ediciones Panamericana, 2006	OBLIGATORIA	1	26227	
		Biología Molecular y celular. Lodish et al, 5ª Ed. Médica Panamericana. 2006	COMPLEMENTARIA	6	26200	
INGLÉS I	102	Robert O’Neill, 1997. English Works 1- Student’s book. Editorial Longman. Séptima edición.	NO DETALLA	0	0	
		Simon and Schuster’s concise International Dictionary Simon an Schuter’s	NO DETALLA	0	0	
		Essential Grammar In Use Second Edition. Raymond Murphy.	NO DETALLA	6	27054	
MORFOLOGÍA REPRODUCTIVA	102	Moore, K.L. Anatomía con orientación clínica, Ed. Lippincott Williams &amp; Wilkins , 7ª Edición, 2013	OBLIGATORIA	12	25177	
		Frank H. Netter, MD, “Atlas de Anatomía Humana 5° Edición, año 2011, Ed Elsevier.	OBLIGATORIA	15	24595	
		Richard L. Drake, Wayne Vogl, Adam W.M.Mitchell “Gray Anatomía para Estudiantes”, 1° Edición, año 2005, Ed. Elsevier.	OBLIGATORIA	3	25679	
		Kenneth S. Saladín “Anatomía Fisiología, La unidad entre la forma y la función”, 6° Edición, año 2013, Ed. Mc Graw Hill.	OBLIGATORIA	0	0	
		Gerard J.Tortora, Bryan Derrickson, “Principios de Anatomía y Fisiología”, 13° y/o 14°Edición, año 2012 y 2014, ed. Wiley.	OBLIGATORIA	0	0	
PSICOLOGÍA DEL DESARROLLO	102	Papalia, Diana E. (2001). Desarrollo humano. México. McGraw Interamericana, Ed. 12..	OBLIGATORIA	0	0	
		Feldman R. (2007). Desarrollo Psicológico. (1ª Ed.) México. Pearson Educación.	OBLIGATORIA	0	0	
		Berger, K. (2007). Psicología del desarrollo. Madrid. Editorial Panamericana.	OBLIGATORIA	0	0	
		Davidoff, L. (2001). Introducción a la Psicología.	COMPLEMENTARIA	0	0	
		Zepeda, F. (2003). Introducción a la Psicología. México. Pearson Educación.	COMPLEMENTARIA	0	0	
SALUD PÚBLICA	102	Frías Osuna, A. (2000). Salud pública y educación para la salud. Primera Edición. Editorial Masson.	OBLIGATORIA	0	0	
		Hernández- Aguado, I y otros, (2005). Manual de Epidemiología y Salud Pública.	OBLIGATORIA	18	25205	
		Martínez Hernández, J. Nociones de Salud Pública. Edit. Ediciones Díaz de Santos. 2006	OBLIGATORIA	0	0	
		Piédrola Gil, G. (2000). Medicina Preventiva y salud pública. Edit. Masson Salvat.	COMPLEMENTARIA	1	25234	
PROMOCIÓN Y EDUCACIÓN PARA LA SALUD I	102	Restrepo, H. (2001). Promoción de la Salud: como construir vida saludable. Colombia: Panamericana	OBLIGATORIA	1	21095	
		Palmar, Ana María. (2014). Métodos Educativos en Salud. España. Elsevier.	OBLIGATORIA	0	0	
		Undurraga, C. (2013). ¿Cómo aprenden los adultos?. Santiago: Ediciones UC.	OBLIGATORIA	0	0	
		Frías Osuna, A.(2000). Salud pública y educación para la salud. Primera Edición. Editorial Masson.	COMPLEMENTARIA	0	0	
		Hernández- Aguado, I. (2005). Manual de Epidemiología y Salud Pública. Primera Edición. Editorial Médica Panamericana.	COMPLEMENTARIA	18	25205	
		Martínez Hernández, J. Nociones de Salud Pública. Edit. Ediciones Díaz de Santos. 2006	COMPLEMENTARIA	0	0	
BIOESTADÍSTICA	201	Milton, J. Susan. Estadística para biología y ciencias de la salud McGraw-Hill,2007	OBLIGATORIA	3	26996	0
		DANIEL,Wayne. Bioestadística:Base para el análisis de la salud. Noriega Editores. 4ta ed. México, 2005	OBLIGATORIA	0	0	
		Zar, Jerrold H. BiostatiscalAnalisis. Pearson Education international,2010	COMPLEMENTARIA	0	0	
		Celis, A . Bioestadística. México: Manual moderno, 2004	COMPLEMENTARIA	0	0	
DESARROLLO EMBRIO-FETAL	201	Sadler, T.W, (2012), Langman embriología médica, México, Wolters Kluwer.	OBLIGATORIA	11	25154	
		Moore K, (2013). Embriología clínica, Barcelona, España, Elsevier.	OBLIGATORIA	3	25176	
		Carlson, (2014), Embriología clínica y biología del desarrollo, México, Elsevier.	OBLIGATORIA	0	0	
		Cochard L, (2005) Netter Atlas embriología, Barcelona, España, Elsevier.	COMPLEMENTARIA	1	25226	
		Mackenna, (2013), Reproducción humana e infertilidad, Mediterráneo.	COMPLEMENTARIA	3	25275	
		Gratacos E, (2007), Medicina Fetal, Madrid, Editorial Médica Panamericana.	COMPLEMENTARIA	1	25228	0
EPIDEMIOLOGÍA CLÍNICA Y SOCIAL	201	Frías Osuna, A. (2000). Salud pública y educación para la salud. Primera Edición. Editorial Masson.	OBLIGATORIA	0	0	
		Hernández- Aguado, I y otros. (2005). Manual de Epidemiología y Salud Pública. Primera Edición. Editorial Médica Panamericana.	OBLIGATORIA	18	25205	
		Martínez González, M. (2013). Conceptos de Salud Pública y Estratégias Preventivas. Editorial Elsevier.	OBLIGATORIA	15	25190	
		Martínez Hernández, J. Nociones de Salud Pública. Edit. Ediciones Díaz de Santos. 2006	OBLIGATORIA	0	0	
		Piédrola Gil, G. Medicina Preventiva y salud pública. Edit. Masson Salvat. 2000.	COMPLEMENTARIA	1	25234	
		Fox, S.(2011). Fisiología humana (12 a edición). McGraw-Hill Interamericana Editores.	OBLIGATORIA	3	25634	
		Costanzo, L. 2014. Fisiología. Elsevier, Barcelona, España.	OBLIGATORIA	5	25682	
		Gal, B., López, M., Martín, A., Prieto, J.(2007). Bases de la fisiología (2 a edición). Editorial Tebar, Madrid, España.	OBLIGATORIA	5	25646	
		Hall, J.(2011). Guyton y Hall. Tratado de fisiología Médica (12 a edición). Editorial Elsevier.	OBLIGATORIA	17	24591	
		Tortora, G., Derrickson, B.(2006). Principios de anatomía y fisiología (11 a edición). Editorial Panamericana.	OBLIGATORIA	0	0	
MICROBIOLOGÍA Y PARASITOLOGÍA CLÍNICA	201	Patrick R. Murray, Ken S. Rosenthal, Michael A. Pfaller - Microbiología Médica, 7ma. edición (2013). Ed. ELSEVIER.	OBLIGATORIA	9	25830	
		Mandell, Douglas Y Bennet: Enfermedades infecciosas: principios y practicas (7ª ED.) Ed. ELSEVIER.	OBLIGATORIA	0	0	
		Abul K. Abbas, Andrew H. H. Lichtman, Shiv Pillai: Inmunologia cellular y molecular (7ªED.)Elsevier España, 2012	OBLIGATORIA	0	0	
PROMOCIÓN Y EDUCACIÓN PARA LA SALUD II	201	Frías Osuna, A. (2000). Salud pública y educación para la salud. Primera Edición. Editorial Masson.	COMPLEMENTARIA	0	0	
		Hernández- Aguado, I y otros. (2005). Manual de Epidemiología y Salud Pública. Primera Edición. Editorial Médica Panamericana.	COMPLEMENTARIA	18	25205	
		Martínez Hernández, J. Nociones de Salud Pública. Edit. Ediciones Díaz de Santos. 2006	COMPLEMENTARIA	0	0	
SALUD FAMILIAR Y COMUNITARIA	201	Montero, Luz. (2015). Manual de Atención de Familias para profesionales de la salud. Santiago-Chile. Ediciones UC.	OBLIGATORIA	18	26909	
		Martínez G., Miguel A. (2013). Conceptos de Salud Pública y Estrategias Preventivas. Editorial Elsevier.	OBLIGATORIA	15	25190	
		Frías Osuna, A. (2000). Salud pública y educación para la salud. Primera Edición. Editorial Masson.	OBLIGATORIA	0	0	
