RESUMEN DE BIBLIOGRAFÍA CONSINADA (LIBROS)					
					
Tipo de Bibliografía	Titulos consignados	Titulos Disponibles en Btca.	% de cobertura		
Complementaria	135	69	51.1111111111111		
Obligatoria	376	291	77.3936170212766		
Total general	525	360	68.5714285714286		
					
					
TITULOS NO DISPONIBLES EN  BIBLIOTECA UDA 					
					
ASIGNATURA	SEMESTRE	DETALLE DE BIBLIOGRAFÍA 	TIPO DE BIBLIOGRAFIA	CANTIDAD DE ESTUDIANTES POR ASIGNATURA	CANTIDAD  BIBLIOTECA
Filosofia de la Educación	Primer semestre 	Althusser,Louis (1974) La Filosofía como arma de la Revolución. Siglo XXI Editores. México.	Complementaria	25	0
Filosofia de la Educación	Primer semestre 	Apple,M.(1986) Ideología y Curriculum. Editorial Akal, Madrid.	Complementaria	25	0
Filosofia de la Educación	Primer semestre 	Bourdieu, P. (2003) Capital cultural, escuela y espacio social. Editorial Siglo XXI, Argentina.	Complementaria	25	0
Filosofia de la Educación	Primer semestre 	Cerutti G.,Horacio (1993) Filosofía de la Educación. Hacia una Pedagogía Para América Latina. Universidad Nacional Autónoma de México.	Complementaria	25	0
Filosofia de la Educación	Primer semestre 	González R., A. (2016) ¿Por qué es científica la ciencia? Impresia Ibérica. España.	Complementaria	25	0
Filosofia de la Educación	Primer semestre 	Hegel,G. (2009) Introducción a la historia de la Filosofía. Editorial Gradifco , Buenos Aires	Complementaria	25	0
Filosofia de la Educación	Primer semestre 	Munizaga A.,R (S/F) Algunos temas de la Filosofía Educacional de don Valentin Letelier. Editorial Universitaria. Santiago, Chile.	Complementaria	25	0
Filosofia de la Educación	Primer semestre 	Maritain, Jacques (1950) Introducción a la Filosofía.Biblioteca Argentina de Filosofía. Club dLectores. Buenos Aires.	Complementaria	25	0
Filosofia de la Educación	Primer semestre 	Jasper, K. (1970) La Filosofía. Fondo de cultura económica. México.	Complementaria	25	0
Filosofia de la Educación	Primer semestre 	Freire, Paulo (2015) Pedagogía de los sueños posibles. Siglo XXI editores. Argentina	Complementaria	25	0
Electivo I :Estrategias para educar a través de las emociones.	Primer semestre	Lavilla P. Taller de cuenta cuentos, Alba Editorial, 2012.	Complementaria	15	0
Puericultura	Primer semestre	Brower, W. y. (1987). Aprendiendo a Promover la salud. OPS.	Obligatoria	25	0
Sociología Educacional	Primer semestre	Garreton, Manuel Antonio (2000) La sociedad en que vivi(re)mos. Introducción a la Sociología en el cambio de siglo. LOM Ediciones, Santiago, Chile. (Unidad Uno).	Obligatoria	25	0
Sociología Educacional	Primer semestre	Bonal, Xavier (1998) Sociología de la Educación. Paidos Espasa Libros, S.L.U. España.	Complementaria	25	0
Sociología Educacional	Primer semestre	Bourdieu, P. (2003) Capital cultural, escuela y espacio social. Editorial Siglo XXI, Argentina.	Complementaria	25	0
Sociología Educacional	Primer semestre	Bourdieu, P y Passeron, J.C. (2003) Los Herederos: los estudiantes y la cultura. Editorial Siglo XXI, Buenos Aires.	Complementaria	25	0
Sociología Educacional	Primer semestre	Bunge, Mario (1993) Sociología de la Ciencia. Editorial Siglo XXI, Argentina.	Complementaria	25	0
Sociología Educacional	Primer semestre	Corcuff, Philippe (2014) Las Nuevas Sociologías. Principales corrientes y debates, 1980-2010. Siglo veintiuno editores, Argentina.	Complementaria	25	0
Sociología Educacional	Primer semestre	Durkheim, Emile (2006) Las reglas del método sociológico. Centro Editor de Cultura. Argentina.	Complementaria	25	0
Sociología Educacional	Primer semestre	Garretón,  Manuel  Antonio  (2000)  La  sociedad  en  que  vivi(re)mos.	Complementaria	25	0
Sociología Educacional	Primer semestre	Introducción sociológica al cambio de siglo. LOM Ediciones, Chile.	Complementaria	25	0
Sociología Educacional	Primer semestre	González-Anleo, Juan (1991) Para comprender la Sociología. (Cap. 5) Editorial Verbo Divino, Navarra, España.	Complementaria	25	0
Sociología Educacional	Primer semestre	Moreno B. Ernesto (1989) Manual de Introducción a la Sociología. C.P.U. Santiago, Chile.	Complementaria	25	0
Sociología Educacional	Primer semestre	Tirado Benedi, Domingo (1967) Sociología de la Educación. Fernández Editopress, S.A. México.	Complementaria	25	0
Sociología Educacional	Primer semestre	Wrigth Mills, Charles (1986) La imaginación sociológica. Fondo de cultura económica, Santiago.	Complementaria	25	0
Educación para la plástica y desarrollo creativo del párvulo.	Segundo semestre	Judith Akoschky, E. B. (1999). Arte y escuela: Aspectos curriculares y didácticos de la educación artística. Buenos Aires: Paidós.	Obligatoria	30	0
Educación para la plástica y desarrollo creativo del párvulo.	Segundo semestre	Ministerio de Educación (2018) Orientaciones para la Elaboración del Plan de Formación. Gobierno de Chile. Alameda 1371, Santiago.	Obligatoria	30	0
Fundamentos  del currículo	Segundo semestre	Malagón, L., Rodríguez, L y Ñáñez, J. (2019). El currículo: Fundamentos teóricos y prácticos. Colombia.	Complementaria	30	0
		Ilabaca, J. S. (2000). Informática Educativa. Santiago: Editorial Universitaria.	Obligatoria	25	0
Nutrición del párvulo.	Segundo semestre	Ruz, M. (1996). Nutrición y Alimentación Humana. Santiago: Universidad de Chile.	Obligatoria	25	0
Optativo I Diversidad e inclusión.	Segundo semestre	Guía de lenguaje inclusivo de género.	Obligatoria	15	0
Optativo I Diversidad e inclusión.	Segundo semestre	Uso de lenguaje inclusivo. Persona en situación de discapacidad.	Obligatoria	15	0
Optativo I Diversidad e inclusión.	Segundo semestre	Guía ilustrada para una comunicación sin estereotipos de género.	Obligatoria	15	0
Optativo I Diversidad e inclusión.	Segundo semestre	Educación Siglo XXI: Nuevos retos, nuevas soluciones. Capítulo: Educación e Inclusión en tiempos de Pandemia. Pág. 146. ISBN: 978-84-1377-858-7. Madrid-2021	Complementaria	15	0
Optativo I Diversidad e inclusión.	Segundo semestre	Uso de lenguaje inclusivo. Persona en situación de discapacidad.	Complementaria	15	0
Optativo I Diversidad e inclusión.	Segundo semestre	Guía de actuación: Recomendaciones para mujeres que viven violencia en situación de permanencia domiciliaria derivada del estado de alerta sanitaria por COVID 19	Complementaria	15	0
Producción de texto escrito.	Segundo semestre	Ferreiro, E y Gómez, M., (2002), Nuevas Perspectivas sobre los Procesos de Lectura y Escritura, Edit. Siglo XXI, México.	Obligatoria	30	0
Producción de texto escrito.	Segundo semestre	Neneca, P. y Cabrera, A. (2002), Lenguaje y Comunicación, Editorial CEC, SA, Caracas	Complementaria	30	0
Producción de texto escrito.	Segundo semestre	Pitluk, L. (2016). Las prácticas actuales en la educación inicial: Sentidos y sinsentidos. Posibles líneas de acción. La sutoridad, las sanciones y los límites. El trabajo sobre lo grupal. La especialidad del trabajo en las salas. Homo Sapiens Ediciones. ISBN: 978-950-808-726-3	Obligatoria	25	0
Producción de texto escrito.	Segundo semestre	Ávalos Ordenes V, Collao Jofré D. (2020). Material Educativo: Componentes de la planificación.	Complementaria	25	0
Producción de texto escrito.	Segundo semestre	Teleduc. (1997). Educación y salud, tres niveles de intervención para una escuela saludable . Santiago: Pontificia Universidad católica de Chile.	Obligatoria	25	0
Electivo II Educación ciudadana.	Tercer semestre	Borone L. R. (2001) Valores y derechos para un nuevo modelo de convivencia tomo 1 y 2. Buenos Aires: Dasa.	Obligatoria	15	0
Electivo II Educación ciudadana.	Tercer semestre	Ministerio de Educación (2018) Orientaciones para la Elaboración del Plan de Formación. Gobierno de Chile. Alameda 1371, Santiago.	Obligatoria	15	0
Evaluación para el aprendizaje.	Tercer semestre	San Martí N. (2007) Diez ideas claves. Evaluar para aprender. Barcelona: Grao	Obligatoria	30	0
Evaluación para el aprendizaje.	Tercer semestre	Taut S., Cortés F., Sebastian C. y Preiss D. (2009) Evaluating school and parent reports of the national student achievement testing system (SIMCE) in Chile: Access, comprehension, and use. Evaluation and Program Planning, (32) pp. 129-137	Complementaria	30	0
Psicología educacional.	Tercer semestre	Gardner H. (1995) Estructura de la mente: La teoría de las inteligencias múltiples, Ed. Fondo de cultura económica, México.	Complementaria	25	0
Educación del Desarrollo a las Artes musicales.	Cuarto semestre	Hemsy. Violeta (2000) “Problemática actual y perspectivas de la educación musical para el siglo XXI”.	Obligatoria	25	0
Educación del Desarrollo a las Artes musicales.	Cuarto semestre	Sánchez,  Ortega, Paula (2001) La Musicalización ciudadana, un reto del educador musical en el contexto latinoamericano y caribeño. Cuba.	Obligatoria	25	0
Educación del Desarrollo a las Artes musicales.	Cuarto semestre	C. Talero-Gutiérrez, J.G. Zarruk-Serrano, A. Espinosa-Bode (2004) Percepción musical y funciones cognitivas rev neurol.	Obligatoria	25	0
Educación del Desarrollo  de las Artes escénicas.	Cuarto semestre	Cañal, Santos, F., y Cañal, Ruiz, C. (2001). Música, danza y expresión corporal en educación infantil y primaria, tomo 1. Estudios Gráficos Europeos, s.a.	Obligatoria	30	0
Educación del Desarrollo  de las Artes escénicas.	Cuarto semestre	Consejo Nacional de la Cultura y las Artes. (2016). Santiago, Chile. Manual de apoyo al facilitador TALLER DE TEATRO, Protagonistas en el juego	Obligatoria	30	0
Educación del Desarrollo  de las Artes escénicas.	Cuarto semestre	Consejo Nacional de la Cultura y las Artes. (2016). Santiago, Chile. Por qué enseñar arte y cómo hacerlo. Ograma impresores.	Obligatoria	30	0
Educación del Desarrollo  de las Artes escénicas.	Cuarto semestre	Consejo Nacional de la Cultura y las Artes. (2016). Aportes de los lenguajes artísticos a la educación, Fichas descriptivas.	Obligatoria	30	0
Educación del Desarrollo  de las Artes escénicas.	Cuarto semestre	García-Huidobro, H. (2016). Paso de Gato. Pedagogía teatral: metodología activa en el aula.	Obligatoria	30	0
Educación del Desarrollo  de las Artes escénicas.	Cuarto semestre	Gubern, R. (2014). Historia del cine. Editor digital: Titivilus.	Obligatoria	30	0
Educación del Desarrollo  de las Artes escénicas.	Cuarto semestre	Potes, R. L. (2011). Guía de trabajo para actores, alcanza tus sueños.	Obligatoria	30	0
Educación del Desarrollo  de las Artes escénicas.	Cuarto semestre	Del Canto, Fariña. L., García-Huidobro, Valdés. M., Sedano, Solís. Ana., y Compañía La Balanza: Teatro & Educación. (2021). Santiago. Ediciones UC.	Complementaria	30	0
Ética profesional	Cuarto semestre	Subsecretaría de Educación Parvularia, (2019). Marco para la Buena Enseñanza de la Educación Parvularia: Referente para una práctica pedagógica reflexiva y pertinente. Chile, Santiago: Ministerio de Educación.	Complementaria	25	0
Ética profesional	Cuarto semestre	Subsecretaría de Educación Parvularia, (2017) Orientaciones para el Buen Trato en Educación Parvularia: Hacia una práctica bientratante y protectora. Chile, Santiago: Ministerio de Educación.	Complementaria	25	0
Políticas educacionales	Cuarto semestre	Picazo Verdejo, P. (2007). La reforma del currículo escolar en Chile: entre tensiones creadoras y consenso necesario. Pensamiento Educativo, 313-333.	Obligatoria	25	0
Políticas educacionales	Cuarto semestre	Cerda, L. (2007). Un siglo de Educación Parvularia en Chile. Editorial Mataquito.	Complementaria	25	0
Políticas educacionales	Cuarto semestre	Silva Torrealba, B. (2018). Historia social de la educación chilena, ediciones Universidad Tecnológica Metropolitana	Complementaria	25	0
Políticas educacionales	Cuarto semestre	Stainback, S., & Stainback, W. (2007). Aulas Inclusivas. Un nuevo modo de enfocar y vivir el currículo. Madrid: Narcea.	Complementaria	25	0
Fundamentos de la investigación científica.	Quinto semestre 	León, O. E Montero, I. (1993). Diseños de investigaciones. España: McGraw-Hill. (Capítulo 4, 5, 6, 7, 8 y 9)	Complementaria	25	0
Fundamentos de la investigación científica.	Quinto semestre 	Rodríguez, G.; Gil, J. y García, E. (1996). Tradición y enfoques en la investigación cualitativa. México: Ediciones Aljibe, S. L. (Capítulo 2, 3 y 4)	Complementaria	25	0
Fundamentos del desarrollo del Lenguaje	Quinto semestre 	Rodríguez, G.; Gil, J. y García, E. (1996). Tradición y enfoques en la investigación cualitativa. México: Ediciones Aljibe, S. L. (Capítulo 2, 3 y 4)	Obligatoria	25	0
Fundamentos del desarrollo del Lenguaje	Quinto semestre 	Rodríguez, G.; Gil, J. y García, E. (1996). Tradición y enfoques en la investigación cualitativa. México: Ediciones Aljibe, S. L. (Capítulo 2, 3 y 4)	Obligatoria	25	0
Fundamentos del desarrollo del Lenguaje	Quinto semestre 	Olerón, P. (1981) El niño y la adquisición del lenguaje Madrid España Editorial Morata.,Colección Humanidades 372.4M743	Obligatoria	25	0
Fundamentos del desarrollo del Lenguaje	Quinto semestre 	Unidad de educación especial, Ministerio de educación, (2008) Guía de apoyo técnico-pedagógico, necesidades educativas especiales en el nivel de educación parvularia Guía: NEE en el Nivel de Educación Parvularia - Educación Especial (mineduc.cl)	Complementaria	25	0
Liderazgo y Administración educacional.	Quinto semestre 	Schargel, Franklin P. Cómo (1997) transformar la educación a través de la gestión de la calidad total: Guía práctica. Madrid: Díaz de Santos.	Obligatoria	25	0
Liderazgo y Administración educacional.	Quinto semestre 	Carrasco A. (2008) Investigación en Efectividad y Mejora Escolar. ¿Nueva Agenda? REICE.	Complementaria	25	0
Liderazgo y Administración educacional.	Quinto semestre 	Murillo Javier (2006). Una dirección escolar para el cambio: Del liderazgo transformacional al liderazgo distribuido. Reice, Volumen 4, Número 4e.	Complementaria	25	0
Metodología del desarrollo de las Artes Escénicas.	Quinto semestre 	Cañal Santos Félix Cañal Ruiz Mª Cristina. (2004). El mimo en la escuela. Educación y Ciencia edita Junta de Andalucía Consejería de Educación y Ciencia Dirección General de Evaluación Educativa y Formación del Profesorado.	Obligatoria	25	0
Metodología del desarrollo de las Artes Escénicas.	Quinto semestre 	Cañal, Santos, F., y Cañal, Ruiz, C. (2001). Música, danza y expresión corporal en educación infantil y primaria, tomo 1. Estudios Gráficos Europeos, s.a.	Obligatoria	25	0
Metodología del desarrollo de las Artes Escénicas.	Quinto semestre 	Consejo Nacional de la Cultura y las Artes. (2016). APORTES DE LOS LENGUAJES ARTÍSTICOS A LA EDUCACIÓN Fichas descriptivas.	Obligatoria	25	0
Metodología del desarrollo de las Artes Escénicas.	Quinto semestre 	Consejo Nacional de la Cultura y las Artes. (2016). Por qué enseñar arte y cómo hacerlo. Santiago, Chile. Ograma impresores.	Obligatoria	25	0
Metodología del desarrollo de las Artes Escénicas.	Quinto semestre 	Del Canto, Fariña. L., García-Huidobro, Valdés. M., Sedano, Solís. Ana., y Compañía La Balanza: Teatro & Educación. (2021). Santiago. Ediciones UC.	Complementaria	25	0
Metodología del desarrollo de las Artes Escénicas.	Quinto semestre 	Mc Callion, Michael. “El libro de la voz” Ediciones Urano, S.A. Barcelona, España.	Complementaria	25	0
Metodología del desarrollo de las Artes Musicales.	Quinto semestre 	Hemsy. Violeta (2000) “Problemática actual y perspectivas de la educación musical para el siglo XXI”. 	Obligatoria	25	0
Metodología del desarrollo de las Artes Musicales.	Quinto semestre 	Sánchez,  Ortega, Paula (2001)”La Musicalización ciudadana, un reto del educador musical  en el contexto latinoamericano y caribeño”. Cuba	Obligatoria	25	0
Metodología del desarrollo de las Artes Musicales.	Quinto semestre 	González del Valle, Carmen. “MÉTODO PARA TOCAR LA FLAUTA DULCE (INICIACIÓN)”. 	Obligatoria	25	0
Metodología sala cuna.	Quinto semestre 	Fay, Dalmar...[et al.], 2000. Pensando la transformación de la educación en el nivel inicial. Rosario: HomoSapiens.	Obligatoria	30	0
Metodología sala cuna.	Quinto semestre 	Peralta E., María Victoria, 2017. Construyendo currículos posmodernos en la Educación Inicial Latinoamericana. Rosario, Argentina: HomoSapiens Ediciones.	Obligatoria	30	0
Orientación Educacional y Convivencia Escolar	Quinto semestre 	 Ministerio de Educación. (2003). Marco para la Buena Enseñanza. Chile. Ministerio de Educación.	Obligatoria	30	0
Orientación Educacional y Convivencia Escolar	Quinto semestre 	Mineduc. (2008). Marco para la Buena Enseñanza. Chile. Mineduc	Complementaria	30	0
Electivo III Didáctica del lenguaje artístico	Sexto semestre	Ministerio de Educación (2018) Orientaciones para la Elaboración del Plan de Formación. Gobierno de Chile. Alameda 1371, Santiago.	Obligatoria	15	0
Electivo III Didáctica del lenguaje artístico	Sexto semestre	Subsecretaría de Educación Parvularia. (2018).Documento Orientador para el Desarrollo de prácticas Inclusivas en Educación Parvularia. Chile: División de Políticas Educativas.	Obligatoria	15	0
Fundamentos y didáctica de las ciencias naturales	Sexto semestre	Perales, F.J. (2000). Didáctica de las ciencias experimentales, teoría y práctica de las ciencias naturales- España- Editorial Marfil.	Complementaria	25	0
Informática Educativa para la Educación Parvularia.	Sexto semestre	UNICEF (2020). Pantallas en casa: guía para acompañar a las familias en el uso del internet	Obligatoria	30	0
Metodología Nivel medio.	Sexto semestre	Grethel Muhlhauser, V. R. (1999). Juegos de Rincones y formación de identidad de género. Santiago, Chile: Universidad Católica cardenal Raúl Silva Henríque.	Obligatoria	25	0
Metodología Nivel medio.	Sexto semestre	Sarlé, P., Rosemberg, C. (2015). Dale que…El juego dramático y el desarrollo del lenguaje en los niños pequeños.HomoSapiens.	Obligatoria	25	0
Metodología Nivel medio.	Sexto semestre	Subsecretaria de Educación Parvularia. (2018) Planificación y Evaluación Orientaciones Técnicas Pedagógicas para el Nivel de Educación Parvularia . División de Políticas Educativas.	Obligatoria	25	0
Metodología Nivel medio.	Sexto semestre	Subsecretaria de Educación Parvularia. (2019). Ambientes para el Aprendizaje: Orientaciones técnico pedagógicas para el Nivel de Educación Parvularia. División de políticas educativas.	Complementaria	25	0
Metodología Nivel medio.	Sexto semestre	Ministerio de Educación.(2011). Plan Nacional de Fomento a la lectura, Lee Chile Lee. Santiago de Chile.	Complementaria	25	0
Pensamiento Lógico Matemático y cuantificación.	Sexto semestre	Acuña, M. F. (2005). Estrategias para potenciar las relaciones lógico matemática y cuantificación. Santiago: Editorial Maval.	Obligatoria	25	0
Pensamiento Lógico Matemático y cuantificación.	Sexto semestre	Bravo, J. A. (2006). Didáctica de la matemáticas en Educación Infantil. Madrid: Grupo mayéutica conpa.	Obligatoria	25	0
Práctica de Sala Cuna.	Sexto semestre	Zavalloni, G. (2011). La Pedagogía del Caracol, por una escuela lenta pero no violenta. GRAÓ, Barcelona.	Obligatoria	30	0
Fundamentos y Didácticas de la Ciencias Sociales.	Septimo semestre	Araya, Fabián.(2010): Metodología para la Enseñanza de las Ciencias Sociales. Universidad de La Serena.	Obligatoria	25	0
Fundamentos y Didácticas de la Ciencias Sociales.	Septimo semestre	Hernández Cardona, Xavier.2002: Didáctica de las Ciencias Sociales, Geografía e Historia. Editorial Grao N° 169. Barcelona.	Complementaria	25	0
Metodología Nivel Transición.	Septimo semestre	Grethel Muhlhauser, V. R. (1999). Juegos de Rincones y formación de identidad de género. Santiago, Chile: Universidad Católica cardenal Raúl Silva Henríque.	Obligatoria	30	0
Metodología y Didáctica del Lenguaje.	Septimo semestre	Gallego Ortega, José Luis. (1998) Aprendizaje en Educación Infantil Málaga España  Editorial Aljibe.	Obligatoria	25	0
Metodología y Didáctica del Lenguaje.	Septimo semestre	Malajovich, Ana (2000) “Recorrido didáctico en la educación inicial  Argentina Editorial Paidos	Obligatoria	25	0
Metodología y Didáctica del Lenguaje.	Septimo semestre	Orientaciones Técnico-Pedagógicas para el nivel de Educación Parvularia (2019) Subsecretaria educación Parvularia	Complementaria	25	0
Optativo IV Escritura creativa	Septimo semestre	Aristóteles. (1992) Poética. Madrid: Editorial Gredas.	Obligatoria	15	0
Optativo IV Escritura creativa	Septimo semestre	Bal, Mieke. (1985) Teoría de la narrativa. Madrid: Ediciones Cátedra.	Obligatoria	15	0
Optativo IV Escritura creativa	Septimo semestre	Campbell, Joseph. (1959) El héroe de las mil caras. México: Fondo de Cultura Económica.	Obligatoria	15	0
Optativo IV Escritura creativa	Septimo semestre	Cañelles, Isabel. (1999) La construcción del personajes literario. Madrid: Ediciones Escritura Creativa Fuentetaja.	Obligatoria	15	0
Optativo IV Escritura creativa	Septimo semestre	Egri, Lajos. (2009) El arte de la escritura dramática. México: Universidad Nacional Autónoma de México.	Obligatoria	15	0
Optativo IV Escritura creativa	Septimo semestre	Field, Syd. (1999) El libro del guión. Madrid: Plot Ediciones S.A.	Obligatoria	15	0
Optativo IV Escritura creativa	Septimo semestre	Gubern, Roman. (2002) Máscaras de la ficción. Barcelona: Editorial Anagrama.	Obligatoria	15	0
Optativo IV Escritura creativa	Septimo semestre	Mckee, Robert. (2010) El guión: sustancia estructura, estilo y principios de la escritura de guiones. Barcelona: Alba Editorial.	Obligatoria	15	0
Optativo IV Escritura creativa	Septimo semestre	Seger, Linda. (2000) Cómo crear personajes inolvidables. Barcelona: Editorial Paidós.	Obligatoria	15	0
Optativo IV Escritura creativa	Septimo semestre	Stanislavski, Constantin. (1975) La construcción del personaje. Madrid: Alianza Editorial.	Complementaria	15	0
Optativo IV Escritura creativa	Septimo semestre	Vogler, Christopher. (2002) El viaje del escritor. Barcelona: Ediciones Robinbook.	Complementaria	15	0
Didácticas de la Lectura y Escritura.	Octavo semestre 	Villalón, M. (2012). Alfabetización inicial: claves de acceso a la lectura y escritura desde los primeros meses de	Complementaria	25	0
Didácticas de la Literatura Infantil.	Octavo semestre 	Peña, Muñoz. Manuel. (1982). Historia de la Literatura Infantil Chilena. Santiago: Andrés Bello.	Obligatoria	25	0
Familia y Comunidad.	Octavo semestre 	Ministerio de Educación, Ciencia y Tecnología de la República Argentina y financiado por la Organización de los Estados Americanos (2006). Escuela y Comunidad: Desafíos para la inclusión educativa. Buenos Aires, Argentina: Educación y Sociedad.	Obligatoria	25	0
Familia y Comunidad.	Octavo semestre 	Junta Nacional de Jardines Infantiles. (2016). Reconociendo a las Familias: El valor de la Diversidad. Santiago, Chile: Ediciones de la JUNJI	Complementaria	25	0
Práctica Nivel Transición.	Octavo semestre 	Planificación en el Nivel de Educación Parvularia, Mineduc.cl	Complementaria	25	0
Programas y Experiencias educativas en ambientes inclusivos.	Octavo semestre 	5Olerón, P. (1981) El niño y la adquisición del lenguaje Madrid España Editorial Morata., Colección Humanidades 372.4M743	Obligatoria	30	0
Programas y Experiencias educativas en ambientes inclusivos.	Octavo semestre 	Aliaga, V. 2000. Artículo: Ley de Integración; Análisis crítico, PUC.	Complementaria	30	0
Programas y Experiencias educativas en ambientes inclusivos.	Octavo semestre 	Araya, D. 2020. Inclusión Educativa: un desafío en contexto de pandemia. Universidad de Atacama.	Complementaria	30	0
Programas y Experiencias educativas en ambientes inclusivos.	Octavo semestre 	Aliaga V. y Araya D. 2021. Educación Siglo XXI: Nuevos retos, nuevas soluciones. Capítulo: Educación e Inclusión en tiempos de Pandemia. Pág. 146. ISBN: 978-84-1377-858-7. Madrid.	Complementaria	30	0
