RESUMEN DE BIBLIOGRAFÍA CONSINADA (LIBROS)					
					
					
Tipo de Bibliografía	Titulos consignados	Titulos disponibles en Btca.	% de cobertura		
OBLIGATORIA	40	28	70		
COMPLEMENTARIA	20	20	100		
NO INDICA	7	3	42.8571428571429		
Total General 	67	51	70.95238095		
					
					
TITULOS NO DISPONIBLES EN  BIBLIOTECA UDA					
					
					
ASIGNATURA	SEMESTRE	DETALLE DE BIBLIOGRAFÍA 	TIPO DE BIBLIOGRAFIA	CANTIDAD DE COPIAS	NRO DE BIB
Seguridad Industrial I 		• Mutual de Seguridad. Ley 16.744 (1968): establece normas sobre accidentes del trabajo y enfermedades profesionales.	OBLIGATORIA	0	
Higiene Industrial I		Asensio, J. S. (2013). Química. Equilibrios químicos: Teoría, Ejercicios resueltos y prácticas. Editorial Visión Libros.	OBLIGATORIA	0	
Legislación Aplicada		• Mutual de Seguridad. Ley 16.744 (1968): establece normas sobre accidentes del trabajo y enfermedades profesionales.	OBLIGATORIA	0	
Taller I Identificación de Peligros		• Mutual de Seguridad. Ley 16.744 (1968): establece normas sobre accidentes del trabajo y enfermedades profesionales.		0	
Inglés I 		UDA English Center. (2018). Material propio elaborado por académicos.	OBLIGATORIA	0	
Higiene Industrial I		Asensio, J. S. (2013). Química. Equilibrios químicos: Teoría, Ejercicios resueltos	OBLIGATORIA	0	
Transporte, Carguío y Almacenamiento 		• Mutual de Seguridad. Ley 16.744 (1968): establece normas sobre accidentes del trabajo y enfermedades profesionales.	OBLIGATORIA	0	
Transporte, Carguío y Almacenamiento 		• Mutual de Seguridad. Ley 16.744 (1968): establece normas sobre accidentes del trabajo y enfermedades profesionales.		0	
Transporte, Carguío y Almacenamiento 		• Mutual de Seguridad. Ley 16.744 (1968): establece normas sobre accidentes del trabajo y enfermedades profesionales.		0	
Transporte, Carguío y Almacenamiento 		• Mutual de Seguridad. Ley 16.744 (1968): establece normas sobre accidentes del trabajo y enfermedades profesionales.		0	
Inglés II 		DA English Center. (2018). Material propio elaborado por académicos.	OBLIGATORIA	0	
Riesgos Críticos 		• Mutual de Seguridad. Ley 16.744 (1968): establece normas sobre accidentes del trabajo y enfermedades profesionales.	OBLIGATORIA	0	
Control de Emergencias e Incendios		• Maturana S, (2008). Primeros Auxilios. Grupo Clasa Editoria	OBLIGATORIA	0	
Salud Ocupacional 		• Tixa, S. (2006). Atlas De Anatomía Palpatoria Tomo 1. Cuello, Tronco Y Extremidad Superior. Elsevier Masson.	OBLIGATORIA	0	
Taller 111 Control de Riesgos 		• Mutual de Seguridad. Ley 16.744 (1968): establece normas sobre accidentes del trabajo y enfermedades profesionales.	OBLIGATORIA	0	
Proyecto de Titulación 		Tugendhat, E., Vicuña, A.M., & López, C. (2001). El libro de Manuel y Camita: Diálogos sobre ética. Barcelona: Gedisa Editorial.	OBLIGATORIA	0	
