ASIGNATURA	SEMESTRE	DETALLE DE BIBLIOGRAFÍA	AÑO	TIPO DE BIBLIOGRAFIA	Disponibilidad	COPIAS DISPONIBLES	NRO DE BIB#
Bases Biológicas de la Conducta Humana	101	Portellano, J., (2005) Introducción a la Neuropsicología. España. Mc Graw Hill	2005	NO INDICA	DISPONIBLE	5	25861
Bases Biológicas de la Conducta Humana	101	Netter, F., Atlas De Anatomia Humana. 4° Edicion (Versión PDF)		NO INDICA	DISPONIBLE	16	22273-24595
Psicología General	101	Braunstein, N. (1985): Psicología: ideología y ciencia. México: Siglo Veintiuno. (código biblioteca: 150 P974)	1985	OBLIGATORIA	DISPONIBLE	1	4757
Psicología General	101	Leahey, Thomas H. (2003). Historia de la Psicología. Madrid, España: Prentice Hall.	2003	OBLIGATORIA	NO disponible	0	
Psicología General	101	Le Senne, R. (1954). Introducción a la Filosofía. Buenos Aires, Argentina: El Ateneo. (código biblioteca: 102 L433)	1954	OBLIGATORIA	DISPONIBLE	1	10102
Psicología General	101	Papalia, D (1995). Psicología. Madrid, España: Mac- Graw-Hill. (código biblioteca: 150 P213)	1995	OBLIGATORIA	DISPONIBLE	11	8115
Psicología General	101	Ulich, D. (1992). Iniciación a la Psicología. Barcelona, España: Herder. (código biblioteca: 150 U39)	1992	OBLIGATORIA	DISPONIBLE	1	12449
Psicología General	101	García-Borrón, J.C. (1998). Historia de la Filosofía, Tomo I: La Antigüedad. Barcelona, España: Ediciones del Serbal. (código biblioteca: 109 G216h V.1)	1998	COMPLEMENTARIA	DISPONIBLE	18	12671
Psicología General	101	Whittaker, J. (1991). Psicología. Madrid, España: Mc- Graw-Hill. (código biblioteca: 150 W624)	1991	COMPLEMENTARIA	DISPONIBLE	7	4942
Socio-Antropología	101	Cruz, Isabel de la. (2002). Introducción a la antropología para la intervención social. Valencia : Tirant lo Blanch. (código biblioteca: 306 I61)	2002	OBLIGATORIA	DISPONIBLE	1	19030
Socio-Antropología	101	Mauss, Marcel (1991). Sociología y antropología. Madrid: Tecnos. (código biblioteca: 306.4 M457)	1991	OBLIGATORIA	DISPONIBLE	1	2174
Socio-Antropología	101	Horton, Paul, Moya, Rafael (1986) Sociología. México: Mc. Graw Hill (código biblioteca: 301 H823s)	1986	OBLIGATORIA	DISPONIBLE	6	678
Socio-Antropología	101	Kottak, Conrad Phillip (2002). Antropología Cultural. Madrid : McGraw-Hill (código biblioteca: 306 K848 2002)	2002	OBLIGATORIA	DISPONIBLE	1	21604
Socio-Antropología	101	Wallner, Ernest M. (1980). Sociología: conceptos y problemas fundamentales. Barcelona: Herder (código biblioteca: 301 W214)	1980	OBLIGATORIA	DISPONIBLE	1	13050
Socio-Antropología	101	Freud, S. (___). Totem y Tabu		COMPLEMENTARIA	NO disponible	0	
Taller de Desarrollo Personal I	101	Alejandro López, A. P. (1995). Introducción a la psicología de la comunicación : textos y ejercicios. Santiago, Chile : Universidad Católica de Chile.	1995	NO INDICA	DISPONIBLE	4	2868
Taller de Desarrollo Personal I	101	D. Novara, E. P. (2007). Educación socioafectiva : 150 actividades para conocerse, comunicarse y aprender de los conflictos. Madrid: Narcea .	2007	NO INDICA	DISPONIBLE	1	22635
Taller de Desarrollo Personal I	101	Feldman, J. R. (2005). Autoestima, cómo desarrollarla? : juegos, actividades, recursos, experiencias creativas. Madrid : Narcea.	2005	NO INDICA	DISPONIBLE	1	22503
Taller de Desarrollo Personal I	101	Goleman, D. (1996). La inteligencia emocional. Buenos Aires : Javier Vergara,.	1996	NO INDICA	DISPONIBLE	2	9007
Taller de Desarrollo Personal I	101	Ruiz, A. (1994). Como ayudarse a uno mismo : Aplicaciones de la terapia cognitiva, para superar los problemas emocionales de la vida diaria. Santiago, Chile: San Pablo.	1994	NO INDICA	NO disponible	0	
Taller de Desarrollo Personal I	101	Ruiz, A. (1996). Tus problemas : el sicólogo responde. Santiago, Chile: San Pablo.	1996	NO INDICA	NO disponible	0	
Taller de Desarrollo Personal I	101	Segal, J. (1998). Su inteligencia emocional : Aprenda a incrementarla y a usarla. Barcelona : Grijalbo.	1998	NO INDICA	DISPONIBLE	1	9967
Taller de Desarrollo Personal I	101	Sergio Rulicki, M. C. (2007). CNV - Comunicación No-Verbal : cómo la inteligencia emocional se expresa a través de los gestos. Buenos Aires, Argentina : Ediciones Granica.	2007	NO INDICA	DISPONIBLE	3	22758
Taller de Desarrollo Personal I	101	Stevens, J. O. (1988). El darse cuenta : Sentir, imaginar, vivenciar. Santiago, Chile: Cuatro Vientos.	1988	NO INDICA	DISPONIBLE	2	8967
Teorías de la Comunicación Humana	101	El sentido de lo humano Por Maturana Romesín, Humberto, 1928-Santiago, Chile : Dolmen ediciones, 1994  	1928	NO INDICA	DISPONIBLE	1	2789
Teorías de la Comunicación Humana	101	El proceso de la comunicación : introducción a la teoría y a la práctica Por Berlo, David Buenos Aires : El Ateneo, 1973	1973	NO INDICA	DISPONIBLE	7	4357
Teorías de la Comunicación Humana	101	Comunicación estudio del lenguaje Por Fuentes de la Corte, Juan Luis [Santiago] : Bibliográfica Internacional, [199?]		NO INDICA	DISPONIBLE	4	8173
Teorías de la Comunicación Humana	101	Lenguaje y comunicación Santiago, Chile : Lord Cochrane, 1997 	1997	NO INDICA	NO disponible	0	
Teorías de la Comunicación Humana	101	 Confianza Por Luhmann, Niklas Barcelona: Universidad Iberoamericana, Anthropos, 1996. 	1996	NO INDICA	DISPONIBLE	1	10776
Teorías de la Comunicación Humana	101	La excelencia en la comunicación: del pensamiento a la palabra Por Bravo M., Francisco México: Limusa, 1988.	1988	NO INDICA	DISPONIBLE	1	12747
Teorías de la Comunicación Humana	101	Teorías de la comunicación Por Otero Bello, Edison Santiago: Universitaria, 1998. 	1998	NO INDICA	DISPONIBLE	1	14062
Teorías de la Comunicación Humana	101	La comunicación Por Baylon, Christian Madrid : Cátedra, 1996.	1996	NO INDICA	NO disponible	0	
Inglés II	102	Essential Grammar in Use..Raymond Murphy 2nd Edition Cambridge		OBLIGATORIA	DISPONIBLE	22	26240-10050-18172
Inglés II	102	"Attitude Students book and Workbook Kate Fuscoe, Barbara Garside, Luke Prodromou ""1st  Mcmillan
 Edition"""		OBLIGATORIA	NO disponible	0	
Inglés II	102	"New Headway Elementary Workbook Liz and Jhon Soars, Sylvia Wheeldon 3rd Edition ""Oxford
 University Press"""		OBLIGATORIA	NO disponible	0	
Inglés II	102	Easy True Stories “ Pictures Based Begginer Reader”. Sandra Heyer Longman. 1994	1994	COMPLEMENTARIA	NO disponible	0	
Inglés II	102	Language Leader Workbook and Student´s book. Ian Lebeau, Gareth Rees Pearson- Longman 2008	2008	COMPLEMENTARIA	NO disponible	0	
Inglés II	102	Anatomy and Physiology for Dummies Maggie Norris, Donna Rae Siegfried 2nd Edition Wiley Publishing. 20011	2001	COMPLEMENTARIA	NO disponible	0	
Psicología Social	102	Baró, I. M. (2003). Poder, Ideología y Violencia. Madrid, España. Ed. Trotta.	2003	NO INDICA	DISPONIBLE	1	24934
Psicología Social	102	Barón, R. & Byrne, D. (2005). Psicología Social. Madrid, España. Ed. Pearson.	2005	NO INDICA	DISPONIBLE	2	21210
Psicología Social	102	Barra, E. (1998). Psicología Social. Concepción, Chile.  Universidad de Concepción.	1998	NO INDICA	NO disponible	0	
Psicología Social	102	Crespo, E. (1995). Introducción a la Psicología Social. Madrid, España. Ed. Universitas.	1995	NO INDICA	DISPONIBLE	1	12842
