ASIGNATURA	SEMESTRE	DETALLE DE BIBLIOGRAFÍA 	TIPO DE BIBLIOGRAFIA
Psicodiagnóstico Integrado	401	Chile, C. d. (1990). CÓDIGO DE ÉTICA PROFESIONAL. Recuperado el 08 de 09 de 2015, de http://colegiopsicologos.cl/web_cpc/quienes-somos/codigo-de-etica-profesional/	NO INDICA
Ética Profesional	401 – semestre 1	Bolívar, A. (2005). El lugar de la ética profesional en la formación universitaria. Revista Mexicana de Investigación Educativa, 10, 93-123	OBLIGATORIA
Teorías Sistémicas	202 – semestre 2	- Jutoran, S. El proceso de las ideas sistémico-cibernéticas. Revistas sistemas familiares, año 10, nro 1. Abril 1994. Pags 9 a 27.	COMPLEMENTARIA
Neuropsicología	102– semestre 2	A. ESTÉVEZ-GONZÁLEZ A, C. G.-S. (1997). LA ATENCIÓN: UNA COMPLEJA FUNCIÓN CEREBRAL . REVISTA DE NEUROLOGIA; 25, 1989-1997.	NO INDICA
Neuropsicología	102– semestre 2	BAYONA, E., BAYONA, P., & FIDIAS, E. (2011). NEUROPLASTICIDAD, NEUROMODULACIÓN Y NEUROREHABILITACIÓN: TRES CONCEPTOS DISTINTOS Y UN SOLO FIN VERDADERO . REVISTA SALUD UNINORTE., 95-107.	NO INDICA
Neuropsicología	102– semestre 2	BERNAL, I. M. (DICIEMBRE 2009.). PSICOLOGÍA Y NEUROCIENCIA: CLAVES DEL PROGRESO . CUADERNOS DE NEUROPSICOLOGIA, VOL. 3 Nº 2.	NO INDICA
Neuropsicología	102– semestre 2	C, S. (2014). REHABILITACIÓN NEUROPSICOLÓGICA EN CHILE: UNA DISCIPLINA LATENTE. REVISTA CHILENA DE NEUROPSICOLOGÍA 9, PAG 1-3.	NO INDICA
Neuropsicología	102– semestre 2	D, R. (2005). PHINEAS GAGE, TAN Y LA IMPORTANCIA DE LOS CASOS CLÍNICOS. REVISTA DE NEUROLOGÍA, 122-124.	NO INDICA
Neuropsicología	102– semestre 2	FLORES.J, O.-S. F. (s.f.). -NEUROPSICOLOGÍA DE LÓBULOS FRONTALES, FUNCIONES EJECUTIVAS Y CONDUCTA HUMANA. REVISTA NEUROPSICOLOGÍA, NEUROPSIQUIATRÍA Y NEUROCIENCIAS, 47-58.	NO INDICA
Psicodiagnóstico Integrado	401	Calleja, J. (12 de septiembre de 2012). Medwave. Revisiones Sistemáticas. Recuperado el 02 de noviembre de 2015, de Evaluación del test de Conners y de inteligencia en el diagnóstico del déficit atencional en población entre 6 y 19 años: Una revisión sistemática: Medwave 2012 Sep;12(8):e5469 doi: 10.5867/medwave.2012.07.5469	NO INDICA
Psicología Comunitaria	201	De la Corte, L. (2000). La Psicología de Ignacio Martín Baró como psicología social crítica. Una presentación de su obra. Revista de Psicología General y Aplicación. 53 (3) 437 - 450. Disponible en: http:// file:///C:/Users/Tani%2077/Downloads/Dialnet-LaPsicologiaDeIgnacioMartinBaroComoPsicologiaSocia-2357055.pdf.	OBLIGATORIA
Psicología del Desarrollo del Adulto y Adulto Mayor	202	Cerquera Córdoba, A. M. (2015). Reflexiones grupales en gerontología: el envejecimiento normal y patológico. . Recuperado el 09 de 09 de 2015, de Revista Virtual Universidad Católica del Norte, 45, 173-180: http://revistavirtual.ucn.edu.co/index.php/	NO INDICA
Psicología del desarrollo infanto-juvenil	201	- Escobar, Hugo M (2003). Historia y naturaleza de la Psicología del desarrollo. Univ. Psychol. Bogotá (Colombia) 2 (1): 71-88, ISSN 1657-9267. (artículo en plataforma)	COMPLEMENTARIA
Psicología General	101	Foucault, M. (1999). Estética, ética y hermenéutica. Bercelona: Paidós. (documento entregado en fotocopiadora)	OBLIGATORIA
Taller de Desarrollo Personal IV	401	Código de Ética profesional (2015). Colegio de Psicólogos Chile A.G. Tomado el 28.10 de 2015 de http://www.colegiopsicologos.cl/	OBLIGATORIA
Taller de Desarrollo Personal IV	401	González, Mauricio, González, Ingrid, & Vicencio, Karol. (2014). Descripción del rol autopercibido del psicólogo y sus implicancias en los procesos de formación de pregrado. Psicoperspectivas, 13(1), 108-120. Recuperado en 28 de octubre de 2015, de http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-69242014000100011&lng=es&tlng=es. 10.5027/psicoperspectivas-Vol13-Issue1-fulltext-296.	COMPLEMENTARIA
Teorías Humanistas	202	Alemany Briz, Carlos (2011). De la psicoterapia experiencial al focusing: la trayectoria de Eugene Gendlin. vol. 69, núm. 135 Miscelánea Comillas. pp. 443-469.	COMPLEMENTARIA
Teorías Humanistas	202	Cajigas Rotundo, Juan Camilo (2007). Estéticas de re(ex)sistencia. Por las sendas de la decolonización de la subjetividad. NÓMADAS NO. 26. ABRIL. UNIVERSIDAD CENTRAL – COLOMBIA. P.128-137.	COMPLEMENTARIA
Neuropsicología	102– semestre 2	JOANETTE.Y, A, A., & K., K. (2008). IMPACTO DE LAS LESIONES DEL HEMISFERIO DERECHO SOBRE LAS HABILIDADES LINGUISTICAS: PERSPECTIVAS TEÓRICA Y CLÍNICA . REVISTA DE NEUROLOGÍA, 481-488.	NO INDICA
Neuropsicología	102– semestre 2	M, G.-O. (2001). MECANISMOS ATENCIONALES Y SINDROMES NEUROPSICOLÓGICOS. REVISTA DE NEUROLOGÍA , 463-467.	NO INDICA
Neuropsicología	102– semestre 2	ROA, L. M. (2012). NEUROPLASTICIDAD Y SUS IMPLICACIONES EN LA REHABILITACION . REVISTA UNIVERSIDAD Y SALUD, VOL. 14(2) , 197 – 204.	NO INDICA
Problemáticas Psicosociales Complejas	301- semestre 7	Montero, M. (2010). Crítica, autocrítica y construcción de teoría en la psicología social latinoamericana. Revista Colombiana de Psicología. Bogotá. Colombia. PP.177-191.	OBLIGATORIA
Psicodiagnóstico Integrado	401	Cormier, H., & Sheilyn, L. (s.f.). Estrategias de entrevista para terapeutas. Desclee De Brouwer.	NO INDICA
Psicología Comunitaria	201	Montero, M. (2010). Crítica, autocrítica y construcción de teoría en la psicología social latinoamericana. Revista Colombiana de Psicología. Bogotá. Colombia. PP.177-191.	OBLIGATORIA
Psicología Social	102	Montero, M. (2010). Crítica, autocrítica y construcción de teoría en la psicología social latinoamericana. Revista Colombiana de Psicología. Bogotá. Colombia. PP.177-191.	NO INDICA
Optativo I Optativo II Optativo III		Zegers, B. (1996). El Rorschach: Una técnica para medir personalidad. Psyke, vol 5, N° 1, 23-38.	NO INDICA
Psicodiagnóstico Integrado	401	Zegers, B. (1996). El Rorschach: Una técnica para medir personalidad. Psyke, vol 5, N° 1, 23-38.	NO INDICA
Técnicas Proyectivas	302	Zegers, B. (1996). El Rorschach: Una técnica para medir personalidad. Psyke, vol 5, N° 1, 23-38.	NO INDICA
Teorías Humanistas	202	Tomeu, Barcelo (2008). La filosofía de lo implícito de eugene gendlin. vol. 66 (2008), núm. 129 miscelánea comillas pp. 413-438.	OBLIGATORIA
Psicología del desarrollo infanto-juvenil	201	- Almonte, C; Monnt, M; Correa ,. (2009). Psicopatología infantil y de la adolescencia. fotocopia	OBLIGATORIA
Psicología Comunitaria	201	Montenegro, M. (2001). Otredad, Legitimación y Definición de Problemas en la Intervención Social: Un Análisis Crítico. En 1º Seminario de Ciencias Humanas y Sociales. Instituto Catalán de Cooperación Iberoamericana y Agencia Española de Cooperación Internacional. Disponible en: http://www.geocities.ws/seminarioicci/programa.htm	OBLIGATORIA
Psicología Comunitaria	201	Sanchez, A. (1991). Psicologia Comunitaria: Origen, Conceptos y Caracteristicas. Papeles del Psicólogo. 50, PP 45-49. Disponibe en: www.papelesdelpsicólogo.es.	OBLIGATORIA
Ética Profesional	401 – semestre 1	Alvear, K., Pasmanik, D., Winkler, M. I. & Olivares, B. (2008). ¿Códigos en la posmodernidad? Opiniones de psicólogos/as acerca del Código de Ética Profesional del Colegio de Psicólogos de Chile A. G. Terapia Psicológica, 26, 215-228.	OBLIGATORIA
Neuropsicología	102– semestre 2	LAPUENTE, F. R., & NAVARRO, J. P. (1998: ). CAMBIOS NEUROPSICOLÓGICOS ASOCIADOS AL ENVEJECIMIENTO NORMAL. ANALES DE PSICOLOGÍA VOL. 14, Nº 1, 27-43.	NO INDICA
Neuropsicología	102– semestre 2	RIVERA.D, E. M. (2007). POSIBILIDADES DE LA REHABILITACION NEUROPSICOLÓGICA EN POBLACIÓN GERIÁTRICA CON DETERIORO COGNOSCITIVO. MEDICINA INTERNA DE MEXICO. VOLUMEN 23, N° 2, 133-137.	NO INDICA
Neuropsicología	102– semestre 2	RUFO-CAMPOS, M. (2006). LA NEUROPSICOLOGÍA: HISTORIA, CONCEPTOS BÁSICOS Y APLICACIONES. MESA REDONDA. NUEVOS RETOS EN LA PRÁCTICA DE LA CLÍNICA NEUROPSICOLÓGICA, 57-58.	NO INDICA
Optativo I		Piccone Anabela, P. A. (s.f.). Algunas observaciones para evaluar las funciones yoicas de realidad con aplicación de una técnica gráfica. Anuario de Investigaciones, 185-194.	NO INDICA
Optativo I		Piccone, A. (2005). Potencial suicida en el test persona bajo la lluvia. Anuario de psicologia Vol XII, 289-296.	NO INDICA
