TIPO DE BIBLIOGRAFIA	- multiple -		
			
Cuenta de Disponibilidad	Disponibilidad		
ASIGNATURA	DISPONIBLE	NO disponible	Total Result
Análisis Cuantitativo	3	1	4
Análisis Cuantitativo 2	3	2	5
Bases Biológicas de la Conducta Humana	2		2
Construcción de Pruebas e Instrumentos de Evaluación	4		4
Construcción y Evaluación de Proyectos.	4	2	6
Desarrollo Personal y Profesional II	11		11
Epistemología de las Ciencias Sociales	4	1	5
Ética Profesional	1	2	3
Evaluación Psicométrica	2	10	12
Fundamentos de la intervención psicoterapéutica		1	1
Gestión de Personas y Desarrollo Organizacional	4	2	6
Inglés II	1	5	6
Investigación en Ciencias Sociales	5	3	8
Metodologías de Investigación en Psicología	5	3	8
Neuropsicología	2	6	8
Optativo I		13	13
Problemáticas Psicosociales Complejas	6	3	9
Procesos Psicológicos y Afectivos.	7	4	11
Promoción en Salud	3	1	4
Proyecto de seminario de grado	5	4	9
Psicodiagnóstico Integrado	5	34	39
Psicología Aplicada	5		5
Psicología Comunitaria	1	4	5
Psicología de la Personalidad		4	4
Psicología del Desarrollo del Adulto y Adulto Mayor	5	3	8
Psicología del desarrollo infanto-juvenil	7	1	8
Psicología Educacional y Problemáticas de Contingencia Actual	3	1	4
Psicología en el contexto Escolar	4	2	6
Psicología General	6	1	7
Psicología Organizacional y del Trabajo	4	2	6
Psicología Social	9	2	11
Psicología y Cine	2		2
Psicopatología del Adulto y del Adulto Mayor	4	10	14
Psicopatología Infanto-juvenil	4	15	19
Seminario de grado y defensa	7	2	9
Socio-Antropología	5	1	6
Taller de Desarrollo Personal I	7	2	9
Taller de Integración I	2	2	4
Taller de Integración II	3	2	5
Taller de Integración III		3	3
Taller de Integración IV	3	4	7
Técnicas Proyectivas	1	12	13
Teoria Psicoanalítica	5	1	6
Teorías Cognitivas	5	2	7
Teorías de la Comunicación Humana	6	2	8
Teorías del Aprendizaje y la Conducta	1	1	2
Teorías Humanistas	5	11	16
TEORIAS SISTEMICAS	3	1	4
Teorías Sistémicas	2	2	4
Total Result	186	190	376
