RESUMEN DE BIBLIOGRAFÍA CONSINADA (LIBROS)			
			
			
Tipo de Bibliografía	Titulos consignados	Titulos Disponibles en Btca.	% de cobertura
COMPLEMENTARIA	39	33	84.6153846153846
NO INDICA	17	9	52.9411764705882
OBLIGATORIA	77	50	64.9350649350649
Total general	133	92	69.1729323308271
			
			
TITULOS NO DISPONIBLES EN  BIBLIOTECA UDA 			
			
ASIGNATURA	DETALLE DE BIBLIOGRAFÍA 	TIPO DE BIBLIOGRAFIA	CANTIDAD DE COPIAS
Gestión de Contabilidad I	Boletines Técnicos Colegio de Contadores de Chile, (2018) Santiago, Chile 	COMPLEMENTARIA	0
Legislación Empresarial I 	Equipo Editorial Thompson, (2018), Manual de Consultas Tributarias 493-decla 2018	OBLIGATORIA	0
Legislación Empresarial I 	• Editorial Thompson (2018), Manual de Consultas Tributarias 493-Declaraciones Juradas 2019	OBLIGATORIA	0
Legislación Empresarial I 	• Javier López - Luis Ortiz, (2018), Compendio Leyes Tributarias año 2019	OBLIGATORIA	0
Legislación Empresarial I 	• José Fajardo Castro, (2018), Tri-Ley 2018 (cód. Tributario-lVA)	OBLIGATORIA	0
Legislación Empresarial I 	• Aníbal lrarrázabal, (2018), Contribución, Fundamentos y Uso	OBLIGATORIA	0
Legislación Empresarial I 	• Fernando Torres Cárdenas, (2018), Manual de Consultas IFRS Bienes de Uso NICS	OBLIGATORIA	0
Legislación Empresarial I 	Boletines Técnicos Colegio de Contadores de Chile, (2018) Santiago, Chile 	COMPLEMENTARIA	0
Taller 1: Desarrollo de Habilidades en la Empresa 	• Steven, C.P., Altimira, R. (2003); Claves de Negociación ... con el corazón y la mente. McGRAW-HILL/INTERAMERICANA DE ESPAÑA, S. A. U.	OBLIGATORIA	0
Inglés I 	UDA English Center. (2018). Material propio elaborado por académicos. 	OBLIGATORIA	0
Gestión de Contabilidad II 	• José Fajardo Castro, (2018), Tri-Ley 2018 (cód. Tributario-lVA) 2018	OBLIGATORIA	0
Gestión de Contabilidad II 	• José Fajardo Castro, (2018), Impuesto a la Renta 2019 2018	OBLIGATORIA	0
Gestión de Contabilidad II 	• Aníbal lrarrázaval, (2018), Contribución, Fundamentos y Uso	OBLIGATORIA	0
Gestión de Contabilidad II 	• Fernando Torres Cárdenas, (2018), Manual de Consultas IFRS Bienes de Uso	OBLIGATORIA	0
Gestión de Contabilidad II 	Boletines Técnicos Colegio de Contadores de Chile, (2018) Santiago, Chile 	COMPLEMENTARIA	0
Legislación Empresarial II	Equipo Editorial Thompson, (2018), Manual de Consultas Tributarias 493-decla 2018	OBLIGATORIA	0
Legislación Empresarial II	• Editorial Thompson (2018), Manual de Consultas Tributarias 493-Declaraciones Juradas 2019	OBLIGATORIA	0
Legislación Empresarial II	• Javier López - Luis Ortiz, (2018), Compendio Leyes Tributarias año 2019	OBLIGATORIA	0
Legislación Empresarial II	• José Fajardo Castro, (2018), Tri-Ley 2018 (cód. Tributario-lVA)	OBLIGATORIA	0
Legislación Empresarial II	• Anibal lrarrázaval, (2018), Contribución, Fundamentos y Uso	OBLIGATORIA	0
Legislación Empresarial II	• Fernando Torres Cárdenas, (2018), Manual de Consultas IFRS Bienes de Uso NICS	OBLIGATORIA	0
Legislación Empresarial II	Boletines Técnicos Colegio de Contadores de Chile, (2018) Santiago, Chile 	COMPLEMENTARIA	0
Inglés II 	DA English Center. (2018). Material propio elaborado por académicos.	OBLIGATORIA	0
Control De Gestión 	Equipo Editorial Thompson, (2018), Manual de Consultas Tributarias 493-decla 2018	OBLIGATORIA	0
Control De Gestión 	• Editorial Thompson (2018), Manual de Consultas Tributarias 493-Declaraciones Juradas 2019	OBLIGATORIA	0
Control De Gestión 	• Javier López - Luis Ortiz, (2018), Compendio Leyes Tributarias año 2019 2018	OBLIGATORIA	0
Control De Gestión 	• José Fajardo Castro, (2018), Tri-Ley 2018 (cód. Tributario-lVA) 2018	OBLIGATORIA	0
Control De Gestión 	• José Fajardo Castro, (2018), Impuesto a la Renta 2019 2018	OBLIGATORIA	0
Control De Gestión 	• Aníbal lrarrázaval, (2018), Contribución, Fundamentos y Uso	OBLIGATORIA	0
Control De Gestión 	• Fernando Torres Cárdenas, (2018), Manual de Consultas IFRS Bienes de Uso NICS	OBLIGATORIA	0
Control De Gestión 	• Boletines Técnicos Colegio de Contadores de Chile, (2018) Santiago, Chile	COMPLEMENTARIA	0
Control De Gestión 	• Colegio de contadores de Chile A.G; (1997); Normas de Auditoría Generalmente Aceptadas; Colegio de contadores de Chile A.G	COMPLEMENTARIA	0
Tics en la Gestión de la Contabilidad 			0
Taller III Tributario y Contable	Equipo Editorial Thompson, (2018), Manual de Consultas Tributarias 493-decla 2018	NO INDICA	0
Taller III Tributario y Contable	• Editorial Thompson (2018), Manual de Consultas Tributarias 493-Declaraciones Juradas 2019	NO INDICA	0
Taller III Tributario y Contable	• Javier López - Luis Ortiz, (2018), Compendio Leyes Tributarias año 2019 2018	NO INDICA	0
Taller III Tributario y Contable	• José Fajardo Castro, (2018), Tri-Ley 2018 (cód. Tributario-lVA) 2018	NO INDICA	0
Taller III Tributario y Contable	• José Fajardo Castro, (2018), Impuesto a la Renta 2019 2018	NO INDICA	0
Taller III Tributario y Contable	• Aníbal lrarrázaval, (2018), Contribución, Fundamentos y Uso	NO INDICA	0
Taller III Tributario y Contable	• Fernando Torres Cárdenas, (2018), Manual de Consultas IFRS Bienes de Uso NICS	NO INDICA	0
Taller III Tributario y Contable	• Boletines Técnicos Colegio de Contadores de Chile, (2018) Santiago, Chile	NO INDICA	0
