RESUMEN DE BIBLIOGRAFÍA CONSINADA (LIBROS)			
			
			
Tipo de Bibliografía	Titulos consignados	Titulos disponibles en Btca.	% de cobertura
OBLIGATORIA	48	41	85.4166666666667
COMPLEMENTARIA	22	21	95.4545454545455
NO INDICA	13	12	92.3076923076923
Total General 	70	62	90.43560606
			
			
TITULOS NO DISPONIBLES EN  BIBLIOTECA UDA			
			
			
ASIGNATURA	DETALLE DE BIBLIOGRAFÍA 	TIPO DE BIBLIOGRAFIA	CANTIDAD DE COPIAS
Inglés I 	UDA English Center. (2018). Material propio elaborado por académicos.	OBLIGATORIA	0
Proyecto de Titulación 	Tugendhat, E., Vicuña, A.M., & López, C. (2001). El libro de Manuel y Camita: Diálogos sobre ética. Barcelona: Gedisa Editorial.	OBLIGATORIA	0
PLC 	equipos e instalaciones electrotécnicas. Madrid: Paraninfo Cengage Learning.	NO INDICA 	0
Inglés II 	DA English Center. (2018). Material propio elaborado por académicos.	OBLIGATORIA	0
Practica Laboral 	Barbera, E. (2008). El estilo e-portafolio. Barcelona: UOC.	OBLIGATORIA	0
Practica Laboral 	Barbera, E. (2008). El estilo e-portafolio. Barcelona: UOC.	OBLIGATORIA	0
Inglés I 	Tugendhat, E., Vicuña, A.M., & López, C. (2001). El libro de Manuel y Camita: Diálogos sobre ética. Barcelona: Gedisa Editorial.	COMPLEMENTARIA	0
Seguridad Eléctrica y Medio Ambiente 	• Norma NSeg.5	OBLIGATORIA	0
Seguridad Eléctrica y Medio Ambiente 	• Ministerio de Economía, Fomento y Reconstrucción, Instalaciones eléctricas de consumo en baja tensión, NCh chile 4/2003	OBLIGATORIA	0
Taller I Instrumentos de Medida 	• Ministerio de Economía, Fomento y Reconstrucción, Instalaciones eléctricas de consumo en baja tensión, NCh chile 4/2003	OBLIGATORIA	0
Máquinas Eléctricas	"• Kingsley, Kusko, Fitzgerald. ""Teoría y análisis de las máquinas eléctricas"", McGraw-Hill, 1990 McGraw-Hill, 1990"	OBLIGATORIA	0
