RESUMEN DE BIBLIOGRAFÍA CONSINADA (LIBROS) Técnico universitario en Mantención Mecánica de Equipos Industriales					
					
					
Tipo de Bibliografía	Titulos consignados	Titulos disponibles en Btca. Central	Titulos disponibles en Vallenar	% de cobertura Btca Central	% de cobertura Vallenar
Complementaria	20	17	1	85	5.88235294117647
No indica	48	14	3	29.1666666666667	21.4285714285714
Obligatoria	45	25	2	55.5555555555556	8
Total General 	68	31	6	57.0833333333333	13.655462184874
					
					
TITULOS NO DISPONIBLES EN  BIBLIOTECA UDA					
					
ASIGNATURA	SEMESTRE	DETALLE DE BIBLIOGRAFÍA 	TIPO DE BIBLIOGRAFIA		
Comprensión Oral y Escrita	110	Fournier, M. C. (2004). Comunicación verbal. México: Thomson.	Obligatoria		
Comprensión Oral y Escrita	110	Reyzábal, M. V., & Casanova, M. A. (2001). La comunicación oral y su didáctica. Madrid: La Muralla.	Obligatoria		
Comprensión Oral y Escrita	110	"Vallés, A. A. (1996). Comprensión lectora 1: Programa de técnicas cognitivas y
metacognitivas para comprender textos escritos : Educación Primaria, 1er y 2o.
ciclos. Madrid: Escuela Española."	Obligatoria		
Comprensión Oral y Escrita	110	"Verderber, R. F. (1999). Comunicación oral efectiva. México: International
Thomson."	Obligatoria		
Matemática Aplicada	110	"Britton, J. R., & Bello, I. (January 01, 1986). Álgebra y trigonometría
contemporáneas."	Obligatoria		
Matemática Aplicada	110	"Swokowski, E. W., & Trigueros, M. (1989). Álgebra y trigonometría con geometría
analítica. México: Grupo Edit. Iberoamérica."	Obligatoria		
Matemática Aplicada	110	"Miller, C. D., Heeren, V. E., & Hornsby, E. J. (2006). Matemáticas: Razonamiento
y aplicaciones. México: Pearson."	Complementaria		
Gestión de la Informática	110	Jelen, B. (2010). Excel Macros y VBA. Madrid: Anaya Multimedia.	Obligatoria		
Gestión de la Informática	110	Menchén, P. A. (2009). Tablas dinámicas en Excel 2007. México: Alfaomega.	Obligatoria		
Gestión de la Informática	110	"Hawley, D., & Hawley, R. (2004). Excel: Los mejores trucos. Madrid: Anaya
Multimedia."	Obligatoria		
Gestión de la Informática	110	"Virginia Caccuri (2009). 101 secretos de Excel: la mejor guía de trucos y
consejos. Argentina: Grami."	Obligatoria		
Gestión de la Informática	110	Frye, C., & Scott, P. P. (2007). Microsoft Office Excel 2003 paso a paso. Madrid.	Obligatoria		
Gestión de la Informática	110	"Online Training Solutions, Inc. (2004). Microsoft Office Word 2003 paso a paso.
Madrid: McGraw-Hill, Interamericana de España."	Obligatoria		
Gestión de la Informática	110	Luque, C. M. J. (2001). Microsoft PowerPoint 2002: Office XP. Madrid: Anaya Multimedia.	Complementaria		
Tecnología Mecánica y Elementos de Máquina	110	"Robert L. Mott; trad. Arturo Córdova Just. (1995). Diseño de elementos de
máquinas. México: Prentice Hall Hispanoamericana."	No indica		
Tecnología Mecánica y Elementos de Máquina	110	"Ferrer Giménez Carlos, Amigó Borras, Vicente. (2005). Tecnología de materiales.
Valencia: Universidad Politécnica de Valencia."	No indica		
Tecnología Mecánica y Elementos de Máquina	110	"R. L. Timings; trad. Naves Ruiz, Juan. (2001). Tecnología de la fabricación.
México: Alfaomega."	No indica		
