RESUMEN DE BIBLIOGRAFÍA CONSINADA (LIBROS)				
				
				
Tipo de Bibliografía	Titulos consignados	Titulos disponibles en Btca.	% de cobertura	
OBLIGATORIA	37	36	97.2972972972973	
COMPLEMENTARIA	30	30	100	
NO INDICA	9	9	100	
Total General 	67	66	98.64864865	
				
				
TITULOS NO DISPONIBLES EN  BIBLIOTECA UDA				
				
ASIGNATURA	SEMESTRE	DETALLE DE BIBLIOGRAFÍA 	TIPO DE BIBLIOGRAFIA	CANTIDAD DE COPIAS
Proyecto de Titulación 	CUARTO	Tugendhat, E., Vicuña, A.M., & Lopez, C. (2001). El libro de Manuel y Camilo: Diálogos sobre ética. Barcelona: Gedisa Editorial.	OBLIGATORIA	0
