BIBLIOGRAFIA TRABAJO SOCIAL				
ASIGNATURA	DETALLE DE BIBLIOGRAFÍA 	TIPO DE BIBLIOGRAFIA	CANTIDAD DE COPIAS DISPONIBLES EN BIBLIOTECA 	NRO DE BIB# 
Fundamentos del Trabajo Social	Castañeda, P. y Salamé, A. (2010). “Perspectiva histórica de la formación en Trabajo Social en Chile”. En: Revista electrónica de Trabajo Social, Volumen 8, 2010. Concepción: Universidad de Concepción. [En línea]: http://www.trabajosocialudec.cl/rets/wp-content/uploads/2010/12/historiaformacion.pdf	COMPLEMENTARIA	R/D	
Fundamentos del Trabajo Social	Matus, T. (2002). Escenarios y desafíos del Trabajo Social en América Latina Boletín electrónico Surá 69, Abril 2002. En: www.ts.ucr.ac.cr	COMPLEMENTARIA	R/D	
Fundamentos del Trabajo Social	Montaño, C. (2000). Naturaleza del Servicio Social. Un ensayo sobre su génesis, su especificidad y su reproducción. En: http://www.fts.uner.edu.ar/academica/ccc/archivos/catedras/2010/Trabajo_Social_Con/Montano_l.pdf	COMPLEMENTARIA	R/D	
Problemas Sociales Contemporáneos	Fundación para la Superación de la Pobreza (2010) Voces de la Pobreza, Significados, representaciones y sentir de las personas en situación de pobreza a lo largo de Chile. Disponible en: www.superacionpobreza.cl	COMPLEMENTARIA	R/D	
Desarrollo Local y Territorial	Alburquerque, F. (1999). Manual del Agente del Desarrollo Local Santiago de Chile: Ediciones SUR, recuperado de http://www.sitiosur.cl/r.php?id=36.	OBLIGATORIA	r/d	
Desarrollo Local y Territorial	Gallicchio, E.; Winchester, L. (editores) (2003). Territorio local y desarrollo. Experiencias de Chile y Uruguay Santiago de Chile: Ediciones SUR, recuperado de http://www.sitiosur.cl/r.php?id=252.	COMPLEMENTARIA	R/D	
Políticas Públicas y Sociales	Satriano C. Pobreza, Políticas Públicas y Políticas Sociales disponible en http://www.facso.uchile.cl/publicaciones/mad/15/satriano.pdf	OBLIGATORIA	R/D	
Políticas Públicas y Sociales	Dávila O. Políticas sociales, jóvenes y Estado: o el síndrome del padre ausente. Revista Última Década, CIPDPA. Disponible en: http://www.cidpa.cl	COMPLEMENTARIA	R/D	
Historia Social y Política de Chile	Espinoza, V. (1986). Para una historia de los pobres de la ciudad. Ediciones SUR, Santiago de Chile. Disponible en www.surprofesionales.cl	COMPLEMENTARIA	0	
Trabajo Social y Epistemología de las ciencias sociales	ADORNO, T EPISTEMOLOGIA y ciencias sociales	COMPLEMENTARIA	0	
Economía aplicada al Trabajo Social	Chaves,r. et al. (2007). Elementos de Economía Social. Teoría y realidad. Universidad de Valencia, Valencia. (www.uv.es/uidescoop/archivo)	COMPLEMENTARIA	0	
Economía aplicada al Trabajo Social	Perez de Uralde, TX. (2001). La economía social en Iberoamérica, Análisis nacionales, Fundación Iberoamericana de la economía social, Valencia, Vol. 1 y 2. (Descagable en www.ciriec.es)	COMPLEMENTARIA	0	
Políticas Públicas y Sociales	Vilas Carlos, Política Social, Trabajo Social y la cuestión del Estado, Revista de Acción Crítica, # 6. Diciembre 1979. Lima – Perú Publicación del Centro Latinoamericano de Trabajo Social y de la Asociación Latinoamericana de Escuelas de Trabajo Social disponible en http://www.ts.ucr.ac.cr/binarios/accioncritica/ac-cr-006-02.pdf	COMPLEMENTARIA	0	
Trabajo Social con Grupos	AASWG (2 Ed.) (2006) Estándares para la práctica del trabajo social con grupos. Alexandria: AASWG. http://www.aaswg.org/Standards/Standards_Spanish.pdf	COMPLEMENTARIA	0	
Formulación, Gestión y Evaluación de Proyectos	Clark, Hellen(2009). Manual de Planificación, Seguimiento y Evaluación de los Resultados de Desarrollo PNUD. Recuperado de http://www.undp.org/eo/handbook	COMPLEMENTARIA	0	
Formulación, Gestión y Evaluación de Proyectos	Sánchez, Fernando (2003). Planificación Estratégica y Gestión pública por Objetivos. Recuperado de http://www.eclac.cl/publicaciones/xml/7/12097/sgp32.pdf	COMPLEMENTARIA	0	
Sistematización	Jara Holliday, Oscar. 2006. La sistematización de experiencias y las corrientes innovadoras del pensamiento latinoamericano – Una aproximación histórica. Revista La Piragua, No. 23. [Disponible en: http://www.cepalforja.org].	COMPLEMENTARIA	0	
Sistematización	Quiroz, T. y Morgan M.L (1986) La sistematización, un intento conceptual y una propuesta de operacionalizacion, Lima, CELATS disponible en: http://www.postgrado.unesr.edu.ve/acontece/es/todosnumeros/num15/01_10/t_quiroz1.pdf	COMPLEMENTARIA	0	
Sistematización	Social, Santiago de Chile. (Disponible en www.ts.ucr.ac.cr/binarios/congresos/reg/slets/slets-017-109.pd	COMPLEMENTARIA	0	
Derechos Humanos y Trabajo Social	Naciones Unidas (1948) Declaración universal de los derechos humanos. En: http://www.un.org/es/documents/udhr/ index_print.shtml	OBLIGATORIA	0	
Interculturalidad, Diversidad y Trabajo Social	De Sousa Santos, B. (1997) Hacia una concepción multicultural de los derechos humanos. Análisis Político, 31: 3-16. En: http://webiigg.sociales.uba.ar/grassi/textos/Sousa_DDHH.pdf	OBLIGATORIA	0	
