RESUMEN DE BIBLIOGRAFÍA CONSINADA (LIBROS)				
				
Tipo de Bibliografía	Titulos consignados	Titulos Disponibles en Btca.	% de cobertura	
Obligatoria	117	73	62.3931623931624	
Complementaria	160	77	48.125	
Total general	525	360	68.5714285714286	
				
				
TITULOS NO DISPONIBLES EN  BIBLIOTECA UDA 				
				
ASIGNATURA	DETALLE DE BIBLIOGRAFÍA 	TIPO DE BIBLIOGRAFIA	CANTIDAD DE COPIAS DISPONIBLES EN BIBLIOTECA 	
Pobreza y Exclusión Social	(1999) “La crisis de los viejos modelos de protección social en América Latina. Nuevas alternativas para enfrentar la pobreza”. En: Pobreza y desigualdad en América Latina. Editorial Paidós. Buenos Aires.	COMPLEMENTARIA	0	
Historia Social y Política de Chile	(2006) Ser niño huacho en la historia de Chile. Santiago de Chile: Editorial LOM.	OBLIGATORIA	0	
Trabajo Social con Comunidades	__ (2010) Planificación Social y organización de la comunidad (7ª edición). Madrid: Editorial Popular.	COMPLEMENTARIA	0	
Ética Profesional	Aguayo, C.; López, T.; Quiroz, T. (2007). Ética y Trabajo Social en las Voces de sus Actores: Un estudio desde la práctica profesional. Santiago de Chile: Colegio de Asistentes Sociales de Chile.	COMPLEMENTARIA	0	
Análisis e Intervención Socio Ambiental	Aliste, E. (2008) “Aspectos sociales y culturales del desarrollo local: desafíos en la planificación y gestión ambientalmente sus estables del territorio”. En: Fuertes, a y Gatica, L. De la economía global al desarrollo local. El alcance de la intervención de los agentes de empleo y desarrollo local. Ediciones de la Universitat de Valencia. 278 P.	OBLIGATORIA	0	
Pobreza y Exclusión Social	Álvarez, M. (2001) El desafío de la pobreza. Editorial Espacio. Buenos Aires.	OBLIGATORIA	0	
Género y Masculinidades	Amuchástegui, Ana (1996). El significado de la sexualidad y la iniciación sexual. En: Para Comprender la Subjetividad. Investigación cualitativa en salud reproductiva y sexualidad, Ivonne Szasz y Susana Lerner (comps). El Colegio de México, México.	COMPLEMENTARIA	0	
Análisis e Intervención Socio Ambiental	Arnold, Marcelo (2007) “Las organizaciones como sistemas sociopoiéticos”. IX Congreso Español de Sociología. Poder, Cultura y civilización.	COMPLEMENTARIA	0	
Desarrollo Local y Territorial	Arocena, J. (2002) “El desarrollo local: un desafío contemporáneo. 2ª. Edición, Montevideo, Taurus-Universidad Católica del Uruguay”.	OBLIGATORIA	0	
Trabajo Social con Familias I	Barreix, J; Castillejos S, (2003) “La metodología como proceso”. Espacio Editorial, Bs As. Argentina.	OBLIGATORIA	0	
Práctica Micro II	Barreix, J; Castillejos S, (2003) “La metodología como proceso”. Espacio Editorial, Bs As. Argentina.	OBLIGATORIA	0	
Teorías Sociológicas Contemporáneas	Bauman, Z (2002) Modernidad Líquida, Madrid, Fondo de Cultura Económica de España.	COMPLEMENTARIA	0	
Desarrollo Organizacional	Bennis, W(1985). Desarrollo Organizacional, Su Naturaleza, sus Orígenes y Perspectivas. Fondo Educativo Interamericano	COMPLEMENTARIA	0	
Ética Profesional	Bermejo, Francisco (1996): Ética y Trabajo Social. La Ética en el Trabajo Social. UPCO. Madrid. (Pgs.15 a 45 ).	COMPLEMENTARIA	0	
Métodos Cuantitativos de Investigación en Trabajo Social	Blalock, H. (1991) Estadística Social. México: Fondo de Cultura Económica.	COMPLEMENTARIA	0	
Aproximación crítica a la Realidad Social Local III (actores y sujetos sociales)	Bolos, S. (1995), Actores sociales y demandas urbanas. Mexica. Plaza y Valdés editores.	OBLIGATORIA	0	
