PLANILLA DE BIBLIOGRAFÍA OBLIGATORIA Y COMPLEMENTARIA DE LOS PROGRAMAS DE ASIGNATURA 2022							
							
CARRERA:  Traductología y traductor e intérprete Inglés-Español 							
							
							
ASIGNATURA	SEMESTRE	DETALLE DE BIBLIOGRAFÍA 	TIPO DE BIBLIOGRAFIA	CANTIDAD DE ESTUDIANTES POR ASIGNATURA	CANTIDAD EN BTCA.	BIB BTCA.	Prestamos 0
Dicción y Oratoria I Dicción y Oratoria	Primer semestre	Verderber, R. (2012). Comunicación oral y efectiva. México: International Thomson.	OBLIGATORIA	40	0		
Dicción y Oratoria I Dicción y Oratoria	Primer semestre	Loprete, C. (1984). El lenguaje oral. Fundamentos, formas y técnicas. Buenos Aires, Argentina: Plus Ultra.	COMPLEMENTARIA	40	0		0
TIC	Primer semestre	"Tic, Trabajo Colaborativo E Interacción En Terminología Y Traducción (Incluye Cd (Interlingua (comares)) Tapa blanda – 10 noviembre 2014
de Chelo Vargas Sierra (Autor)"	OBLIGATORIA	40	0		0
TIC	Primer semestre	"Herramientas Tecnológicas Para Traductores
Antoni Oliver González · Editorial Uoc, S.L."	OBLIGATORIA	40	2	27483	
Competencia Comunicativa I	Primer semestre	Hughes, J; Stephenson, H; Dummet, P. (2014). Life: Elementary. United Kingdom: Cheriton House Publishing	OBLIGATORIA	40	5	27211	
Competencia Comunicativa I	Primer semestre	Clarke, S. (2008) Macmillan English Grammar in Context. Oxford. Macmillan.	COMPLEMENTARIA	40	5	28403	
Competencia Comunicativa I	Primer semestre	Murphy, R. (2015) Grammar in Use, fourth edition. New York. Cambridge University Press.	COMPLEMENTARIA	40	22	18172-10050	
Competencia Comunicativa I	Primer semestre	Tilbury, A., et. al. (2013). English Unlimited : A2 Elementary Coursebook. Cambridge : Cambridge University Press.	COMPLEMENTARIA	40	8	26346	
Introducción a la Traducción I	Primer semestre	Sobre la traducción: Ideas tradicionales y teorías contemporáneas (Oberta)	COMPLEMENTARIA	40	0		0
Introducción a la Traducción I	Primer semestre	La Traducción. Estrategias Profesionales Isabel Pasua Febles · Universidad De Las Palmas	OBLIGATORIA	40	0		0
Introducción a la Traducción I	Primer semestre	Taller de Traducción: Guía Práctica Para la Traducción de Libro del Inglés al Español Fern&Aacute;Ndez Esta&Ntilde;&Aacute;N, Maite · Alba Editorial	COMPLEMENTARIA	40	0		0
Introducción a la Traducción I	Primer semestre	manual de interpretación y traducción mario león rodríguez román · ediciones luna, s.l.	OBLIGATORIA	40	0		0
Sistema de la Lengua Inglesa I	Primer semestre	Hughes, J; Stephenson, H; Dummet, P. (2014). Life: Elementary. United Kingdom: Cheriton House Publishing. Murphy, R. (2015) Grammar in Use, fourth edition. New York. Cambridge University Press.	OBLIGATORIA	40	5	27211	
Sistema de la Lengua Inglesa I	Primer semestre	Schrampfer, B. & Hagen, S. (2006). Basic English Grammar, Third Edition. New York. Pearson Education.	COMPLEMENTARIA	40	0		0
Sistema de la Lengua Inglesa I	Primer semestre	Jones, D. (2011). Cambridge English Pronouncing Dictionary, 18th Ed. Cambridge: Cambridge University Press (Reference).	COMPLEMENTARIA	40	5	4268	
Dicción y Oratoria II	Segundo semestre 	Pöchhacker Franz (2016). Introducing interpreting studies. Routledge.	COMPLEMENTARIA	40	0		0
Gramática, Lengua y Comunicación en Español II	Segundo semestre 	Álvarez, G. y Díaz, N. (1996). Conceptos lingüísticos para el profesor de idiomas. Concepción. Chile: Universidad de Concepción.	OBLIGATORIA		0		0
Gramática, Lengua y Comunicación en Español II	Segundo semestre 	Álvarez, G; Díaz, N. (1996). Conceptos lingüísticos para el profesor de idiomas. Concepción, Chile: Universidad de Concepción.	OBLIGATORIA		0		0
Gramática, Lengua y Comunicación en Español II	Segundo semestre 	Aznar, J. (2000). Etimologías grecolatinas. Orígenes del Español. México: Pearson Educación.	OBLIGATORIA		3	22713	0
Gramática, Lengua y Comunicación en Español II	Segundo semestre 	Bühler, K. (1979). Teoría del lenguaje. Madrid, España: Alianza Universidad.	OBLIGATORIA		0		0
Gramática, Lengua y Comunicación en Español II	Segundo semestre 	Cárdenas, V. (2010). La relación entre semántica y sintaxis desde la perspectiva de lenguaje escrito, Tópicos del Seminario Nº 23: Scielo.	OBLIGATORIA		0		0
Gramática, Lengua y Comunicación en Español II	Segundo semestre 	Coseriu, E. (1992). Competencia lingüística. Elementos de la teoría del hablar. Madrid. España: Gredos.	OBLIGATORIA		0		0
Gramática, Lengua y Comunicación en Español II	Segundo semestre 	Cuervo, R. (1988). Diccionario de construcción y régimen de la lengua diccionario de construcción y régimen de la lengua castellana. Barcelona, España: Herder.	OBLIGATORIA		8	12093	0
Gramática, Lengua y Comunicación en Español II	Segundo semestre 	De Saussure, F. (1987). Curso de lingüística general. Madrid, España: Alianza.	OBLIGATORIA		2	4134	
Gramática, Lengua y Comunicación en Español II	Segundo semestre 	Fuentes, J. (2001). Gramática moderna de la lengua española. Sao Paulo, Brazil: M. Fernández y Cía. S.A.	OBLIGATORIA		1	4382	
Gramática, Lengua y Comunicación en Español II	Segundo semestre 	Fuentes, J. L. (1988). Gramática moderna de la lengua española. Sao Paulo, Brasil: M. Fernández y Cía., S.A.	OBLIGATORIA		1	4382	
Gramática, Lengua y Comunicación en Español II	Segundo semestre 	Jakobson, R. (1985). Ensayos de lingüística general. Barcelona, España: Planeta Agostini.	OBLIGATORIA		1	4082	
Gramática, Lengua y Comunicación en Español II	Segundo semestre 	Knapp, M. (2007). La comunicación no verbal: el cuerpo y el entorno. Buenos Aires, Argentina.	OBLIGATORIA		2	1186	
Gramática, Lengua y Comunicación en Español II	Segundo semestre 	Lázaro, F. (2008). Diccionario de términos filológicos. Madrid, España: Aurea Hispánicos.	OBLIGATORIA		1	4431	0
Gramática, Lengua y Comunicación en Español II	Segundo semestre 	Real Academia Esp., (2004). Gramática de la lengua española. Madrid, España: Calpe.	OBLIGATORIA		7	4267	
