ASIGNATURA	SEMESTRE	DETALLE DE BIBLIOGRAFÍA 	TIPO DE BIBLIOGRAFIA	CANTIDAD DE ESTUDIANTES POR ASIGNATURA	CANTIDAD EN BTCA.	BIB BTCA.	
Gramática, Lengua y Comunicación en Español II	Segundo semestre 	Pilleux, M. (2016). “Competencia comunicativa y análisis del discurso”, en Estudios Filológicos, N° 36. Valdivia, Chile: Facultad de Humanidades, Universidad Austral de Chile.	OBLIGATORIA		R/D		
Gramática, Lengua y Comunicación en Español II	Segundo semestre 	Universidad Austral de Chile (2016). Documentos lingüísticos y literarios. Facultad de Humanidades, Recuperado de: http://humanidades.uach.cl/documentos_linguisticos/	OBLIGATORIA		R/D		
Gramática, Lengua y Comunicación en Español II	Segundo semestre 	Wagner, c. (2002). La lengua de la enseñanza y la enseñanza de la lengua. Chile: Universidad Austral de Chile.	OBLIGATORIA		R/D		
Gramática, Lengua y Comunicación en Español II	Segundo semestre 	Candón Marín, J. (2010). Reglas de ortografía. Sevilla, España: Morón de la Frontera. Recuperado de: http://reglasdeortografia.com/signosindice.html	COMPLEMENTARIA		R/D		
Gramática, Lengua y Comunicación en Español II	Segundo semestre 	Cárdenas, V. (2010). La relación entre semántica y sintaxis desde la perspectiva de la producción de lenguaje escrito. Tópicos del seminario, (23), 241-289. Recuperado de http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1665-12002010000100008&lng=es&tlng=es.	COMPLEMENTARIA		R/D		
Gramática, Lengua y Comunicación en Español II	Segundo semestre 	"Claudio W. (1993). La enseñanza del español en la educación chilena. Documentos Lingüísticos y Literarios 19: 47-50.
http://www.reglasdeortografia.com/signosindice.html
"	COMPLEMENTARIA		R/D		
Gramática, Lengua y Comunicación en Español II	Segundo semestre 	Cepeda, G. (1999). “Análisis crítico del discurso en una entrevista semiformal” en Estudios filológicos, Nº 34. Valdivia, Chile: Universidad Austral de Chile.	COMPLEMENTARIA		R/D		
Gramática, Lengua y Comunicación en Español II	Segundo semestre 	Cano, R. (n.d.). Sintaxis oracional y construcción del texto en la prosa española en el Siglo de Oro. Retrieved from http://institucional.us.es/revistas/philologia/6/art_3.pdf	COMPLEMENTARIA		R/D		
Gramática, Lengua y Comunicación en Español II	Segundo semestre 	Universidad de Atacama (2016). Web CT Universidad de Atacama. Retrieved December 07, 2016, from http://web.uda.cl/webct/public/home.pl	COMPLEMENTARIA		R/D		
Gramática, Lengua y Comunicación en Español II	Segundo semestre 	Recursos lenguaje. (2010). Elementos básicos de la argumentación. Recuperado de: http://libartlen.blogspot.cl/2010/08/elementos-basicos-de-la-argumentacion.html	COMPLEMENTARIA		R/D		
