RESUMEN DE BIBLIOGRAFÍA CONSINADA (LIBROS)					
					
					
Tipo de Bibliografía	Titulos consignados	Titulos disponibles en Btca.	% de Cobertura		
COMPLEMENTARIA	82	51	62.1951219512195		
NO INDICA	3	1	33.3333333333333		
OBLIGATORIA	175	103	58.8571428571429		
Total general	260	155	59.6153846153846		
					
TITULOS NO DISPONIBLES EN  BIBLIOTECA UDA 					
					
ASIGNATURA	SEMESTRE	DETALLE DE BIBLIOGRAFÍA 	TIPO DE BIBLIOGRAFIA	CANTIDAD DE ESTUDIANTES POR ASIGNATURA	CANTIDAD EN BTCA.
Dicción y Oratoria I Dicción y Oratoria	Primer semestre	Verderber, R. (2012). Comunicación oral y efectiva. México: International Thomson.	OBLIGATORIA	40	0
Dicción y Oratoria I Dicción y Oratoria	Primer semestre	Loprete, C. (1984). El lenguaje oral. Fundamentos, formas y técnicas. Buenos Aires, Argentina: Plus Ultra.	COMPLEMENTARIA	40	0
TIC	Primer semestre	"Tic, Trabajo Colaborativo E Interacción En Terminología Y Traducción (Incluye Cd (Interlingua (comares)) Tapa blanda – 10 noviembre 2014
de Chelo Vargas Sierra (Autor)"	OBLIGATORIA	40	0
Introducción a la Traducción I	Primer semestre	Sobre la traducción: Ideas tradicionales y teorías contemporáneas (Oberta)	COMPLEMENTARIA	40	0
Introducción a la Traducción I	Primer semestre	La Traducción. Estrategias Profesionales Isabel Pasua Febles · Universidad De Las Palmas	OBLIGATORIA	40	0
Introducción a la Traducción I	Primer semestre	Taller de Traducción: Guía Práctica Para la Traducción de Libro del Inglés al Español Fern&Aacute;Ndez Esta&Ntilde;&Aacute;N, Maite · Alba Editorial	COMPLEMENTARIA	40	0
Introducción a la Traducción I	Primer semestre	manual de interpretación y traducción mario león rodríguez román · ediciones luna, s.l.	OBLIGATORIA	40	0
Sistema de la Lengua Inglesa I	Primer semestre	Schrampfer, B. & Hagen, S. (2006). Basic English Grammar, Third Edition. New York. Pearson Education.	COMPLEMENTARIA	40	0
Dicción y Oratoria II	Segundo semestre 	Pöchhacker Franz (2016). Introducing interpreting studies. Routledge.	COMPLEMENTARIA	40	0
Gramática, Lengua y Comunicación en Español II	Segundo semestre 	Álvarez, G. y Díaz, N. (1996). Conceptos lingüísticos para el profesor de idiomas. Concepción. Chile: Universidad de Concepción.	OBLIGATORIA		0
Gramática, Lengua y Comunicación en Español II	Segundo semestre 	Álvarez, G; Díaz, N. (1996). Conceptos lingüísticos para el profesor de idiomas. Concepción, Chile: Universidad de Concepción.	OBLIGATORIA		0
Gramática, Lengua y Comunicación en Español II	Segundo semestre 	Bühler, K. (1979). Teoría del lenguaje. Madrid, España: Alianza Universidad.	OBLIGATORIA		0
Gramática, Lengua y Comunicación en Español II	Segundo semestre 	Cárdenas, V. (2010). La relación entre semántica y sintaxis desde la perspectiva de lenguaje escrito, Tópicos del Seminario Nº 23: Scielo.	OBLIGATORIA		0
Gramática, Lengua y Comunicación en Español II	Segundo semestre 	Coseriu, E. (1992). Competencia lingüística. Elementos de la teoría del hablar. Madrid. España: Gredos.	OBLIGATORIA		0
Gramática, Lengua y Comunicación en Español II	Segundo semestre 	Kristeva, J. (1988). El lenguaje, ese desconocido. Madrid, España: Editorial Fundamentos.	COMPLEMENTARIA		0
Gramática, Lengua y Comunicación en Español II	Segundo semestre 	Painean, O. (2016). Apunte de circulación interna para los estudiantes del curso. Presented at Étimos grecolatinos en el Español en Universidad de Atacama, Copiapó.	COMPLEMENTARIA		0
Gramática, Lengua y Comunicación en Español II	Segundo semestre 	Painean, O. (2016). Apunte de circulación interna para los estudiantes del curso. Presented at Elementos para un mapa conceptual de la oración simple. Universidad de Atacama, Copiapó.	COMPLEMENTARIA	40	0
Introducción a la Traducción II	Segundo semestre 	García Yebra, V. (1982). Teoría y práctica de la traducción. Madrid, España: Gredos.	OBLIGATORIA	35	0
Sistema de la Lengua Inglesa II	Segundo semestre 	Owens, R. (1996). The Translator’s Handbook. London, England: Aslib.	OBLIGATORIA	35	0
Sistema de la Lengua Inglesa II	Segundo semestre 	Gómez, L. (2011). Ortografía y Gramática. Las Normas Académicas: Últimos Cambios. Madrid, España: Ediciones SM.	COMPLEMENTARIA	35	0
Comprensión y Producción Oral y Escrita en Español	Tercer semestre	Ferreiro, E. y Gómez, M. (2002). Nuevas perspectivas sobre los procesos de lectura y escritura. México: Editorial Siglo XXI.	OBLIGATORIA	30	0
