PLANILLA DE NECESIDADES BIBLIOGRAFICAS 2022						
						
CARRERA:	TÉCNICO UNIVERSITARIO ASISTENTE DE GEOLOGÍA.					
						
						
ASIGNATURA	SEMESTRE	DETALLE DE BIBLIOGRAFÍA 	TIPO DE BIBLIOGRAFIA	CANTIDAD DE COPIAS	NRO DE BIB	Disponibilidad
Comprensión Oral y Escrita 	Primero	Fournier, M.C. (2004). Comunicación verbal. México: Thomson.	OBLIGATORIA	5	20870	1
Comprensión Oral y Escrita 	Primero	• Reyzábal, M. V., & Casanova, M. /\. (2001). La comunicación oral y su didáctica. Madrid: La Muralla.	OBLIGATORIA	10	12042	1
Comprensión Oral y Escrita 	Primero	• Vallés, . A. (1996). Comprensión lectora 1: Programa de técnicas cognitivas y metacoqnitivos para comprender textos escritos: Educacion Primaria, 1er y 2o. ciclos. Madrid; Escuela Española	OBLIGATORIA	2	11626	1
Comprensión Oral y Escrita 	Primero	• Verderber, R. F. (1999). Comunicación oral efectiva. México: lnternational Thomson.	OBLIGATORIA	3	22706	1
Matemática Aplicada 	PRIMERO	Britton, J. R., & Bello, l. (January 01, 1986). Algebra y trigonometría contemporáneas.	OBLIGATORIA	3	8916	1
Matemática Aplicada 	PRIMERO	• Swokowski, E. W., & Trigueros, M. (1989). Álgebra y trigonometría con geometría analítica. México: Grupo Edit. lberoamérica.	OBLIGATORIA	8	2567	1
Matemática Aplicada 	PRIMERO	Miller, C. D., Heeren, V. E., & Hornsby, E. J. (2006). Matemáticas: Razonamiento y aplicaciones. México: Pearson.	COMPLEMENTARIA	2	22704	1
Gestión de La Informática 	PRIMERO	jelen, B. (2010). Excel Macros y VBA. Madrid: Anaya Multimedia.	OBLIGATORIA	1	22931	1
Gestión de La Informática 	PRIMERO	• Menchén, P. A. (2009). Tablas dinámicas en Excel 2007. México: Alfaomega.	OBLIGATORIA	3	22925	1
Gestión de La Informática 	PRIMERO	• Hawley, D., & Hawley, R. (2004). Excel: Los mejores trucos. Madrid: Anaya Multimedia.	OBLIGATORIA	1	20743	1
Gestión de La Informática 	PRIMERO	• Virginia Caccuri (2009). 101 secretos de Excel: la mejor guía de trucos y consejos. Argentina: Grami.	OBLIGATORIA	2	22697	1
Gestión de La Informática 	PRIMERO	• Frye, C., & Scott, P. P. (2007). Microsoft O/fice Excel 2003 paso a paso. Madrid.	OBLIGATORIA	3	19430	1
Gestión de La Informática 	PRIMERO	• Online Training Solutions, lnc. (2004). Microsoft O/fice Word 2003 paso a paso. Madrid: McGraw-Hill, lnteramericana de España.	OBLIGATORIA	3	22688	1
Gestión de La Informática 	PRIMERO	Luque, C. M. J. (2001). Microsoft PowerPoint 2002: O/fice XP. Madrid: Anaya Multimedia. 	COMPLEMENTARIA	5	21010	1
Confección de Preparados 	SEGUNDO	"Jiménez, J., & Velilla, N. (2004)."" Óptica mineral"": una herramienta informática para el estudio de los minerales en el microscopio petrográfico. Enseñanza de las Ciencias
de la Tierra, 12(1), 57-61."	OBLIGATORIA	0		0
Confección de Preparados 	SEGUNDO	Kerr, P. F. (1965). Mineralogía óptica.	OBLIGATORIA	1	21689	1
