RESUMEN DE BIBLIOGRAFÍA CONSINADA (LIBROS)			
			
			
Tipo de Bibliografía	Titulos consignados	Titulos disponibles en Btca.	% de cobertura
COMPLEMENTARIA	22	6	27.2727272727273
NO INDICA 	13	1	7.69230769230769
OBLIGATORIA	50	17	34
Total General 	35	7	17.4825174825175
			
			
TITULOS NO DISPONIBLES EN  BIBLIOTECA UDA			
			
			
ASIGNATURA	DETALLE DE BIBLIOGRAFÍA 	TIPO DE BIBLIOGRAFIA	CANTIDAD DE COPIAS
Practica Laboral 	Valles, M. M. S. (2009). Técnicas cualitativae investigación social: Reflexión metodológica y práctica profesional. Madrid: Síntesis.	COMPLEMENTARIA	0
Practica Laboral 	Valles, M. M. S. (2009). Técnicas cualitativae investigación social: Reflexión metodológica y práctica profesional. Madrid: Síntesis.	COMPLEMENTARIA	0
Inglés I 	UDA English Center. (2018). Material propio elaborado por académicos.	OBLIGATORIA	0
Proyecto de Titulación 	Tugendhat, E., Vicuña, A.M., & López, C. (2001). El libro de Manuel y Camita: Diálogos sobre ética. Barcelona: Gedisa Editorial.	OBLIGATORIA	0
Comunicaciones y Redes Industriales 	Stallings, W. (January 01, 2004). Comunicaciones y redes de computadores.	NO INDICA 	0
Taller II Instrumentación Industrial 	Solé, A. C. (2009). Instrumentos industriales: su ajuste y calibración. Marcombo. 	OBLIGATORIA	0
PLC 	Solé, A. C. (2009). Instrumentos industriales: su ajuste y calibración. Marcombo. 	NO INDICA 	0
Automatización Industrial II 	Solé, A. C. (2009). Instrumentos industriales: su ajuste y calibración. Marcombo. 	NO INDICA 	0
Inglés I 	Murphy, R. (2015). English Grammar in Use Elementary. Cambridge University Press.	COMPLEMENTARIA	0
Matemática Aplicada 	Miller, C. D., Heeren, V. E., & Hornsby, E. J. (2006). Matemáticas: Razonamiento y aplicaciones. México: Pearson.	COMPLEMENTARIA	0
PLC 	Mandado, P. E. (2011 ). Autómatas programables: Entorno y aplicaciones. Madrid: Paraninfo.	NO INDICA 	0
Seguridad Eléctrica y Medio Ambiente 	Mancera, F. M., & In Riaño, C. O. (2012). Seguridad e higiene industrial: Gestión de riesgos. Bogotá: Alfaomega colombiana.	OBLIGATORIA	0
Gestión de La Informática 	Luque, C. M. J. (2001). Microsoft PowerPoint 2002: O/fice XP. Madrid: Anaya Multimedia. 	COMPLEMENTARIA	0
Practica Laboral 	"Klenowski, V. (2014). Desarrollo de portafolios para el aprendizaje y la evaluación.Madrid: Narcea Edición.
"	OBLIGATORIA	0
Practica Laboral 	"Klenowski, V. (2014). Desarrollo de portafolios para el aprendizaje y la evaluación.Madrid: Narcea Edición.
"	OBLIGATORIA	0
Gestión de La Informática 	jelen, B. (2010). Excel Macros y VBA. Madrid: Anaya Multimedia.	OBLIGATORIA	0
Mecánica Industrial 	Hibbeler, R. C. (2017). Mecánica de materiales (9a. ed.). Naucalpan de Juárez: Pearson Educación.	OBLIGATORIA	0
Fundamentos Eléctricos 	Fraile, M. J. J. (2011 ). Electromagnetismo y circuitos eléctricos. Madrid: McGraw-Hill.	OBLIGATORIA	0
Comprensión Oral y Escrita 	Fournier, M.C. (2004). Comunicación verbal. México: Thomson.	OBLIGATORIA	0
PLC 	equipos e instalaciones electrotécnicas. Madrid: Paraninfo Cengage Learning.	NO INDICA 	0
Inglés II 	DA English Center. (2018). Material propio elaborado por académicos.	OBLIGATORIA	0
Matemática Aplicada 	Britton, J. R., & Bello, l. (January 01, 1986). Algebra y trigonometría contemporáneas.	OBLIGATORIA	0
Electrotecnia 	"Boylestad, Robert L., 2011, ""Introducción al Análisis de Circuitos"", México, Pearson Educación."	OBLIGATORIA	0
Taller I Instrumentos de Medida 	"Boylestad, Robert L., 2011, ""Introducción al Análisis de Circuitos"", México, Pearson Educación."	OBLIGATORIA	0
Practica Laboral 	Barbera, E. (2008). El estilo e-portafolio. Barcelona: UOC.	OBLIGATORIA	0
Practica Laboral 	Barbera, E. (2008). El estilo e-portafolio. Barcelona: UOC.	OBLIGATORIA	0
Practica Laboral 	Adler, R. 8., Elrnhorst, J. M., Mascaró, S. P., & González, P. J. R. (2005). Comunicación organizacional: Principios y prácticas para negocios y profesiones. México: McGraw-Hill.	COMPLEMENTARIA	0
Practica Laboral 	Adler, R. 8., Elrnhorst, J. M., Mascaró, S. P., & González, P. J. R. (2005). Comunicación organizacional: Principios y prácticas para negocios y profesiones. México: McGraw-Hill.	COMPLEMENTARIA	0
Inglés I 	Tugendhat, E., Vicuña, A.M., & López, C. (2001). El libro de Manuel y Camita: Diálogos sobre ética. Barcelona: Gedisa Editorial.	COMPLEMENTARIA	0
Inglés II 	• Wilson, K., & Healy, T. (2016). Smart Choice Starter (3rd ed.). Oxford University Press.	COMPLEMENTARIA	0
Inglés I 	• Wilson, K. (2016). Smart Choice 1 (3rd ed.). Oxford University Press.	COMPLEMENTARIA	0
Inglés II 	• Wilson, K. (2016). Smart Choice 1 (3rd ed.). Oxford University Press.	COMPLEMENTARIA	0
Gestión de La Informática 	• Virginia Caccuri (2009). 101 secretos de Excel: la mejor guía de trucos y consejos. Argentina: Grami.	OBLIGATORIA	0
Comprensión Oral y Escrita 	• Verderber, R. F. (1999). Comunicación oral efectiva. México: lnternational Thomson.	OBLIGATORIA	0
Comprensión Oral y Escrita 	• Vallés, A. A. (1996). Comprensión lectora 1: Programa de técnicas cognitivas y metacoqnitivos para comprender textos escritos: Educacion Primaria, 1er y 2o. ciclos. Madrid; Escuela Española	OBLIGATORIA	0
Matemática Aplicada 	• Swokowski, E. W., & Trigueros, M. (1989). Álgebra y trigonometría con geometría analítica. México: Grupo Edit. lberoamérica.	OBLIGATORIA	0
Comunicaciones y Redes Industriales 	• Solé, A. C. (2009). Instrumentos industriales: su ajuste y calibración. Marcombo.	NO INDICA 	0
Automatización Industrial I 	• Soisson, H. E. (2007). Instrumentación industrial. New York: J. Wiley.	OBLIGATORIA	0
Taller II Instrumentación Industrial 	• Soisson, H. E. (2007). Instrumentación industrial. New York: J. Wiley.	OBLIGATORIA	0
PLC 	• Soisson, H. E. (2007). Instrumentación industrial. New York: J. Wiley.	NO INDICA 	0
Automatización Industrial II 	• Soisson, H. E. (2007). Instrumentación industrial. New York: J. Wiley.	NO INDICA 	0
