					
RESUMEN DE BIBLIOGRAFÍA CONSINADA (LIBROS)					
					
					
Tipo de Bibliografía	Titulos consignados	Titulos disponibles en Btca.		% de cobertura Btca Central	% de cobertura Vallenar
OBLIGATORIA	40	36	6	90	16.6666666666667
COMPLEMENTARIA	34	30	4	88.2352941176471	13.3333333333333
Total General 	74	66	10	89.1176470588235	15
					
					
TITULOS NO DISPONIBLES EN BTCA CENTRAL 					
ASIGNATURA	SEMESTRE	DETALLE DE BIBLIOGRAFÍA 	TIPO DE BIBLIOGRAFIA	CANTIDAD DE COPIAS	
FUNDAMENTOS DE LA METALURGIA	110	Skoog, D. A. (2015). Fundamentos de química analítica: Novena edición. México, D.F: Cengage Learning. 	Básica	0	
FUNDAMENTOS DE LA METALURGIA	110	Mortimer, C. E. (1999). Química. México: Grupo Editorial Iberoamérica. 	Complementaria	0	
GESTIÓN DE LA INFORMÁTICA	110	Virginia Caccuri (2009). 101 secretos de Excel: la mejor guía de trucos y consejos. Argentina: Grami.	Básica	0	
GESTIÓN DE LA INFORMÁTICA	110	"Luque, C. M. J. (2001). Microsoft PowerPoint 2002: Office XP. Madrid: Anaya Multimedia.
"	Complementaria	0	
MINERALOGÍA APLICADA A PROCESOS METALÚRGICOS	110	Strahler, A. N. (2004). Geología física. Barcelona: Omega.	Básica	0	
PROCESOS METALÚRGICOS	110	Neely, J. E. (2001). Metalurgia y materiales industriales. México: Limusa.	Básica	0	
TALLER I  OPERACIONES Y PROCESOS METALÚRGICOS	110	Neely, J. E. (2001). Metalurgia y materiales industriales. México: Limusa.	Básica	0	
TRATAMIENTO DE RESIDUOS INDUSTRIALES	210	Seminario Internacional sobre tecnologías limpias para la industria minera ( Santiago) 1996. Tecnologías limpias para la industria minera. Universidad de Concepción.	Básica	0	
PRÁCTICA LABORAL	220	Valles, M. M. S. (2009). Técnicas cualitativae investigación social: Reflexión metodológica y práctica profesional. Madrid: Síntesis.	Básica	0	
PROYECTO DE TITULACIÓN 	220	Tugendhat, E., Vicuña, A. M., & López, C. (2001). El libro de Manuel y Camila: Diálogos sobre ética. Barcelona: Gedisa Editorial.	Básica	0	
PROYECTO DE TITULACIÓN 	220	Hernández, S. R., & Fernández, C. C. B. L. M. P. (January 01, 2010). Metodología de la investigación. 	Complementaria	0	
					
					
TITULOS NO DISPONIBLES EN VALLENAR					
ASIGNATURA	SEMESTRE	DETALLE DE BIBLIOGRAFÍA 	TIPO DE BIBLIOGRAFIA	CANTIDAD DE COPIAS	
COMPRENSIÓN ORAL Y ESCRITA 	110	Fournier, M. C. (2004). Comunicación verbal. México: Thomson.	Básica	0	
COMPRENSIÓN ORAL Y ESCRITA 	110	Reyzábal, M. V., & Casanova, M. A. (2001). La comunicación oral y su didáctica. Madrid: La Muralla.	Básica	0	
COMPRENSIÓN ORAL Y ESCRITA 	110	Vallés, A. A. (1996). Comprensión lectora 1: Programa de técnicas cognitivas y metacognitivas para comprender textos escritos : Educación Primaria, 1er y 2o. ciclos. Madrid: Escuela Española.	Básica	0	
COMPRENSIÓN ORAL Y ESCRITA 	110	Verderber, R. F. (1999). Comunicación oral efectiva. México: International Thomson.	Básica	0	
FUNDAMENTOS DE LA METALURGIA	110	Chang, R., Goldsby, K. A., & Nagore, C. G. (2017). Química.	Básica	0	
FUNDAMENTOS DE LA METALURGIA	110	Skoog, D. A. (2015). Fundamentos de química analítica: Novena edición. México, D.F: Cengage Learning. 	Básica	0	
FUNDAMENTOS DE LA METALURGIA	110	Mortimer, C. E. (1999). Química. México: Grupo Editorial Iberoamérica. 	Complementaria	0	
GESTIÓN DE LA INFORMÁTICA	110	Jelen, B. (2010). Excel Macros y VBA. Madrid: Anaya Multimedia.	Básica	0	
GESTIÓN DE LA INFORMÁTICA	110	Menchén, P. A. (2009). Tablas dinámicas en Excel 2007. México: Alfaomega.	Básica	0	
GESTIÓN DE LA INFORMÁTICA	110	Hawley, D., & Hawley, R. (2004). Excel: Los mejores trucos. Madrid: Anaya Multimedia.	Básica	0	
GESTIÓN DE LA INFORMÁTICA	110	Virginia Caccuri (2009). 101 secretos de Excel: la mejor guía de trucos y consejos. Argentina: Grami.	Básica	0	
GESTIÓN DE LA INFORMÁTICA	110	Frye, C., & Scott, P. P. (2007). Microsoft Office Excel 2003 paso a paso. Madrid.	Básica	0	
GESTIÓN DE LA INFORMÁTICA	110	Online Training Solutions, Inc. (2004). Microsoft Office Word 2003 paso a paso. Madrid: McGraw-Hill, Interamericana de España.	Básica	0	
GESTIÓN DE LA INFORMÁTICA	110	"Luque, C. M. J. (2001). Microsoft PowerPoint 2002: Office XP. Madrid: Anaya Multimedia.
"	Complementaria	0	
MATEMÁTICA APLICADA	110	Britton, J. R, & Bello, I. (January 01, 1986). Álgebra y trigonometría contemporáneas.	Básica	0	
MATEMÁTICA APLICADA	110	Swokowski, E. W., & Trigueros, M. (1989). Álgebra y trigonometría con geometría analítica. México: Grupo Edit. Iberoamérica.	Básica	0	
MATEMÁTICA APLICADA	110	Miller, C. D., Heeren, V. E., & Hornsby, E. J. (2006). Matemáticas: Razonamiento y aplicaciones. México: Pearson.	Complementaria	0	
MINERALOGÍA APLICADA A PROCESOS METALÚRGICOS	110	Strahler, A. N. (2004). Geología física. Barcelona: Omega.	Básica	0	
MINERALOGÍA APLICADA A PROCESOS METALÚRGICOS	110	Hurlbut, C. S., & Dana, J. D. (1974). Manual de mineralogía de Dana. Barcelona: Reverté.	Complementaria	0	
MINERALOGÍA APLICADA A PROCESOS METALÚRGICOS	110	Heinrich, E. W. (1977). Identificación microscópica de los minerales. Bilbao: Urmo. 	Complementaria	0	
PROCESOS METALÚRGICOS	110	Ballester, A., Verdeja, L. F., & Sancho, J. (2003). Metalurgia extractiva. Madrid: Síntesis.	Básica	0	
PROCESOS METALÚRGICOS	110	Neely, J. E. (2001). Metalurgia y materiales industriales. México: Limusa.	Básica	0	
PROCESOS METALÚRGICOS	110	Rosenqvist, T., Gutiérrez, M. E., & Barrera, G. J. A. (1987). Fundamentos de metalurgia extractiva. México: Limusa Noriega. 	Complementaria	0	
TALLER I  OPERACIONES Y PROCESOS METALÚRGICOS	110	Ballester, A., Verdeja, L. F., & Sancho, J. (2003). Metalurgia extractiva. Madrid: Síntesis.	Básica	0	
TALLER I  OPERACIONES Y PROCESOS METALÚRGICOS	110	Neely, J. E. (2001). Metalurgia y materiales industriales. México: Limusa.	Básica	0	
TALLER I  OPERACIONES Y PROCESOS METALÚRGICOS	110	Rosenqvist, T., Gutiérrez, M. E., & Barrera, G. J. A. (1987). Fundamentos de metalurgia extractiva. México: Limusa Noriega. 	Complementaria	0	
 TALLER II ELECTROMECÁNICA Y AUTOMATIZACIÓN	120	Creus, S. A. (2011). Neumática e hidráulica. México: Alfaomega.	Básica	0	
 TALLER II ELECTROMECÁNICA Y AUTOMATIZACIÓN	120	Castejon̤, O. A., & Santamara̕, G. (1993). Tecnología eléctrica. Madrid: McGraw-Hill.	Básica	0	
 TALLER II ELECTROMECÁNICA Y AUTOMATIZACIÓN	120	Buban, P., Schmitt, M. L., & Nagores, C. G. (1983). Electricidad y electrónica básicas: Conceptos y aplicaciones. México D.F: McGraw-Hill Interamericana.	Complementaria	0	
 CONMINUCIÓN	120	"Waganoff, Nicolás P. (1956); Trituración, molienda y separación de minerales; Buenos Aires : Albina.
"	Complementaria	0	
 CONMINUCIÓN	120	Pavéz M, O. (1985); Optimización de Chancado-Molienda; Editorial Universidad de Atacama.	Complementaria	0	
HIDROMETALURGIA	120	Scheaffer, R. L., Mendenhall, W., Ott, L., Rendón, S. G., Gómez, A. J. R., & Vargas, G. S. (2000). Elementos de muestreo. México: Grupo editorial Iberoamérica. 	Básica	0	
HIDROMETALURGIA	120	"Hidrometalurgia del Cobre (1990). Hidrometalurgia de Oro y Plata. Universidad del Norte.
"	Básica	0	
HIDROMETALURGIA	120	Arenas Fuentes, Alonso (1985); Hidrometalurgia del cobre; Universidad del Norte.	Complementaria	0	
INGLÉS I	120	UDA English Center. (2018). Material propio elaborado por académicos.	Básica	0	
