PLANILLA DE NECESIDADES BIBLIOGRAFICAS 2022									
									
CARRERA:	Técnico universitario en Metalurgia								
									
									
ASIGNATURA	SEMESTRE	DETALLE DE BIBLIOGRAFÍA 	TIPO DE BIBLIOGRAFIA	CANTIDAD DE COPIAS	CANTIDAD COPIA EN VALLENAR	N° DE BIB	CANTIDAD COPIA EN VALLENAR	Disponibilidad	Disponibilidad Vallenar
COMPRENSIÓN ORAL Y ESCRITA 	110	Fournier, M. C. (2004). Comunicación verbal. México: Thomson.	Básica	4	0	20870	5	1	0
COMPRENSIÓN ORAL Y ESCRITA 	110	Reyzábal, M. V., & Casanova, M. A. (2001). La comunicación oral y su didáctica. Madrid: La Muralla.	Básica	10	0	12042	10	1	0
COMPRENSIÓN ORAL Y ESCRITA 	110	Vallés, A. A. (1996). Comprensión lectora 1: Programa de técnicas cognitivas y metacognitivas para comprender textos escritos : Educación Primaria, 1er y 2o. ciclos. Madrid: Escuela Española.	Básica	2	0	11626	2	1	0
COMPRENSIÓN ORAL Y ESCRITA 	110	Verderber, R. F. (1999). Comunicación oral efectiva. México: International Thomson.	Básica	3	0	22706	3	1	0
FUNDAMENTOS DE LA METALURGIA	110	Chang, R., Goldsby, K. A., & Nagore, C. G. (2017). Química.	Básica	49	0	26597	49	1	0
FUNDAMENTOS DE LA METALURGIA	110	Skoog, D. A. (2015). Fundamentos de química analítica: Novena edición. México, D.F: Cengage Learning. 	Básica	0	0	26560	22	0	0
FUNDAMENTOS DE LA METALURGIA	110	Mortimer, C. E. (1999). Química. México: Grupo Editorial Iberoamérica. 	Complementaria	0	0	2588	19	0	0
GESTIÓN DE LA INFORMÁTICA	110	Jelen, B. (2010). Excel Macros y VBA. Madrid: Anaya Multimedia.	Básica	1	0	22931	1	1	0
GESTIÓN DE LA INFORMÁTICA	110	Menchén, P. A. (2009). Tablas dinámicas en Excel 2007. México: Alfaomega.	Básica	3	0	22925	3	1	0
GESTIÓN DE LA INFORMÁTICA	110	Hawley, D., & Hawley, R. (2004). Excel: Los mejores trucos. Madrid: Anaya Multimedia.	Básica	1	0	20743	1	1	0
GESTIÓN DE LA INFORMÁTICA	110	Virginia Caccuri (2009). 101 secretos de Excel: la mejor guía de trucos y consejos. Argentina: Grami.	Básica	0	0	22697	2	0	0
GESTIÓN DE LA INFORMÁTICA	110	Frye, C., & Scott, P. P. (2007). Microsoft Office Excel 2003 paso a paso. Madrid.	Básica	3	0	19430	3	1	0
GESTIÓN DE LA INFORMÁTICA	110	Online Training Solutions, Inc. (2004). Microsoft Office Word 2003 paso a paso. Madrid: McGraw-Hill, Interamericana de España.	Básica	2	0	22688	3	1	0
GESTIÓN DE LA INFORMÁTICA	110	"Luque, C. M. J. (2001). Microsoft PowerPoint 2002: Office XP. Madrid: Anaya Multimedia.
"	Complementaria	0	0	21010	5	0	0
MATEMÁTICA APLICADA	110	Britton, J. R, & Bello, I. (January 01, 1986). Álgebra y trigonometría contemporáneas.	Básica	3	0	8916	3	1	0
MATEMÁTICA APLICADA	110	Swokowski, E. W., & Trigueros, M. (1989). Álgebra y trigonometría con geometría analítica. México: Grupo Edit. Iberoamérica.	Básica	8	0	8	2597	1	0
MATEMÁTICA APLICADA	110	Miller, C. D., Heeren, V. E., & Hornsby, E. J. (2006). Matemáticas: Razonamiento y aplicaciones. México: Pearson.	Complementaria	2	0	22704	2	1	0
MINERALOGÍA APLICADA A PROCESOS METALÚRGICOS	110	Strahler, A. N. (2004). Geología física. Barcelona: Omega.	Básica	0	0	3082	38	0	0
MINERALOGÍA APLICADA A PROCESOS METALÚRGICOS	110	Hurlbut, C. S., & Dana, J. D. (1974). Manual de mineralogía de Dana. Barcelona: Reverté.	Complementaria	27	0	2518	27	1	0
MINERALOGÍA APLICADA A PROCESOS METALÚRGICOS	110	Heinrich, E. W. (1977). Identificación microscópica de los minerales. Bilbao: Urmo. 	Complementaria	6	0	10146	6	1	0
PROCESOS METALÚRGICOS	110	Ballester, A., Verdeja, L. F., & Sancho, J. (2003). Metalurgia extractiva. Madrid: Síntesis.	Básica	4	0	22131	4	1	0
PROCESOS METALÚRGICOS	110	Neely, J. E. (2001). Metalurgia y materiales industriales. México: Limusa.	Básica	0	0	20988	4	0	0
PROCESOS METALÚRGICOS	110	Rosenqvist, T., Gutiérrez, M. E., & Barrera, G. J. A. (1987). Fundamentos de metalurgia extractiva. México: Limusa Noriega. 	Complementaria	4	0	370	4	1	0
TALLER I  OPERACIONES Y PROCESOS METALÚRGICOS	110	Ballester, A., Verdeja, L. F., & Sancho, J. (2003). Metalurgia extractiva. Madrid: Síntesis.	Básica	4	0	22131	4	1	0
TALLER I  OPERACIONES Y PROCESOS METALÚRGICOS	110	Neely, J. E. (2001). Metalurgia y materiales industriales. México: Limusa.	Básica	0	0	20988	4	0	0
TALLER I  OPERACIONES Y PROCESOS METALÚRGICOS	110	Rosenqvist, T., Gutiérrez, M. E., & Barrera, G. J. A. (1987). Fundamentos de metalurgia extractiva. México: Limusa Noriega. 	Complementaria	4	0	370	4	1	0
 TALLER II ELECTROMECÁNICA Y AUTOMATIZACIÓN	120	Creus, S. A. (2011). Neumática e hidráulica. México: Alfaomega.	Básica	3	0	24634	3	1	0
 TALLER II ELECTROMECÁNICA Y AUTOMATIZACIÓN	120	Castejon̤, O. A., & Santamara̕, G. (1993). Tecnología eléctrica. Madrid: McGraw-Hill.	Básica	3	0	11001	3	1	0
 TALLER II ELECTROMECÁNICA Y AUTOMATIZACIÓN	120	Buban, P., Schmitt, M. L., & Nagores, C. G. (1983). Electricidad y electrónica básicas: Conceptos y aplicaciones. México D.F: McGraw-Hill Interamericana.	Complementaria	3	0	2864	3	1	0
 CONCENTRACIÓN DE MINERALES	120	Cárcamo Gutiérrez, Hugo (1987). Físico química de superficies. Universidad de Atacama	Básica	21	10	2731	31		1
 CONCENTRACIÓN DE MINERALES	120	Astorga Flores, Angel (1987). Flotación, pruebas de flotación y clasificación de relaves. Editorial Universidad de Atacama.	Básica	3	1	138	4		1
 CONCENTRACIÓN DE MINERALES	120	Christiansen Medina, Arturo (1985). Separación de fases. Editorial Universidad de Atacama.	Complementaria	3	1	153	7		1
 CONMINUCIÓN	120	Astorga Flores, Angel (1990); Procesos de Chancado y Molienda; Editorial Universidad de Atacama.	Básica	3	1	88	4		1
 CONMINUCIÓN	120	"Waganoff, Nicolás P. (1956); Trituración, molienda y separación de minerales; Buenos Aires : Albina.
"	Complementaria	4	0	145	4	1	0
 CONMINUCIÓN	120	Pavéz M, O. (1985); Optimización de Chancado-Molienda; Editorial Universidad de Atacama.	Complementaria	20	0	95	20	1	0
HIDROMETALURGIA	120	Scheaffer, R. L., Mendenhall, W., Ott, L., Rendón, S. G., Gómez, A. J. R., & Vargas, G. S. (2000). Elementos de muestreo. México: Grupo editorial Iberoamérica. 	Básica	4	0	2662	4	1	0
HIDROMETALURGIA	120	Cáceres Arenas, Germán (1990); Hidrometalurgia y electrometalurgia; Editorial Universidad de Atacama.	Básica	3	1	366	4		1
HIDROMETALURGIA	120	"Hidrometalurgia del Cobre (1990). Hidrometalurgia de Oro y Plata. Universidad del Norte.
"	Básica	3	0	377	5	1	0
HIDROMETALURGIA	120	Arenas Fuentes, Alonso (1985); Hidrometalurgia del cobre; Universidad del Norte.	Complementaria	2	0	5	377	1	0
INGLÉS I	120	UDA English Center. (2018). Material propio elaborado por académicos.	Básica	0	0	0		0	0
INGLÉS I	120	Hill, H. (2016). Diccionario Cambridge Pocket (10ª ed.). Cambridge, United Kingdom: Cambridge University Press.	Complementaria	20	0	28320	20	1	0
INGLÉS I	120	Marks, J. (2007). English Pronunciation in Use Elementary. Cambridge University Press.	Complementaria	2	0	28421	2	1	0
INGLÉS I	120	McCarthy, M., McCarten, J., & Sandiford, H. (2014). “Touchstone 1” (2nd ed.). Cambridge University Press.	Complementaria	1	0	27276	2	1	0
INGLÉS I	120	Murphy, R. (2015). English Grammar in Use Elementary. Cambridge University Press.	Complementaria	2	0	26240	2	1	0
INGLÉS I	120	Wilson, K. (2016). Smart Choice 1 (3rd ed.). Oxford University Press.	Complementaria	3	0	27243	3	1	0
INGLÉS I	120	Wilson, K., & Healy, T. (2016). Smart Choice Starter (3rd ed.). Oxford University Press.	Complementaria	3	0	27245	3	1	0
MUESTREO METALÚRGICO	120	Scheaffer, R. L., Mendenhall, W., Ott, L., Rendón, S. G., Gómez, A. J. R., & Vargas, G. S. (2000). Elementos de muestreo. México: Grupo editorial Iberoamérica. 	Básica	4	0	2662	4	1	0
MUESTREO METALÚRGICO	120	Pavez Miqueles, O. (1987). Muestreo y control de calidad. Universidad de Atacama.	Complementaria	3	0	157	3	1	0
MUESTREO METALÚRGICO	120	Carvajal Varas, A. (1990). Muestreo de minerales y productos mineros a granel. Universidad de Atacama.	Complementaria	1	0	114	1	1	0
MUESTREO METALÚRGICO	120	Carvajal Varas, A. (1990). Muestreo de sólidos y pulpas. Universidad de Atacama.	Complementaria	1	0	114	1	1	0
INGLÉS II	210	"UDA English Center. (2018). Material propio elaborado por académicos.
"	Básica	0	0	0		0	0
INGLÉS II	210	Hill, H. (2016). Diccionario Cambridge Pocket (10ª ed.). Cambridge, United Kingdom: Cambridge University Press.	Complementaria	20	0	28320	20	1	0
INGLÉS II	210	Marks, J. (2007). English Pronunciation in Use Elementary. Cambridge University Press.	Complementaria	2	0	28421	2	1	0
INGLÉS II	210	McCarthy, M., McCarten, J., & Sandiford, H. (2014). “Touchstone 1” (2nd ed.). Cambridge University Press.	Complementaria	1	0	27276	2	1	0
INGLÉS II	210	Murphy, R. (2015). English Grammar in Use Elementary. Cambridge University Press.	Complementaria	2	0	26240	2	1	0
INGLÉS II	210	Wilson, K. (2016). Smart Choice 1 (3rd ed.). Oxford University Press.	Complementaria	3	0	27243	3	1	0
INGLÉS II	210	Wilson, K., & Healy, T. (2016). Smart Choice Starter (3rd ed.). Oxford University Press.	Complementaria	3	0	27245	3	1	0
OPERACIÓN  DE PLANTAS METALÚRGICAS	210	Concha A., F. (1990). Fundamentos de la clasificación. Universidad de Concepción. Escuela de Ingeniería	Básica	4	0	281	4	1	0
OPERACIÓN  DE PLANTAS METALÚRGICAS	210	Cáceres Arenas, G. (1990). Hidrometalurgia y electrometalurgia. Editorial Universidad de Atacama.	Básica	3	1	366	4		1
OPERACIÓN  DE PLANTAS METALÚRGICAS	210	Astorga Flores, A. (1987). Flotación, pruebas de flotación y clasificación de relaves. Editorial Universidad de Atacama.	Complementaria	3	1	138	4		1
SOFTWARE APLICADO A LA ESPECIALIDAD	210	Ferrer, M. J. L., & Herranz, G. S. (2005). Tratado de dibujo con Autocad 2005. España: Thomson. 	Básica	3	0	22773	3	1	0
SOFTWARE APLICADO A LA ESPECIALIDAD	210	Tickoo, S. (2000). AutoCAD 2000: Básico. Madrid: Paraninfo, Thomson Learning. 	Complementaria	1	0	21143	1	1	0
