RESUMEN DE BIBLIOGRAFÍA CONSINADA (LIBROS)			
			
			
Tipo de Bibliografía	Titulos consignados	Titulos disponibles en Btca.	% de cobertura
COMPLEMENTARIA	20	1	5
NO INDICA	7	3	42.8571428571429
OBLIGATORIA	40	11	27.5
Total General 	67	15	25.11904762
			
			
TITULOS NO DISPONIBLES EN  BIBLIOTECA UDA			
			
			
ASIGNATURA	DETALLE DE BIBLIOGRAFÍA 	TIPO DE BIBLIOGRAFIA	
Comprensión Oral y Escrita 	Fournier, M.C. (2004). Comunicación verbal. México: Thomson.	OBLIGATORIA	
Comprensión Oral y Escrita 	• Reyzábal, M. V., & Casanova, M. A. (2001). La comunicación oral y su didáctica. Madrid: La Muralla.	OBLIGATORIA	
Comprensión Oral y Escrita 	• Vallés, A. A. (1996). Comprensión lectora 1: Programa de técnicas cognitivas y metacoqnitivos para comprender textos escritos: Educacion Primaria, 1er y 2o. ciclos. Madrid; Escuela Española	OBLIGATORIA	
Comprensión Oral y Escrita 	• Verderber, R. F. (1999). Comunicación oral efectiva. México: lnternational Thomson.	OBLIGATORIA	
Matemática Aplicada 	Britton, J. R., & Bello, l. (January 01, 1986). Algebra y trigonometría contemporáneas.	OBLIGATORIA	
Matemática Aplicada 	• Swokowski, E. W., & Trigueros, M. (1989). Álgebra y trigonometría con geometría analítica. México: Grupo Edit. lberoamérica.	OBLIGATORIA	
Matemática Aplicada 	Miller, C. D., Heeren, V. E., & Hornsby, E. J. (2006). Matemáticas: Razonamiento y aplicaciones. México: Pearson.	COMPLEMENTARIA	
Gestión de La Informática 	jelen, B. (2010). Excel Macros y VBA. Madrid: Anaya Multimedia.	OBLIGATORIA	
Gestión de La Informática 	• Menchén, P. A. (2009). Tablas dinámicas en Excel 2007. México: Alfaomega.	OBLIGATORIA	
Gestión de La Informática 	• Hawley, D., & Hawley, R. (2004). Excel: Los mejores trucos. Madrid: Anaya Multimedia.	OBLIGATORIA	
Gestión de La Informática 	• Virginia Caccuri (2009). 101 secretos de Excel: la mejor guía de trucos y consejos. Argentina: Grami.	OBLIGATORIA	
Gestión de La Informática 	• Frye, C., & Scott, P. P. (2007). Microsoft O/fice Excel 2003 paso a paso. Madrid.	OBLIGATORIA	
Gestión de La Informática 	• Online Training Solutions, lnc. (2004). Microsoft O/fice Word 2003 paso a paso. Madrid: McGraw-Hill, lnteramericana de España.	OBLIGATORIA	
Gestión de La Informática 	Luque, C. M. J. (2001). Microsoft PowerPoint 2002: O/fice XP. Madrid: Anaya Multimedia. 	COMPLEMENTARIA	
Seguridad Industrial I 	• Mutual de Seguridad. Ley 16.744 (1968): establece normas sobre accidentes del trabajo y enfermedades profesionales.	OBLIGATORIA	
Higiene Industrial I	Asensio, J. S. (2013). Química. Equilibrios químicos: Teoría, Ejercicios resueltos y prácticas. Editorial Visión Libros.	OBLIGATORIA	
Legislación Aplicada	• Mutual de Seguridad. Ley 16.744 (1968): establece normas sobre accidentes del trabajo y enfermedades profesionales.	OBLIGATORIA	
Taller I Identificación de Peligros	• Mutual de Seguridad. Ley 16.744 (1968): establece normas sobre accidentes del trabajo y enfermedades profesionales.	NO INDICA	
Inglés I 	UDA English Center. (2018). Material propio elaborado por académicos.	OBLIGATORIA	
Inglés I 	• Hill, H. (2016). Diccionario Cambridge Pocket (lQil ed.). Cambridge, United Kingdom: Cambridge University Press.	COMPLEMENTARIA	
Inglés I 	• Marks, J. (2007). English Pronunciation in Use Elementary. Cambridge University Press.	COMPLEMENTARIA	
Inglés I 	"• McCarthy, M., McCarten, J., & Sandiford, H. (2014). ""Touchstone 1"" (2nd ed.). Cambridge University Press."	COMPLEMENTARIA	
Inglés I 	Murphy, R. (2015). English Grammar in Use Elementary. Cambridge University Press.	COMPLEMENTARIA	
Inglés I 	• Wilson, K. (2016). Smart Choice 1 (3rd ed.). Oxford University Press.	COMPLEMENTARIA	
Inglés I 	• Wilson, K., & Healy, T. (2016). Smart Choice Starter (3rd ed.). Oxford University Press. y prácticas. Editorial Visión Libros.	COMPLEMENTARIA	
Higiene Industrial I	Asensio, J. S. (2013). Química. Equilibrios químicos: Teoría, Ejercicios resueltos	OBLIGATORIA	
Transporte, Carguío y Almacenamiento 	• Mutual de Seguridad. Ley 16.744 (1968): establece normas sobre accidentes del trabajo y enfermedades profesionales.	OBLIGATORIA	
Seguridad Industrial II 	• Mutual de Seguridad. Ley 16.744 (1968): establece normas sobre accidentes del trabajo y enfermedades profesionales.	NO INDICA	
Riesgos en Procesos Productivos 	• Mutual de Seguridad. Ley 16.744 (1968): establece normas sobre accidentes del trabajo y enfermedades profesionales.	NO INDICA	
Taller 11: Evaluación de Riesgos 	• Mutual de Seguridad. Ley 16.744 (1968): establece normas sobre accidentes del trabajo y enfermedades profesionales.	NO INDICA	
Inglés II 	DA English Center. (2018). Material propio elaborado por académicos.	OBLIGATORIA	
Inglés II 	• Hill, H. (2016). Diccionario Cambridge Pocket (10ª ed.). Cambridge, United Kingdom: Cambridge University Press.	COMPLEMENTARIA	
Inglés II 	• Marks, J. (2007). English Pronunciation in Use Elementary. Cambridge University Press.	COMPLEMENTARIA	
Inglés II 	"• McCarthy, M., McCarten, J., & Sandiford, H. (2014). ""Touchstone 1"" (2nd ed.). Cambridge University Press."	COMPLEMENTARIA	
Inglés II 	• Murphy, R. (2015). English Grammar in Use Elementary. Cambridge University Press.	COMPLEMENTARIA	
Inglés II 	• Wilson, K. (2016). Smart Choice 1 (3rd ed.). Oxford University Press.	COMPLEMENTARIA	
Inglés II 	• Wilson, K., & Healy, T. (2016). Smart Choice Starter (3rd ed.). Oxford University Press.	COMPLEMENTARIA	
Riesgos Críticos 	• Mutual de Seguridad. Ley 16.744 (1968): establece normas sobre accidentes del trabajo y enfermedades profesionales.	OBLIGATORIA	
Control de Emergencias e Incendios	• Maturana S, (2008). Primeros Auxilios. Grupo Clasa Editoria	OBLIGATORIA	
Salud Ocupacional 	• Tixa, S. (2006). Atlas De Anatomía Palpatoria Tomo 1. Cuello, Tronco Y Extremidad Superior. Elsevier Masson.	OBLIGATORIA	
Taller 111 Control de Riesgos 	• Mutual de Seguridad. Ley 16.744 (1968): establece normas sobre accidentes del trabajo y enfermedades profesionales.	OBLIGATORIA	
Proyecto de Titulación 	Tugendhat, E., Vicuña, A.M., & López, C. (2001). El libro de Manuel y Camita: Diálogos sobre ética. Barcelona: Gedisa Editorial.	OBLIGATORIA	
Proyecto de Titulación 	• M uñoz, R. C. (201 1 ). Cómo elaborar y asesorar una investigación de tesis (2a. ed.). Naucalpan de Juárez: Pearson Educación.	OBLIGATORIA	
Proyecto de Titulación 	• Hernández, S. R., & Fernández, C. C. B. L. M. P. (January O 1, 201 O). Metodología de la investigación.	COMPLEMENTARIA	
Practica Laboral 	Barbera, E. (2008). El estilo e-portafolio. Barcelona: UOC.	OBLIGATORIA	
Practica Laboral 	"Klenowski, V. (2014). Desarrollo de portafolios para el aprendizaje y la evaluación.Madrid: Narcea Edición.
"	OBLIGATORIA	
Practica Laboral 	Valles, M. M. S. (2009). Técnicas cualitativae investigación social: Reflexión metodológica y práctica profesional. Madrid: Síntesis.	COMPLEMENTARIA	
Practica Laboral 	Adler, R. 8., Elrnhorst, J. M., Mascaró, S. P., & González, P. J. R. (2005). Comunicación organizacional: Principios y prácticas para negocios y profesiones. México: McGraw-Hill.	COMPLEMENTARIA	
Practica Laboral 	Barbera, E. (2008). El estilo e-portafolio. Barcelona: UOC.	OBLIGATORIA	
Practica Laboral 	"Klenowski, V. (2014). Desarrollo de portafolios para el aprendizaje y la evaluación.Madrid: Narcea Edición.
"	OBLIGATORIA	
Practica Laboral 	Valles, M. M. S. (2009). Técnicas cualitativae investigación social: Reflexión metodológica y práctica profesional. Madrid: Síntesis.	COMPLEMENTARIA	
Practica Laboral 	Adler, R. 8., Elrnhorst, J. M., Mascaró, S. P., & González, P. J. R. (2005). Comunicación organizacional: Principios y prácticas para negocios y profesiones. México: McGraw-Hill.	COMPLEMENTARIA	
