id	internalId	name	year	obligatory	copies
0	0	Aprendizaje Reflexivo en la Educación Superior	2008	1	6
1	0	Ser Estratégico y Autónomo Aprendiendo	2001	1	7
2	0	FISICA	2016	1	16
3	0	Manual de Radiología para Técnicos: Física, Biología y Protección Radiológica	2013	0	2
4	0	Física para Ciencias de la Vida	1996	0	27
5	0	Química	2017	1	49
6	0	Curso de Química General T1 T2	2006	0	1
7	0	Química General	2003	0	22
8	0	Química Orgánica	1998	0	1
9	0	Langman Embriología Médica	2016	1	5
10	0	Embriología Clínica	2013	1	8
11	0	Anatomía con orientación Clínica	2013	1	17
12	0	Prometheus: Texto y Atlas de Anatomía T. 1-2-3	2015	1	15
13	0	Gray Anatomía para Estudiantes	2015	0	18
14	0	Anatomía Clínica	2017	0	2
15	0	Anatomía Humana Descriptiva, Topográfica y Funcional T. 1-2-3-4	2005	0	24
16	0	Prometheus Anatomía Manual para el Estudiante	2015	0	5
17	0	Atlas de Anatomía Humana	2014	0	11
18	0	Sobotta: Atlas de Anatomía Humana T.1-2-3-4	2012	0	20
19	0	Atlas de anatomía con correlación clínica T.1 Aparato Locomotor	2008	0	1
20	0	Atlas de Anatomía Humana: Estudio Fotográfico del Cuerpo Humano	2015	0	5
21	0	Anatomy for Diagnostic Imaging	2011	0	2
22	0	Netter Anatomía Radiológica Esencial	2015	0	2
23	0	Atlas de Anatomía Humana por Técnicas de Imagen	2017	0	2
24	0	Introducción a la Biología Celular	2011	1	5
25	0	Biología Molecular y Celular	2011	1	5
26	0	Biología Molecular de la Célula	2016	0	10
27	0	Biología Celular Biomédica	2015	0	2
28	0	Genética Médica	2016	0	2
29	0	Biología Celular y Molecular	2016	0	8
30	0	Lehninger's Principles of Biochemistry (en español)	2015	0	17
31	0	Genética en Medicina	2016	0	2
32	0	Genética: Un Enfoque Conceptual	2015	0	5
33	0	Genética Médica: lo esencial de un vistazo	2015	0	5
34	0	Historia de la Medicina y Humanidades Médicas	2012	1	5
35	0	Psychology and Sociology Applied to Medicine	2009	0	5
36	0	Historia de la Medicina Chilena	1995	0	2
37	0	Guyton y Hall. Tratado de Fisiología Médica	2016	1	32
38	0	Fisiología Respiratoria: Fundamentos	2016	1	9
39	0	Fisiología Renal de Vander (Inglés)	2013	1	5
40	0	Ganong Fisiología Médica	2016	1	11
41	0	Fisiología	2014	0	18
42	0	Molecular Cell Biology (español)	2016	1	8
43	0	Lehninger's Principles of Biochemistry (en español)	2015	1	17
44	0	Biochemistry	2011	1	5
45	0	Harper Bioquímica Ilustrada	2016	0	5
46	0	Genética Médica	2016	0	2
47	0	Genética: Un Enfoque Conceptual	2015	0	5
48	0	Genética Médica: Lo Esencial de un Vistazo	2015	0	5
49	0	Anatomía con Orientación Clínica	2013	1	36
50	0	Prometheus: Texto y Atlas de Anatomía T1-2-3	2015	1	15
51	0	Gray Anatomía para Estudiantes	2015	0	18
52	0	Embriología Clínica	2013	0	8
53	0	Anatomía Clínica	2017	0	2
54	0	Técnicas de la Comunicación y Relación de Ayuda en Ciencias de la Salud	2014	1	8
55	0	Comunicación Clínica: principios y habilidades para la práctica	2014	1	5
56	0	Communication in Nursing	2017	0	2
57	0	La Comunicación. Una Competencia Esencial para los Profesionales de la Salud	2006	0	2
58	0	The Medical Interview: The Three Function Approach	2014	0	2
59	0	Comunicación Médico-Paciente: reflexiones para un cambio de modelo	2012	0	2
60	0	La Comunicación con el Paciente: habilidades emocionales para los profesionales de la salud	2014	0	5
61	0	Teoría de la Comunicación Humana: interacciones y paradojas	1997	0	2
62	0	Face2Face. Starter Workbook with Key	2013	1	10
63	0	New Headway. Beginner Student's Book	2013	1	10
64	0	Essential Grammar in Use: A Self-Study Reference and Practice Book for Elementary Learners of English	2015	1	18
65	0	Manual Washington de Procedimientos Clínicos	2017	1	5
