id	name	subject	semester
0	medicina	AUTOGESTION DEL APRENDIZAJE	1
1	medicina	AUTOGESTION DEL APRENDIZAJE	1
2	medicina	FISICA APLICADA A LA MEDICINA	1
3	medicina	FISICA APLICADA A LA MEDICINA	1
4	medicina	FISICA APLICADA A LA MEDICINA	1
5	medicina	QUIMICA GENERAL Y ORGANICA	1
6	medicina	QUIMICA GENERAL Y ORGANICA	1
7	medicina	QUIMICA GENERAL Y ORGANICA	1
8	medicina	QUIMICA GENERAL Y ORGANICA	1
9	medicina	ANATOMIA Y EMBRIOLOGIA I	1
10	medicina	ANATOMIA Y EMBRIOLOGIA I	1
11	medicina	ANATOMIA Y EMBRIOLOGIA I	1
12	medicina	ANATOMIA Y EMBRIOLOGIA I	1
13	medicina	ANATOMIA Y EMBRIOLOGIA I	1
14	medicina	ANATOMIA Y EMBRIOLOGIA I	1
15	medicina	ANATOMIA Y EMBRIOLOGIA I	1
16	medicina	ANATOMIA Y EMBRIOLOGIA I	1
17	medicina	ANATOMIA Y EMBRIOLOGIA I	1
18	medicina	ANATOMIA Y EMBRIOLOGIA I	1
19	medicina	ANATOMIA Y EMBRIOLOGIA I	1
20	medicina	ANATOMIA Y EMBRIOLOGIA I	1
21	medicina	ANATOMIA Y EMBRIOLOGIA I	1
22	medicina	ANATOMIA Y EMBRIOLOGIA I	1
23	medicina	ANATOMIA Y EMBRIOLOGIA I	1
24	medicina	BIOLOGIA CELULAR Y MOLECULAR	1
25	medicina	BIOLOGIA CELULAR Y MOLECULAR	1
26	medicina	BIOLOGIA CELULAR Y MOLECULAR	1
27	medicina	BIOLOGIA CELULAR Y MOLECULAR	1
28	medicina	BIOLOGIA CELULAR Y MOLECULAR	1
29	medicina	BIOLOGIA CELULAR Y MOLECULAR	1
30	medicina	BIOLOGIA CELULAR Y MOLECULAR	1
31	medicina	BIOLOGIA CELULAR Y MOLECULAR	1
32	medicina	BIOLOGIA CELULAR Y MOLECULAR	1
33	medicina	BIOLOGIA CELULAR Y MOLECULAR	1
34	medicina	HUMANIZACION DE LA ATENCION EN MEDICINA	2
35	medicina	HUMANIZACION DE LA ATENCION EN MEDICINA	2
36	medicina	HUMANIZACION DE LA ATENCION EN MEDICINA	2
37	medicina	FISIOLOGIA HUMANA I	2
38	medicina	FISIOLOGIA HUMANA I	2
39	medicina	FISIOLOGIA HUMANA I	2
40	medicina	FISIOLOGIA HUMANA I	2
41	medicina	FISIOLOGIA HUMANA I	2
42	medicina	BIOQUIMICA	2
43	medicina	BIOQUIMICA	2
44	medicina	BIOQUIMICA	2
45	medicina	BIOQUIMICA	2
46	medicina	BIOQUIMICA	2
47	medicina	BIOQUIMICA	2
48	medicina	BIOQUIMICA	2
49	medicina	ANATOMIA Y EMBRIOLOGIA II	2
50	medicina	ANATOMIA Y EMBRIOLOGIA II	2
51	medicina	ANATOMIA Y EMBRIOLOGIA II	2
52	medicina	ANATOMIA Y EMBRIOLOGIA II	2
53	medicina	ANATOMIA Y EMBRIOLOGIA II	2
54	medicina	COMUNICACIÓN EFECTIVA EN EL CONTEXTO DE LA SALUD	2
55	medicina	COMUNICACIÓN EFECTIVA EN EL CONTEXTO DE LA SALUD	2
56	medicina	COMUNICACIÓN EFECTIVA EN EL CONTEXTO DE LA SALUD	2
