asignatura	semestre	detalle	tipoBibliografia	copias	id	disponibilidad	carrera	
Comprensión Oral y Escrita	0	Fournier, M.C.|2004|Comunicación verbal|México: Thomson.	OBLIGATORIA	5	20870	1	admin	
Comprensión Oral y Escrita	0	Reyzábal, M. V., & Casanova, M. A.|2001|La comunicación oral y su didáctica|Madrid: La Muralla	OBLIGATORIA	10	12042	1	admin	
Comprensión Oral y Escrita	0	Vallés, A. A.|1996|Comprensión lectora 1: Programa de técnicas cognitivas y metacoqnitivos para comprender textos escritos: Educacion Primaria, 1er y 2o. ciclos|Madrid; Escuela Española	OBLIGATORIA	2	11626	1	admin	
Comprensión Oral y Escrita	0	Verderber, R. F.|1999|Comunicación oral efectiva|México: lnternational Thomson	OBLIGATORIA	3	1	22706	admin	
Matemática Aplicada	0	Britton, J. R., & Bello, l.|1986|Algebra y trigonometría contemporáneas|0	OBLIGATORIA	3	1	8916	admin	
Matemática Aplicada	0	Swokowski, E. W., & Trigueros, M.|1989|Álgebra y trigonometría con geometría analítica|México: Grupo Edit. lberoamérica	OBLIGATORIA	8	2567	1	admin	
Matemática Aplicada	0	Miller, C. D., Heeren, V. E., & Hornsby, E. J.|2006|Matemáticas: Razonamiento y aplicaciones|México: Pearson.	COMPLEMENTARIA	2	22704	1	admin	
Gestión de La Informática	0	Jelen, B.|2010|Excel Macros y VBA|Madrid: Anaya Multimedia	OBLIGATORIA	1	22931	1	admin	
Gestión de La Informática	0	Menchén, P. A.|2009|Tablas dinámicas en Excel 2007|México: Alfaomega	OBLIGATORIA	3	22925	1	admin	
Gestión de La Informática	0	Hawley, D., & Hawley, R.|2004|Excel: Los mejores trucos|Madrid: Anaya Multimedia	OBLIGATORIA	1	20743	1	admin	
Gestión de La Informática	0	Virginia Caccuri|2009|101 secretos de Excel: la mejor guía de trucos y consejos|Argentina: Grami	OBLIGATORIA	2	22697	1	admin	
Gestión de La Informática	0	Frye, C., & Scott, P. P.|2007|Microsoft O/fice Excel 2003 paso a paso|Madrid	OBLIGATORIA	3	19430	1	admin	
Gestión de La Informática	0	Online Training Solutions, lnc.|2004|Microsoft O/fice Word 2003 paso a paso|Madrid: McGraw-Hill, lnteramericana de España	OBLIGATORIA	3	22688	1	admin	
